Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Nets,Coordination,Last update,YSF Digital Enabled,DG-ID,Mixed-Mode,Web links,Features,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Wyoming,WyLOCAL,Affiliate,Links,EchoLink,Colorado,Northern Colorado,Downlink Tone,Notes,On-air,D-STAR Enabled,Node,Sources,Worldwide English,North America,DCI Bridge,Local/Cluster,N. Colorado,Commands,Worldwide,English,TAC 310,Mountain Reg USA,IRLP,Grid,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,P25 Digital Enabled,NAC,Default Reflector,AllStar,Southern Colorado,Denver Regional,Feed,Location Photo
449.575,-5,173.8,W7VNJ,"Casper, Wyoming Med Center",WY,OPEN,I,112.4,NNW,,449.575,444.575,173.8,Natrona,On-Air,Wide area: Casper Metro and large parts of Natrona county.,CDK Net,,WRCG,,,,,Casper ARC,E-power.,,,,,,,,,,,,,173.8,,,,,,,,,,,,,,,,7707,,,,,,,,,,,,,,,
147.28,0.6,D032,W7VNJ,Casper,WY,OPEN,,112.4,NNW,,147.28,147.88,D032,Natrona,On-Air,Local Casper coverage.,Casper Amateur Radio Club,,WRCG,,,Open ↑ / Open ↓,Yes; analog capable.,http://casperarc.net/wiki/index.php/Main_Page,E-power.,,,,,,,,,,,,,D032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.445,0,88.5,AG0N,Scottsbluff,NE,OPEN,I,112.7,E,,146.445,146.445,88.5,Scotts Bluff,On-Air,,,,,,,,,http://garymcduffie.com,,,,,,,,,,,,,,88.5,This is a simplex IRLP node. 147.285 rptr is down. 3055 is directly accessed on 146.445 w/88.5 tone. Controlled access. Contact AG0N for access. 147.435/123PL Scottsbluff node 8930 available 24/7 no access code.,,,,,,,,,,Access pre-fix = 5,,,,,3055,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,112.8,S,,446.9375,441.9375,,Clear Creek,On-Air,,Rocky Mountain Ham Radio,,CCARC,,,,,Rocky Mountain Ham Radio,,,7,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,Full-time to the  Colorado TRBO System .,,1,2,,See the website for programming information.,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,112.8,SSE,,447.825,442.825,D073,Jefferson,On-Air,,Denver Radio Club,,CCARC,,,,,,,,,,,,,,,,,,,D073,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,112.8,S,,146.94,146.34,103.5,Clear Creek,On-Air,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",Rocky Mtn Radio League,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",CCARC,,,,,Repeater,11,,,,,,,,,"Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,,,103.5,,,,,,,,,,,Autopatch: 911* / Off 0*.,,,,,,,,,,,,,,,,,,,Listen Live,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,112.9,S,,448.225,443.225,141.3,Clear Creek,On-Air,,Rocky Mountain Ham Radio,,CCARC,,,,,,E-power(gen).,,,,,,,,,,,,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,112.9,S,,447.575,442.575,107.2,Clear Creek,On-Air,Wide area: Denver metro.,Colorado Repeater Association (CRA),,CCARC,,,,,http://www.w0cra.org,,,,,,,,,,,347088,,,107.2,,,,,,,,,,,Member-only IRLP and Echolink node,,,,,3291,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,112.9,S,,145.49,144.89,100,Jefferson,On-Air,,"KB0VIU,  Denver Radio Club",DRC: Sun at 20:30.,CCARC,,,,,DRC Repeaters,E-power.,,,,,,,,,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,112.9,S,,145.145,144.545,107.2,Clear Creek,On-Air,Wide area. Denver metro.,Colorado Repeater Assoc,,CCARC,,,,,http://www.w0cra.org/info/squaw.html#145145,E-power.,,,,,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,112.9,S,,146.67,146.07,100,Clear Creek,On-Air,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",Castle Rock Repeater Group,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,CCARC,,,,,,11,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,112.9,S,,449.45,444.45,103.5,Clear Creek,On-Air,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",Rocky Mountain Radio League,RMRL: Mon at 20:30.,CCARC,,,,,Repeater,11,,,,,,,,,,,,,127.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,112.9,S,,449.35,444.35,100,Clear Creek,On-Air,Wide area.,Denver Radio Club,,CCARC,,,,,DRC Repeaters,11,,,,,,,,,,4140,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,113,S,,448.675,443.675,100,Denver,On-Air,Wide area.,W0CFI,,CCARC,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,113,S,,147.3,147.9,103.5,Clear Creek,On-Air,Wide area.,Denver PD EEB,,CCARC,,,,,,,,,,,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,113.2,SSE,,145.475,144.875,100,Jefferson,On-Air,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,,CCARC,,,,,Intermountain Repeater Group,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,113.2,SSE,,146.715,146.115,123,Denver,On-Air,,EARS,,CCARC,,,,,,E-power.,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,113.2,SSE,,448.075,443.075,123,Denver,On-Air,,W0IG,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,113.2,SSE,,448.55,443.55,82.5,Denver,Off-Air,,HPRA,,CCARC,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,113.3,SSE,,447.925,442.925,100,Denver,On-Air,,RADOPS El Jebel Shriners,,CCARC,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,113.3,SSE,,449.65,444.65,,Denver,On-Air,,Colorado Amateur Repeater Network (CARN),,CCARC,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,113.3,SSE,,449.675,444.675,,Denver,On-Air,,Colorado Amateur Repeater Network (CARN),,CCARC,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,7708,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,113.3,SSE,,447.9,442.9,CSQ,Denver,Off-Air,,WB0TPT,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,113.3,S,,449,444,136.5,Clear Creek,On-Air,,CARN,,CCARC,,,,,,,,,,,,,,,,,,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,113.4,S,,53.09,51.39,107.2,Jefferson,On-Air,Metro Denver area.,Denver Radio Club,,CCARC,,,,,DRC Repeaters,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.1,-5,,NG7T,Casper,WY,OPEN,,113.6,NNW,,449.1,444.1,,Natrona,,Wide area:  50 mi radius.,NG7T,,,,,,,,E-power.,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,113.6,SSE,,448.15,443.15,141.3,Denver,On-Air,"Small coverage of the East Denver area SW of DIA. 
   Repeater Coverage Map",K0GUR,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",CCARC,,,,,k0jsc.com,E-power (batt).  2 meter and 70cm channel steerable remote bases.,,,,,,,,,Full-time to the  The Fun Machine System .,24340,,,141.3,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,,,,,,,,,,,,,,,,DM79pt,,,,,,,,,,29436,,,Listen Live,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,113.7,SSE,,448.75,443.75,100,Jefferson,On-Air,Local.,,,CCARC,,,,,,E-power.,,,,,,,,N0ELY,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.98,-1,141.3,W7VNJ,Casper,WY,OPEN,,113.7,NNW,,52.98,51.98,141.3,Natrona,Off-Air,,CARC,,WRCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,,KC7MJI,Casper,WY,OPEN,,113.7,NNW,,147.345,147.945,,Natrona,,,,,WRCG,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,,N7GT,Casper,WY,OPEN,,113.7,NNW,,146.91,146.31,,Natrona,,,,,WRCG,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9875,-5,CC11,WY7EOC,"Casper, Casper Mountain",WY,CLOSED,,113.7,NNW,,449.9875,444.9875,,Natrona,On-Air,Wide Area. 40 mi radius.,Laramie County EM,,WRCG,,,,,,,,11,,Wyoming DMR Project,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Wyoming  1  3156  Full-Time    WyLOCAL  2  100  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Wyoming DMR Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,,KK7BA,Douglas,WY,OPEN,,114.2,N,,147.15,147.75,,Converse,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,114.9,S,,53.17,51.47,107.2,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,,,,,,,,,,,,,,N6LXX,Full-time to the  N6LXX System .,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,29883,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,114.9,S,,447.875,442.875,107.2,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,,,,,,,,,,,,,,N6LXX,Full-time to the  N6LXX System .,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,29913,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,115,SSE,,449.775,444.775,100,Jefferson,On-Air,Metro Denver,Denver Radio Club,,CCARC,,,Open ↑ / Open ↓,Yes; analog capable.,Denver Radio Club,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,115,SSE,,147.33,147.93,100,Jefferson,On-Air,Metro Denver and the foothills.,Denver Radio Club,SATERN: Thu at 19:30.,CCARC,,,,,DRC Repeaters,E-power.,,,,,,,,,,,,,,Not recommeded to use tone squelch on this repeater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,115,SSE,,224.38,222.78,100,Jefferson,On-Air,,Denver Radio Club,,CCARC,,,,,DRC Repeaters,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,115.9,WSW,,146.97,146.37,88.5,Moffat,On-Air,,Northwest Colorado Amateur Radio Association,,CCARC,,,,,,,,,,,,,,Colorado Connection,Full-time to the  Colorado Connection System .,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,107.2,WD0HAM,Craig,CO,OPEN,,115.9,WSW,,145.265,144.665,107.2,Moffat,,,NW Colorado ARC,,CCARC,,,,,,E-power.,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,,,"Lusk, 77 Hill",WY,OPEN,,116.1,NNE,,147.33,147.93,,Niobrara,On-Air,,,,,,,,,,,,,,,,,,,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,116.3,SSE,,448.275,443.275,156.7,Arapahoe,On-Air,,W0BG,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,116.3,SSE,,448.825,443.825,,Arapahoe,On-Air,,,,,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30584,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,116.3,SSE,,448.4,443.4,94.8,Arapahoe,On-Air,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,116.4,SSE,,448.5,443.5,100,Denver,On-Air,Greater Denver area.,Castle Rock Repeater Group,,CCARC,,,,,,E-power.,,,,,,,,,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,116.8,S,,145.34,144.74,103.5,Jefferson,On-Air,Wide area.,Rocky Mtn Radio League,,CCARC,,,,,Repeater,E-power.,,,,,,,,,,,,,127.3,,,,,,,,,,,,,,,,3350,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,116.8,S,,145.175,144.575,D073,Clear Creek,Off-Air,,Rocky Mountain Ham Radio,,CCARC,,,,Yes; analog capable.,Rocky Mountain Ham Radio,,,1,,,,,,,,,,,D073,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,118.9,SSE,,449.15,444.15,,Arapahoe,On-Air,,Colorado Amateur Repeater Network (CARN),,CCARC,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,CC7,W0FT,"Fort Morgan, Fort Morgan EOC",CO,OPEN,,119,SE,,448.2,443.2,,Morgan,On-Air,,,,CCARC,,,,,Rocky Mountain Ham Radio,Mixed Mode,,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,NEAHR,Full-time to the  Colorado TRBO System .,,1,2,,"See the website for more info on Time Slot, Talk Group and Color Code Programming.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,122.6,SSW,,449.9,444.9,107.2,Eagle,Off-Air,,ECHO,,CCARC,,,,,,,,,,,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,122.6,SSW,,224.8,223.2,,Eagle,Off-Air,,ECHO,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,123.1,SSW,,147.345,147.945,88.5,Eagle,On-Air,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,Colorado Connection,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",CCARC,,,,,,9,,,,,,,,,Full-time to the  Colorado Connection System .,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,,124.3,SSW,,445.075,440.075,,Eagle,On-Air,,K2AD,,CCARC,,,,,http://www.rmham.org/,,,7,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,124.3,SSE,,145.19,144.59,151.4,Arapahoe,On-Air,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",N0OBA,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,,,,,Autopatch (please contact trustee).,,,,,,,,,,10079,,,131.8,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,124.5,S,,53.05,51.35,107.2,Jefferson,Off-Air,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",Colorado Repeater Association (CRA),,CCARC,,,,,,10,,,,,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,124.5,SSW,,146.61,146.01,107.2,Eagle,On-Air,,ECHO,,CCARC,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,124.6,S,,224.98,223.38,107.2,Jefferson,Off-Air,Wide area. Denver.,Colorado Repeater Association,,CCARC,,,,,,"Closed autopatch, e-power.",,,,,,,,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",347086,,,107.2,,,,,,,,,,,,,,,,3990,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,124.6,S,,447.15,442.15,107.2,Jefferson,Off-Air,Wide area: Denver.,Colorado Repeater Association (CRA),,CCARC,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,124.6,S,,1287.9,1267.9,CSQ,Jefferson,Off-Air,Fort Collins to Colorado Springs.,Colorado Repeater Association (CRA),,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,124.8,S,,147.12,147.72,88.5,Jefferson,On-Air,Denver metro and east.,Aurora Repeater Association,,CCARC,,,,,http://www.n0ara.org,E-power.,,,,,,,,,,,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,125.3,SSE,,449.425,444.425,D023,Arapahoe,Off-Air,,K0PWO,,,,,,,,,,,,,,,,,,,,,D023,Colorado SNP (Shared non-protected pair),,,,,,,,,,,,,,,,,,,,,,,,,,29791,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,125.9,SSE,,145.4,144.6,100,Arapahoe,On-Air,Greater Denver area.,Castle Rock Repeater Group,,CCARC,,,,,,"Autopatch, e-power.",,,,,,,,,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,127.2,S,,146.88,146.28,100,Jefferson,On-Air,Wide Area,Denver Radio League,,CCARC,,,,,DRL Repeaters,E-power.,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,127.2,S,,449.6,444.6,100,Jefferson,On-Air,,Denver Radio League,,CCARC,,,,,DRL Repeaters,,,,,,,,,,,690473,,,,,,,,,,,,,,,,,,,3345,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,I,128.2,SSE,,448.7,443.7,146.2,Douglas,On-Air,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3415,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,128.6,S,,146.7,146.1,107.2,Summit,On-Air,,GRARC,,CCARC,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3972,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,128.9,S,,447.5,442.5,88.5,Jefferson,On-Air,Wide area.,Aurora Repeater Association,,CCARC,,,,,,E-power.,,,,,,,,,,,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,129.6,S,,445.0875,440.0875,,Fremont,On-Air,,K2AD,,,,,,,http://www.rmham.org/,,,7,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,130.6,S,,147.39,147.99,88.5,Summit,On-Air,Wide area.,Colorado Connection,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",CCARC,,,,,Breckenridge Repeater,12,,,,,,,,,Full-time to the  Colorado Connection System .,,,,123,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,131.7,SSE,,447.525,442.525,203.5,Douglas,On-Air,"Denver metropolitan area, front range foothills",EmComm Colorado,,CCARC,,,,,,,,,,,,,,Colorado ARES,,,,,146.2,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,131.8,S,,146.895,146.295,100,Park,On-Air,285,AB0RR,Wed at 19:30.,CCARC,,,,,Park County Radio Club (PCRC),25,,,,,,,,,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,45835,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,132.3,SSE,,449.95,444.95,77,Douglas,On-Air,Primarily to the North along I-25 corridor,W9SL Owner,,CCARC,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,,WA0JTB,"Sterling, CO",CO,OPEN,,133.1,SE,,145.295,144.695,,Logan,Off-Air,Wide area,NECARA,,CCARC,,,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,133.7,SSE,,927.8375,902.025,,Douglas,On-Air,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,CCARC,,,,,,,,,,,,,,,,,,,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,,,,,,,,,,,,,,,,,,,,,,,294,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,141,SSE,,446.85,441.85,,Douglas,On-Air,,Parker Radio Association,,CCARC,,,,,http://parkerradio.org,D-Star B module,,,,,,,,,,,,,,,,,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
