Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,EchoLink,Coordination,Last update,IRLP,Notes,Web links,Downlink Tone,On-air,Affiliate,Features,YSF Digital Enabled,DG-ID,Mixed-Mode,AllStar,Nets,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Denver Regional,Links,WIRES-X,Grid,Commands,Northern Colorado,D-STAR Enabled,Node,Sources,Feed,P25 Digital Enabled,NAC,Default Reflector,Worldwide,North America,Local/Cluster,Southern Colorado,Talkgroup Network,English,Kansas,Bandwidth,Local or Reflector,CKRG,KansasLink,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Worldwide English,Local Network,Location Photo,BYRG,Wyoming,WyLOCAL
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,150.7,WSW,yes,147.18,147.78,100,El Paso,On-Air,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",AA0SP,,CCARC,yes,,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,E-power (solar).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,150.7,WSW,yes,446.95,441.95,,Teller,On-Air,Monument Hill through Pueblo.,Rocky Mountain Ham Radio,,,yes,,,,,,RMHAM,,,,,,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
927.725,-25,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,150.7,WSW,yes,927.725,902.725,D114,Teller,On-Air,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, and spotty from Castle Rock north through Denver.  50 mi radius.",WA6IFI,,CCARC,yes,,,Yahoo Group,D114,,,12,,,,,,,,,,,,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,150.9,W,yes,145.415,144.815,179.9,Teller,,,MARC,,CCARC,yes,,,,,Unknown,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,150.9,W,yes,447.675,442.675,179.9,Teller,On-Air,,Mountain Amateur Radio Club (MARC),,CCARC,yes,,,,179.9,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,150.9,W,yes,449.025,444.025,141.3,Teller,,,Mountain Amateur Radio Club (MARC),,CCARC,yes,,,,,Unknown,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,150.9,W,yes,927.9,902.9,D205,Teller,On-Air,,MARC,,CCARC,yes,,,,D205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,150.9,W,yes,449.325,444.325,103.5,Teller,On-Air,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Port. St John Florida can be expected.",KA4EPS,,CCARC,yes,,Node # 27976,,103.5,,Amateur Radio Motorcycle Club,E-power. Allstar Node 27976,,,,27976,"Sunday 1500 MST
Tuesday 1730 MST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,150.9,W,yes,146.82,146.22,107.2,Teller,On-Air,,Mountain ARC,,CCARC,yes,,,,,,,E-power.,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,150.9,W,yes,448.65,443.65,107.2,Teller,On-Air,,Mountain ARC (MARC),,CCARC,yes,,,,,,MARC,E-power.,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.25,5,141.3,K0ECT,Montezuma,KS,OPEN,,151.2,SE,yes,444.25,449.25,141.3,Gray,On-Air,Local,SKECT,,Kansas Repeater Council,yes,,,http://skect.org/default.aspx,141.3,,,,,,,,ARES,,,,,,,Full-time to the  SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,151.9,WNW,yes,449.3,444.3,100,Adams,On-Air,,N1UPS,43699,CCARC,yes,3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,152.1,W,yes,446.925,441.925,,Douglas,On-Air,,,,CCARC,yes,,See the website for programming info.,Rocky Mountain Ham Radio,,,,,,,,,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,2,Full-time to the  Colorado TRBO System .,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,152.1,W,yes,447.525,442.525,146.2,Douglas,On-Air,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",EmComm Colorado,,CCARC,yes,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,146.2,,Colorado ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,152.2,WSW,yes,146.97,146.37,100,El Paso,On-Air,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",Pikes Peak FM Assoc,,CCARC,yes,,,PPFMA Repeaters,123,,,"Closed autopatch, e-power.",,,,,"Southern Colorado Traffic: Daily at 2000. 
Midday Severe Weather: Daily 1230 - 1240. 
PPFMA Weekly Info: Sun at 2030. 
ARES: Tue at 1900. 
SKYWARN.",,,,,,,"Linkable to  
        448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,152.2,WSW,yes,448.45,443.45,100,El Paso,On-Air,Wide area.,Pikes Pk FM Assoc,,CCARC,yes,,,PPFMA Repeaters,,,,E-power.,,,,,,,,,,,,"Linkable to  
        146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,153.2,W,yes,146.88,146.28,100,Jefferson,On-Air,Wide Area,Denver Radio League,,CCARC,yes,,6,DRL Repeaters,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,153.2,W,yes,449.6,444.6,100,Jefferson,On-Air,,Denver Radio League,690473,CCARC,yes,3345,,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.5,5,141.3,K0ECT,Jetmore,KS,OPEN,,154.4,SE,yes,444.5,449.5,141.3,Hodgeman,On-Air,,SKECT,,Kansas Repeater Council,yes,,,http://skect.org/default.aspx,141.3,,,E-power,,,,,,,,,,,,Full-time to the  SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,154.6,W,yes,448.75,443.75,100,Jefferson,On-Air,Local.,,,CCARC,yes,,,,100,,N0ELY,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,155.1,WNW,yes,147.21,147.81,100,Jefferson,On-Air,,Denver Water Amateur Radio Club,,,yes,3241,,http://www.dwarc.com,100,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,155.1,WNW,yes,448.35,443.35,,Jefferson,On-Air,Denver Metro and surrounding,Denver Water Amateur Radio Club (DWARC),,CCARC,yes,,,http://www.DWARC.com,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,155.1,WNW,yes,447.825,442.825,D073,Jefferson,On-Air,,Denver Radio Club,,CCARC,yes,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,D073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,155.3,W,yes,446.875,441.875,,Douglas,On-Air,,W0VG,,CCARC,yes,,,http://www.rmham.org,,,RMHAM,,,,,,,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Full-time to the  Colorado TRBO System .,,,,2,,,,,,,,,,,2,RMHAM,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,155.4,W,yes,147.33,147.93,100,Jefferson,On-Air,Metro Denver and the foothills.,Denver Radio Club,,CCARC,yes,,Not recommeded to use tone squelch on this repeater.,DRC Repeaters,,,,E-power.,,,,,SATERN: Thu at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,155.4,W,yes,224.38,222.78,100,Jefferson,On-Air,,Denver Radio Club,,CCARC,yes,,,DRC Repeaters,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,155.4,W,yes,449.775,444.775,100,Jefferson,On-Air,Metro Denver,Denver Radio Club,,CCARC,yes,,,Denver Radio Club,100,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,155.8,WNW,yes,448.925,443.925,131.8,Boulder,On-Air,,W0LMA,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,155.8,WNW,yes,449.825,444.825,103.5,Boulder,On-Air,Along the foothills and into Boulder where the 94 repeater is shadowed.,Rocky Mountain Radio League,,CCARC,yes,,,Repeater,,,,6,,,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,156.8,W,yes,447.5,442.5,88.5,Jefferson,On-Air,Wide area.,Aurora Repeater Association,,CCARC,yes,,,,88.5,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,157.4,W,yes,53.09,51.39,107.2,Jefferson,On-Air,Metro Denver area.,Denver Radio Club,,CCARC,yes,,,DRC Repeaters,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,KE0KIY,Hays,KS,OPEN,,158.1,ESE,yes,147.18,147.78,100,Ellis,On-Air,Local 35 mi radius.,ELLIS CO,,Kansas Repeater Council,yes,,,,100,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.6,5,100,KE0KIY,Hays,KS,OPEN,,158.2,ESE,yes,443.6,448.6,100,Ellis,On-Air,Local.,ECHO ARC,,Kansas Repeater Council,yes,,,,CSQ,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.275,5,100,AA0HJ,Phillipsburg,KS,OPEN,,158.4,E,yes,443.275,448.275,100,Phillips,On-Air,,,,Kansas Repeater Council,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.375,5,,K0BAI,Ensign,KS,OPEN,,158.6,SE,yes,444.375,449.375,,Gray,Off-Air,Local,K0BAI,,Kansas Repeater Council,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,,W0SOK,Cozad,NE,OPEN,,158.6,NE,yes,147.135,147.735,,Dawson,Off-Air,,Heartland Amateur Radio Association,,,yes,,,,,,,E-power.,,,,,Wed 2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,88.5,ND0Q,"Walsenburg, N Rattlesnake Butte",CO,OPEN,,158.7,SW,yes,146.73,146.13,88.5,Huerfano,On-Air,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties.",Pueblo Ham Club,,CCARC,yes,,,Pueblo Ham Club,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,CC1,K0USY,Hays,KS,OPEN,,159.3,ESE,yes,444,449,,Ellis,On-Air,15,,,Kansas Repeater Council,yes,,Click here for DMR TG info.,http://k0usy.strikingly.com/,,,K0USY Group,,,,,,,yes,1,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  English  1  13      Kansas  2  3120    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,Full-time internet linked to the  KS-DMR (3120) System .,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,159.3,W,yes,53.17,51.47,107.2,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,yes,,,,CSQ,,N6LXX,,,,,29883,,,,,,,,Full-time to the  N6LXX System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,159.3,W,yes,447.875,442.875,107.2,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,yes,,,,107.2,,N6LXX,,,,,29913,,,,,,,,Full-time to the  N6LXX System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.725,5,,KD0ARW,Phillipsburg,KS,OPEN,I,160,E,yes,442.725,447.725,,Phillips,On-Air,Local.,KD0ARW,,Kansas Repeater Council,yes,3682,,,,,,,,,,,,,,,,,,"Full-time to  
        147.12000 (AA0HJ) at Phillipsburg, KS .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,162.2,N0KOM,"Stockton, K-Link",KS,OPEN,A,160.2,ESE,yes,146.79,146.19,162.2,Rooks,On-Air,Click for coverage map.  25 mi radius.,N0KOM,,Kansas Repeater Council,yes,,DB-222 @ 200 feet.,K-Link Repeater Network,,,,,,,,45746,,,,,,,,Full-time to the  K-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,AA0HJ,Phillipsburg,KS,OPEN,,160.3,E,yes,147.12,147.72,,Phillips,On-Air,Local,AA0HJ,,Kansas Repeater Council,yes,,,,,,,E-power,,,,,,,,,,,,"Full-time to  
        442.72500 (KD0ARW) at Phillipsburg, KS .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,160.3,WNW,yes,448.125,443.125,107.2,Jefferson,On-Air,,Denver PD EEB,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,160.3,WNW,yes,927.7875,902.7875,156.7,Jefferson,On-Air,Golden and Denver.,N0PYY,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,160.3,WNW,yes,448.975,443.975,123,Jefferson,On-Air,Wide area.,FRG,,CCARC,yes,,,,,,,Linkable VHF/UHF Remote Base,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,160.4,WNW,yes,446.975,441.975,,Jefferson,On-Air,Denver Metro Area,W0DMR,,,yes,,,http://www.w0dmr.org/,,,,,,,,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",yes,0,,,,,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.0375,-25,131.8,KD0EZQ,"Hays, Catherine Road",KS,OPEN,IA,160.4,ESE,yes,927.0375,902.0375,131.8,Ellis,On-Air,,N7JYS,,,yes,3917,Allstar 2578,,,,Western Kansas Intertie,Emergency power,,,,2578,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,
147.045,0.6,CC7 131.8,N7JYS,Hays,KS,OPEN,I,160.4,ESE,yes,147.045,147.645,131.8,Ellis,On-Air,"Ellis, Hays, Wakeeney. 35 mi radius.",N7JYS,,Kansas Repeater Council,yes,3917,MMDVM Mixed-mode.,,131.8,,,E-power,yes,Open ↑ / Open ↓,Yes; analog capable.,,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Local or Reflector  1  9  Full-Time    CKRG  1  31204  Full-Time    Local/Cluster  2  2  Full-Time    KansasLink  2  31203  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,Full-time internet linked to the  CKRG System . Full-time internet linked to the  KansasLink System . Linkable to the  Western Kansas Intertie System .,,,,,,,,,yes,293,yes,,,2,,,,,,1,1,2,,,,,,,,,,,,,,,
224.28,-1.6,131.8,N7JYS,Hays,KS,OPEN,A,160.4,ESE,yes,224.28,222.68,131.8,Ellis,On-Air,50,N7JYS,,,yes,,,,131.8,,Western Kansas Intertie,Internet linking,,,,2351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.45,5,162.2,N7JYS,"Hays, K-Link",KS,OPEN,A,160.4,ESE,yes,442.45,447.45,162.2,Ellis,On-Air,Click for coverage map.  35 mi radius.,N7JYS,,Kansas Repeater Council,yes,,,K-Link Repeater Network,162.2,,Affiliate of the K-Link Repeater Network,E-Power.,,,,42940,ARES: Sat at 21:00.,,,,,,,"Full-time to  
        444.95000 (AB0UO) at Russell, K-Link, KS .
 


Full-time to  
        443.57500 (K0HAM) at Ransom, K-Link, KS .
 


Full-time to the  K-Link System . Linkable to the  NEKSUN (K0HAM) System .",,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.825,5,114.8,N0ECQ,Hays,KS,OPEN,,160.5,ESE,yes,444.825,449.825,114.8,Ellis,On-Air,Local,,,Kansas Repeater Council,yes,,,,114.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,160.6,WNW,yes,446.8375,441.8375,,Jefferson,On-Air,,WA2YZT,,CCARC,yes,,See website for more info on CC/TS/TG programming.  www.rmham.org,,,,,200,,,,,,yes,7,,,,,Full-time to the  Colorado TRBO System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,160.7,WNW,yes,145.37,144.77,,Jefferson,On-Air,,Rocky Mountain Ham Radio,,CCARC,yes,,See the website for programming information.,Rocky Mountain Ham Radio,,,,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,160.7,WNW,yes,1283.9625,1263.9625,,Jefferson,On-Air,,Colorado D-Star,,CCARC,yes,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,yes,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,160.7,WNW,yes,1299.9,1299.9,,Jefferson,On-Air,,Colorado D-Star,,,yes,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,yes,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,160.7,WNW,yes,145.25,144.65,,Jefferson,On-Air,,Colorado D-Star,,CCARC,yes,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,yes,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,160.7,WNW,yes,446.9625,441.9625,,Jefferson,On-Air,,Colorado D-Star,,CCARC,yes,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,yes,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,160.8,WSW,yes,147.015,147.615,107.2,Teller,On-Air,,Mountain ARC,,CCARC,yes,,,,,,,E-power.,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,160.8,WSW,yes,1287.7,1267.7,67,Teller,Testing,,WB0WDF,,CCARC,yes,,Testing in Canon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,160.8,WSW,yes,145.46,144.86,67,Teller,On-Air,,WB0WDF,,CCARC,yes,,,,,,RGARC,"E-power, 100% Solar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,160.8,WSW,yes,224.94,223.34,67,Teller,Testing,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,160.8,WSW,yes,447.4,442.4,67,Teller,On-Air,,WB0WDF,,CCARC,yes,,,,,,,"E-power, Solar, Remote Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.675,5,162.2,K0HAM,"Dodge City, K-Link",KS,OPEN,,160.9,SE,yes,443.675,448.675,162.2,Ford,On-Air,Click for coverage map.  45 mi radius.,"NV8Q, WV0S",,Kansas Repeater Council,yes,,,K-Link Repeater Network,162.2,,Affiliate of the K-Link Repeater Network,"Linked to K-Link Repeater Network. 
AllStar 46012.",,,,"Priva 
   
     n/a",,,,,,,,Full-time to the  K-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,161,WNW,yes,449.625,444.625,141.3,Jefferson,On-Air,,Rocky Mountain Ham Radio,,CCARC,yes,3750,,,141.3,,,E-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
