Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Last update,Downlink Tone,Coverage,AllStar,Sponsor,Notes,Coordination,Grid,Affiliate,Links,Web links,Features,EchoLink,IRLP,Nets,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,On-air,Location Photo,Feed,Denver Regional,Mixed-Mode,Commands,YSF Digital Enabled,DG-ID,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Local/Cluster,Northern Colorado,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,N. Colorado,Worldwide English,Mountain Reg USA
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,109.5,NE,yes,446.9125,441.9125,,El Paso,On-Air,yes,,,,Cheyenne Mountain Repeater Group (CMRG),This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,,,,,yes,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,109.6,E,yes,224.26,222.66,88.5,Pueblo,Off-Air,yes,CSQ,Wide area.,,Pueblo Ham Club,,CCARC,,,,PHC repeaters,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,109.6,E,yes,146.79,146.19,88.5,Pueblo,On-Air,yes,CSQ,Wide area.,,Pueblo HC,,CCARC,,,,Pueblo Ham Club,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,109.6,E,yes,447.95,442.95,88.5,Pueblo,On-Air,yes,,Wide area.,,Pueblo Ham Club,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,CCARC,,,,Pueblo Ham Club,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC7,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,110,N,yes,445.05,440.05,,Lake,On-Air,yes,,,,K2AD,,CCARC,,Rocky Mountain Ham Radio,,http://www.rmham.org/,,,,,,,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,2,,,,,RMHAM,,,,,,,,,2,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,110.6,NNW,yes,146.67,146.07,107.2,Pitkin,On-Air,yes,,Wide area.,,Ski Country ARC,,CCARC,,,,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.34,0.6,100,N5LEM,"Angel Fire, Agua Fria Peak",NM,OPEN,,110.8,SE,yes,147.34,147.94,100,Colfax,On-Air,yes,,Wide area.,,Taos ARC,,NMFCC,,,,Taos Amateur Radio Club,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,111.1,N,yes,145.445,144.845,88.5,Lake,On-Air,yes,,,,Colorado Connection,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",CCARC,,,Full-time to the  Colorado Connection System .,,E-power (solar).,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,111.6,NE,yes,448.725,443.725,123,El Paso,On-Air,yes,,,,KA0TTF,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,100,K5WXI,Bloomfield,NM,OPEN,,111.9,SW,yes,146.92,146.32,100,San Juan,On-Air,yes,,,,San Juan County OEM,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,127.3,KB5ITS,Bloomfield,NM,OPEN,,112,SW,yes,448.65,443.65,127.3,San Juan,On-Air,yes,,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.21,-0.6,110.9,N5GDR,Cimarron,NM,OPEN,A,113.4,SE,yes,145.21,144.61,110.9,Colfax,On-Air,yes,110.9,,46298,"Gary Reynolds N5GDR, Dale Finley KB5NFT",,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Raton, Raton Pass",NM,OPEN,,113.6,SE,yes,446.775,441.775,,Colfax,On-Air,yes,,,,Cheyenne Mountain Repeater Group,,NMFCC,,,,http://www.cmrg.org/,,,,,yes,KD0RDI (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,107.2,WA6IFI,"Trinidad, Raton Pass",CO,OPEN,,113.8,SE,yes,145.43,144.83,107.2,Las Animas,On-Air,yes,,,,Cheyenne Mountain Repeater Group,,CCARC,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,114.8,NE,yes,927.9,902.9,D205,Teller,On-Air,yes,D205,,,MARC,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,114.9,NE,yes,448.65,443.65,107.2,Teller,On-Air,yes,,,,Mountain ARC (MARC),,CCARC,,MARC,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,E-power.,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,114.9,NE,yes,146.82,146.22,107.2,Teller,On-Air,yes,,,,Mountain ARC,,CCARC,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,E-power.,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,114.9,NE,yes,449.025,444.025,141.3,Teller,,yes,,,,Mountain Amateur Radio Club (MARC),,CCARC,,,,,Linked.,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,114.9,NE,yes,449.325,444.325,103.5,Teller,On-Air,yes,103.5,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Port. St John Florida can be expected.",27976,KA4EPS,Node # 27976,CCARC,,Amateur Radio Motorcycle Club,,,E-power. Allstar Node 27976,,,"Sunday 1500 MST
Tuesday 1730 MST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,114.9,NE,yes,145.415,144.815,179.9,Teller,,yes,,,,MARC,,CCARC,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,114.9,NE,yes,447.675,442.675,179.9,Teller,On-Air,yes,179.9,,,Mountain Amateur Radio Club (MARC),,CCARC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,115.2,NE,yes,447.35,442.35,151.4,El Paso,On-Air,yes,,,,GGARC,,CCARC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,115.2,NE,yes,448.25,443.25,123,El Paso,Off-Air,yes,,Colorado Springs,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,115.2,NE,yes,448.3,443.3,100,El Paso,On-Air,yes,,,,AA0L,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,115.2,NE,yes,449.575,444.575,,El Paso,On-Air,yes,,,,RMHARC,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,115.2,NE,yes,447.475,442.475,107.2,El Paso,,yes,,,,Mountain ARC (MARC),,CCARC,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,"Closed autopatch, e-power.",,,MARC/PCRC: Tue at 1930.,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,115.2,NE,yes,447.025,442.025,123,El Paso,Off-Air,yes,,,,Colorado Springs ARA,,CCARC,,,,,"Closed autopatch, e-power, linked, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,115.2,NE,yes,447.55,442.55,123,El Paso,On-Air,yes,,,,WA6IFI,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,115.2,NE,yes,224.06,222.46,,El Paso,,yes,,Wide area.,,Pikes Peak FM Association (PPFMA),,CCARC,,,,,"E-power, linked.",,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,115.2,NE,yes,927.8,902.8,D116,Teller,On-Air,yes,,,,,,CCARC,,,"Full-time to  
        448.60000 (W0MOG) at Colorado Springs, CO .",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,115.2,NE,yes,448.6,443.6,114.8,El Paso,,yes,,,,W0MOG,,CCARC,,,"Full-time to  
        927.80000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,103.5,W0RSH,Colorado Springs,CO,OPEN,,115.4,NE,yes,146.85,146.25,103.5,El Paso,On-Air,yes,,,,W0RSH,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,115.4,NE,yes,147.39,147.99,103.5,El Paso,On-Air,yes,,,,W0MOG,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,115.4,NE,yes,146.91,146.31,151.4,El Paso,On-Air,yes,151.4,,,GGARC,,CCARC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,115.4,NE,yes,147.27,147.87,,El Paso,On-Air,yes,,,,TRA,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,116.3,NE,yes,147.135,147.735,100,El Paso,On-Air,yes,,,,AA0L,,CCARC,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,100,NM5ML,"Raton, Sierra Grande",NM,OPEN,,118.1,SE,yes,147.28,147.88,100,Colfax,On-Air,yes,,Wide area.,,,,NMFCC,,,Full-time to the  Mega-Link System .,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,67,NM5ML,"Cuba, Eureka Mesa",NM,OPEN,,118.2,SSW,yes,147.24,147.84,67,Sandoval,On-Air,yes,,Wide area.,,,,NMFCC,,,Full-time to the  Mega-Link System .,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,118.7,W,yes,145.19,144.59,100,Montezuma,On-Air,yes,,,,,,CCARC,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,118.7,W,yes,447.275,442.275,100,Montezuma,On-Air,yes,,,,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Cuba, Eureka Mesa",NM,OPEN,,119.2,SSW,yes,145.175,144.575,141.3,Sandoval,Off-Air,yes,,,,NMEMA ARC,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,119.2,NE,yes,224.72,223.12,103.5,El Paso,On-Air,yes,103.5,Local,,w0mog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,120,NW,yes,147.36,147.96,100,Delta,,yes,,,,W0ALC,,CCARC,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,120,NW,yes,147.195,147.795,107.2,Delta,,yes,,Local.,,,,,,Colorado District 25 ARES,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,120,NW,yes,449.825,444.825,100,Delta,,yes,,,,W0ALC,,CCARC,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,NM5SJ,Lybrook,NM,OPEN,,120.1,SW,yes,145.49,144.89,100,Rio Arriba,On-Air,yes,,,,Totah ARC,,NMFCC,,,,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,120.5,NNE,yes,446.875,441.875,,Douglas,On-Air,yes,,,,W0VG,,CCARC,,RMHAM,Full-time to the  Colorado TRBO System .,http://www.rmham.org,,,,,,,,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,2,,,,,RMHAM,,,,,,,,,2,,,,,,,,,,,,,
53.01,-1,131.8,KB5ITS,Farmington,NM,OPEN,,121.8,WSW,yes,53.01,52.01,131.8,San Juan,On-Air,yes,,,,KB5ITS,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,K5WXI,Farmington,NM,OPEN,,121.8,WSW,yes,146.85,146.25,100,San Juan,On-Air,yes,100,,,Totah ARC,,NMFCC,,,,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KB5ITS,Farmington,NM,OPEN,,121.8,WSW,yes,147,147.6,100,San Juan,On-Air,yes,,,,,,NMFCC,,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,100,K5WY,Farmington,NM,OPEN,,121.8,WSW,yes,449,444,100,San Juan,,yes,,,,K5WY,,NMFCC,,,,,E-power.,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KB5ITS,Farmington,NM,OPEN,,121.8,WSW,yes,146.76,146.16,100,San Juan,On-Air,yes,100,,,,,NMFCC,,,Full-time to the  San Juan Connection System .,http://www.sjcham.com,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.325,5,CC1,N5UBJ,Farmington,NM,OPEN,,121.9,WSW,yes,442.325,447.325,,San Juan,On-Air,yes,,,,,,NMFCC,,,,http://www.aztrbonet.com/MinimalNetwatch,AZ-TRBONET,,,,,,,yes,1,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,,
444.15,5,,KF5VBF,Farmington,NM,OPEN,,121.9,WSW,yes,444.15,449.15,,San Juan,On-Air,yes,,,,San Juan County,,,,,,,DV only,,,,yes,KF5VBF (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,CSQ,W5PDO,"Los Alamos, Barranca Mesa",NM,OPEN,,122.8,S,yes,146.88,146.28,CSQ,Los Alamos,On-Air,yes,CSQ,,,Los Alamos ARC,Located on the Barranca Mesa water tower.,NMFCC,,,,,Autopatch,,,LAARC: Sun at 2000.,,,,,,,,,,,,,,,"Autopatch: Up- *88, wait for dialtone, and dial phone nbr. Down- #.",,,,,,,,,,,,,,,,,,,,,,,,,
1291.7,-20,,KF5VBF,"Farmington, Farmington Bluffs",NM,CLOSED,,123,WSW,yes,1291.7,1271.7,,San Juan,On-Air,yes,,,,San Juan County,,NMFCC,,,,,DV only,,,,yes,KF5VBF (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,5,100,KA5BIW,Los Alamos,NM,OPEN,E,123.5,S,yes,442,447,100,Los Alamos,On-Air,yes,,,,KA5BIW,,,,,,http://ka5biw.com/ham_radio/repeater.php,Linked with 224.04 KA5BIW,87566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.04,-1.6,100,KA5BIW,Los Alamos,NM,OPEN,,123.5,S,yes,224.04,222.44,100,Los Alamos,On-Air,yes,100,,,KA5BIW,linked with 442.0 KA5BIW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,123.7,N,yes,147.39,147.99,88.5,Summit,On-Air,yes,123,Wide area.,,Colorado Connection,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx",CCARC,,,Full-time to the  Colorado Connection System .,Breckenridge Repeater,12,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.775,5,131.8,WD9CMS,Los Alamos,NM,OPEN,,123.8,S,yes,444.775,449.775,,Los Alamos,On-Air,yes,,Los Alamos and surrounding areas,,WD9CMS,"Mixed mode analog and digital P25 system, linked with 927.9 WD9CMS",NMFCC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,
145.19,-0.6,162.2,W5SF,"Los Alamos, Pajarito Mountain",NM,OPEN,,123.8,S,yes,145.19,144.59,,Los Alamos,On-Air,yes,,Wide Area,,SFARC,W5SF/PAJ - Distinct from the NM5SC repeater near Cuba on Pajarito Peak.,NMFCC,,,,,,,,Northern New Mexico Amateur Radio Net: Mon at 20:30.,yes,W5SF (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.425,5,,NM5WR,Los Alamos,NM,OPEN,,123.8,S,yes,442.425,447.425,,Los Alamos,On-Air,yes,,30,,,,,,,,,,,,,yes,NM5WR (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.94,-1.6,CSQ,KB5RX,"Los Alamos, Pajarito Mountain",NM,OPEN,,124,S,yes,223.94,222.34,CSQ,Los Alamos,On-Air,yes,CSQ,,,,,NMFCC,,,,,E-power.,,,,,,,,,,,,,,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,
442.925,5,CC1,KE8AVN,Los Alamos,NM,OPEN,,124.3,S,yes,442.925,447.925,,Los Alamos,On-Air,yes,,,,,,,,,,,,,,,,,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC,NM5BB,Los Alamos,NM,OPEN,,124.3,S,yes,442.25,447.225,,Los Alamos,Off-Air,yes,,,,,TS1 only. Rocky Mountain Ham Radio,NMFCC,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,131.8,WD9CMS,Los Alamos,NM,OPEN,,124.3,S,yes,927.9,902.9,,Los Alamos,On-Air,yes,,Los Alamos and surrounding areas,,,"Mixed mode analog and digital P25 system, linked with 444.775 WD9CMS",NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,
144.265,0,203.5,KC2HSO,Los Alamos,NM,OPEN,I,124.3,S,yes,144.265,144.265,203.5,Los Alamos,On-Air,yes,,,,,,,,,,,,,8039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,127.3,KD5LWU,"Cortez, Downtown",CO,OPEN,EA,124.4,W,yes,146.79,146.19,127.3,Montezuma,On-Air,yes,127.3,,29317,KD5LWU,,CCARC,,,,,,24336,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.175,-5,127.3,KD5LWU,Cortez,CO,OPEN,E,124.4,W,yes,449.175,444.175,127.3,Montezuma,Off-Air,yes,,,,KD5LWU,,CCARC,,,,,,24336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,124.6,N,yes,445.0875,440.0875,,Fremont,On-Air,yes,,,,K2AD,,,,Rocky Mountain Ham Radio,,http://www.rmham.org/,,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,125.6,NE,yes,449.975,444.975,100,Douglas,On-Air,yes,100,,,K0JSC,"Can be linked to Allstar, Echolink and others by a Sysop",CCARC,,The Fun Machine,Full-time to the  The Fun Machine System .,The Fun Machine,Simulcast and Voted with Cedarwood and Methodist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,125.7,NE,yes,448.425,443.425,107.2,Douglas,On-Air,yes,107.2,Wide area,,Colorado Repeater Association (CRA),,,,ARESDEC,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",http://www.w0cra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,125.7,NE,yes,147.225,147.825,107.2,Douglas,On-Air,yes,107.2,Wide area,,Colorado Repeater Association (CRA),,CCARC,,CRA VHF Link System,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",Colorado Repeater Association,Closed autopatch,347086,3990,"CRA Net, Sunday 9AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,125.7,N,yes,146.7,146.1,107.2,Summit,On-Air,yes,,,,GRARC,,CCARC,,,,,E-power.,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.41,-0.6,100,W5HO,La Cueva,NM,OPEN,,126.2,S,yes,145.41,144.81,100,Santa Fe,Off-Air,yes,,,,W5HO,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,126.4,NW,yes,447.35,442.35,107.2,Delta,,yes,,,,Grand Mesa Repeater Assoc (GMRA),,CCARC,,,,GMRA Repeaters,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,126.4,NE,yes,447.725,442.725,100,El Paso,On-Air,yes,100,Local.,,K0NR,,CCARC,,,,http://www.k0nr.com/wordpress/k0nr-repeater/,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
