Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coordination,Last update,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Sponsor,Affiliate,Web links,Coverage,Features,Links,Notes,Nets,Grid,IRLP,Commands,EchoLink,AllStar,Feed,D-STAR Enabled,Node,Sources,On-air,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,YSF Digital Enabled,DG-ID,Local Network,Location Photo,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,North America,Local/Cluster,WIRES-X,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,59.4,WNW,yes,449.6,444.6,107.2,,Garfield,On-Air,CCARC,yes,,,,,,,,,,,,http://www.gmra.org,Wide area.,e-power Linked to GMRA open system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,59.4,SW,yes,147.12,147.72,,,Gunnison,On-Air,CCARC,yes,,,,,,,,,,W0VTL,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,59.4,WNW,yes,146.85,146.25,88.5,123,Garfield,On-Air,CCARC,yes,,,,,,,,,,Colorado Connection,,,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",70,,Part of the Colorado Connection System of Repeaters,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,59.4,SW,yes,449.95,444.95,,,Gunnison,,CCARC,yes,,,,,,,,,,K5GF,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,60.4,E,yes,447.5,442.5,88.5,88.5,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Aurora Repeater Association,,,Wide area.,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,60.6,NE,yes,146.985,146.385,100,100,Denver,On-Air,CCARC,yes,,,,,,,,,,El Jebel RADOPS,,,,E-power.,,,RADOPS: Sun at 19:00.,,3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,60.6,NE,yes,145.28,144.68,100,,Jefferson,On-Air,CCARC,yes,,,,,,,,,,,,Intermountain Repeater Group,Wide area.,"Closed autopatch, e-power, linked.","Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .","PL is usually off, allowing use by older transceivers.",Sun at 19:30. Everyone welcome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,60.6,NE,yes,449.525,444.525,CSQ,,Jefferson,On-Air,CCARC,yes,,,,,,,,,,KE0SJ,,Intermountain Repeater Group,,E-power.,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,60.6,NE,yes,146.64,146.04,100,,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Denver Radio League,,DRL Repeaters,"Wide area. 
   Repeater Coverage Map",E-power.,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,60.7,NNE,yes,446.875,441.875,,,Clear Creek,On-Air,,yes,yes,,,,,,,,,,RMHAM,http://www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,60.7,NNE,yes,146.82,146.22,123,,Grand,,CCARC,yes,,,,,,,,,,GCARA,,,,E-power.,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,60.7,NE,yes,448.625,443.625,100,100,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Denver Radio Club,,DRC Repeaters,Denver metro area.,E-power.,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,60.8,ESE,yes,446.875,441.875,,,Douglas,On-Air,CCARC,yes,yes,6,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,W0VG,RMHAM,http://www.rmham.org,,,Full-time to the  Colorado TRBO System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,60.9,NE,yes,446.7875,441.7875,,,Jefferson,On-Air,CCARC,yes,yes,1,,,,,,,,Denver Radio Club,Brandmeister Network,http://www.w0tx.org/,,,,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,60.9,NE,yes,927.8375,902.025,,,Jefferson,On-Air,CCARC,yes,,,,,,,,,,,,,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,,,The offset is -25.8125,,,,,,45770,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,62.4,NE,yes,224.6,223,100,,Gilpin,,CCARC,yes,,,,,,,,,,W0RM,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,62.9,NE,yes,224,222.4,103.5,103.5,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Rocky Mountain Radio League,,Repeater,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,62.9,NE,yes,448.85,443.85,88.5,88.5,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Aurora Repeater Assoc,,ARA Repeaters,"Denver metro, central front range",e-power.,,,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,62.9,NE,yes,147.15,147.75,100,100,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Aurora Repeater Assoc (ARA),,ARA Repeaters,"Denver metro, central front range",e-power,"Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,63,NE,yes,145.22,144.62,103.5,103.5,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Rocky Mtn Radio League,,Repeater,Wide area.,8,,Talk-Group of $FFFF.,,,,,,,,,,,,Yes; analog capable.,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,63,NE,yes,224.74,223.14,88.5,88.5,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Aurora Repeater Assoc,,ARA Repeaters,,e-power,,,ARA: Wed at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,63,NE,yes,449.75,444.75,103.5,103.5,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Rocky Mtn Radio League,,Repeater,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,63.1,ESE,yes,447.525,442.525,146.2,146.2,Douglas,On-Air,CCARC,yes,,,,,,,,,,EmComm Colorado,Colorado ARES,,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,63.1,ESE,yes,446.925,441.925,,,Douglas,On-Air,CCARC,yes,yes,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,1,2,,,,Rocky Mountain Ham Radio,,,Full-time to the  Colorado TRBO System .,See the website for programming info.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,63.8,NE,yes,145.31,144.71,88.5,123,Gilpin,On-Air,CCARC,yes,,,,,,,,,,Colorado Connection,,,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",10,Full-time to the  Colorado Connection System .,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX","Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,63.8,NE,yes,449.225,444.225,141.3,141.3,Gilpin,On-Air,CCARC,yes,,,,,,,,,,Rocky Mountain Ham Radio (RMHR),,,Wide area.,Emergency Power,,"Emcomm Affiliated, Open repeater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,64.3,E,yes,53.17,51.47,107.2,CSQ,Jefferson,On-Air,CCARC,yes,,,,,,,,,,N6LXX,N6LXX,,"I-70,I-76,I-25,I-225",,Full-time to the  N6LXX System .,,,,,,,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,64.3,E,yes,447.875,442.875,107.2,107.2,Jefferson,On-Air,CCARC,yes,,,,,,,,,,N6LXX,N6LXX,,"I-70,I-76,I-25,I-225",,Full-time to the  N6LXX System .,,,,,,,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,64.6,E,yes,146.88,146.28,100,,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Denver Radio League,,DRL Repeaters,Wide Area,E-power.,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,64.6,E,yes,449.6,444.6,100,,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Denver Radio League,,DRL Repeaters,,,,,,,3345,,690473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,65.3,E,yes,449.625,444.625,141.3,141.3,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Rocky Mountain Ham Radio,,,,E-power,,,,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,65.5,E,yes,1299.9,1299.9,,,Jefferson,On-Air,,yes,,,,,,,,,,Colorado D-Star,,Colorado D-Star,,,,,,,,,,,,yes,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,65.5,E,yes,1283.9625,1263.9625,,,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Colorado D-Star,,Colorado D-Star,,,,,,,,,,,,yes,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,65.5,E,yes,446.8375,441.8375,,,Jefferson,On-Air,CCARC,yes,yes,7,,,,,,,,WA2YZT,,,,200,Full-time to the  Colorado TRBO System .,See website for more info on CC/TS/TG programming.  www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,65.5,E,yes,145.37,144.77,,,Jefferson,On-Air,CCARC,yes,yes,7,,,,,,,,Rocky Mountain Ham Radio,,Rocky Mountain Ham Radio,,,,See the website for programming information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,65.5,E,yes,446.9625,441.9625,,,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Colorado D-Star,,Colorado D-Star,,,,,,,,,,,,yes,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,65.5,E,yes,145.25,144.65,,,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Colorado D-Star,,Colorado D-Star,,,,,,,,,,,,yes,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,66.9,E,yes,448.125,443.125,107.2,,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Denver PD EEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,66.9,E,yes,927.7875,902.7875,156.7,,Jefferson,On-Air,,yes,,,,,,,,,,N0PYY,,,Golden and Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,66.9,E,yes,448.975,443.975,123,,Jefferson,On-Air,CCARC,yes,,,,,,,,,,FRG,,,Wide area.,Linkable VHF/UHF Remote Base,,,,,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,67.1,E,yes,53.09,51.39,107.2,,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Denver Radio Club,,DRC Repeaters,Metro Denver area.,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,67.6,ESE,yes,147.225,147.825,107.2,107.2,Douglas,On-Air,CCARC,yes,,,,,,,,,,Colorado Repeater Association (CRA),CRA VHF Link System,Colorado Repeater Association,Wide area,Closed autopatch,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",,"CRA Net, Sunday 9AM",,3990,,347086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,67.6,ESE,yes,448.425,443.425,107.2,107.2,Douglas,On-Air,,yes,,,,,,,,,,Colorado Repeater Association (CRA),ARESDEC,http://www.w0cra.org,Wide area,,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,67.6,ESE,yes,449.975,444.975,100,100,Douglas,On-Air,CCARC,yes,,,,,,,,,,K0JSC,The Fun Machine,The Fun Machine,,Simulcast and Voted with Cedarwood and Methodist.,Full-time to the  The Fun Machine System .,"Can be linked to Allstar, Echolink and others by a Sysop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,68.2,E,yes,147.33,147.93,100,,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Denver Radio Club,,DRC Repeaters,Metro Denver and the foothills.,E-power.,,Not recommeded to use tone squelch on this repeater.,SATERN: Thu at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,68.2,E,yes,224.38,222.78,100,100,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Denver Radio Club,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,68.2,E,yes,446.975,441.975,,,Jefferson,On-Air,,yes,yes,0,,,,,,,,W0DMR,,http://www.w0dmr.org/,Denver Metro Area,,,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,68.2,E,yes,449.775,444.775,100,100,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Denver Radio Club,,Denver Radio Club,Metro Denver,,,,,,,,,,,,,,,Yes; analog capable.,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,68.6,SE,yes,146.82,146.22,107.2,,Teller,On-Air,CCARC,yes,,,,,,,,,,Mountain ARC,,,,E-power.,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,68.6,SE,yes,145.415,144.815,179.9,,Teller,,CCARC,yes,,,,,,,,,,MARC,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,68.6,SE,yes,447.675,442.675,179.9,179.9,Teller,On-Air,CCARC,yes,,,,,,,,,,Mountain Amateur Radio Club (MARC),,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,68.6,SE,yes,449.325,444.325,103.5,103.5,Teller,On-Air,CCARC,yes,,,,,,,,,,KA4EPS,Amateur Radio Motorcycle Club,,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Port. St John Florida can be expected.",E-power. Allstar Node 27976,,Node # 27976,"Sunday 1500 MST
Tuesday 1730 MST",,,,,27976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,68.6,SE,yes,927.9,902.9,D205,D205,Teller,On-Air,CCARC,yes,,,,,,,,,,MARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,68.6,SE,yes,448.65,443.65,107.2,,Teller,On-Air,CCARC,yes,,,,,,,,,,Mountain ARC (MARC),MARC,,,E-power.,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,68.6,SE,yes,449.025,444.025,141.3,,Teller,,CCARC,yes,,,,,,,,,,Mountain Amateur Radio Club (MARC),,,,Linked.,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,69.2,SE,yes,447.4,442.4,67,,Teller,On-Air,CCARC,yes,,,,,,,,,,WB0WDF,,,,"E-power, Solar, Remote Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,69.2,SE,yes,1287.7,1267.7,67,,Teller,Testing,CCARC,yes,,,,,,,,,,WB0WDF,,,,,,Testing in Canon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,69.2,SE,yes,145.46,144.86,67,,Teller,On-Air,CCARC,yes,,,,,,,,,,WB0WDF,RGARC,,,"E-power, 100% Solar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,69.2,SE,yes,224.94,223.34,67,,Teller,Testing,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,69.2,SE,yes,147.015,147.615,107.2,,Teller,On-Air,CCARC,yes,,,,,,,,,,Mountain ARC,,,,E-power.,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,69.8,E,yes,448.75,443.75,100,100,Jefferson,On-Air,CCARC,yes,,,,,,,,,,,N0ELY,,Local.,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,69.8,E,yes,447.825,442.825,D073,D073,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Denver Radio Club,,,,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,70.7,SE,yes,449,444,67,67,Fremont,On-Air,CCARC,yes,,,,,,,,,,WB0WDF,,Mega Link,,"E-power (Solar, Wind)",Full-time to the  Mega-Link System .,North of the Royal Gorge Bridge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,71.3,E,yes,448.35,443.35,,,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Denver Water Amateur Radio Club (DWARC),,http://www.DWARC.com,Denver Metro and surrounding,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,71.3,E,yes,147.21,147.81,100,100,Jefferson,On-Air,,yes,,,,,,,,,,Denver Water Amateur Radio Club,,http://www.dwarc.com,,,,,,,3241,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,72.8,SE,yes,448.45,443.45,100,,El Paso,On-Air,CCARC,yes,,,,,,,,,,Pikes Pk FM Assoc,,PPFMA Repeaters,Wide area.,E-power.,"Linkable to  
        146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,72.8,SE,yes,146.97,146.37,100,123,El Paso,On-Air,CCARC,yes,,,,,,,,,,Pikes Peak FM Assoc,,PPFMA Repeaters,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.","Closed autopatch, e-power.","Linkable to  
        448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,"Southern Colorado Traffic: Daily at 2000. 
Midday Severe Weather: Daily 1230 - 1240. 
PPFMA Weekly Info: Sun at 2030. 
ARES: Tue at 1900. 
SKYWARN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,73.2,NE,yes,146.91,147.51,123,127.3,Boulder,On-Air,,yes,,,,,,,,,,,"Town of Gold Hill, Colorado",http://goldhilltown.com/,"East of Gold Hill, The Indian Peaks, Denver, Boulder",,,There is a MOU With BCARES for repeater use.,"Summer Tue at 19:30P, Winter 19:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
