Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Links,EchoLink,IRLP,Coordination,Last update,YSF Digital Enabled,DG-ID,WIRES-X,Affiliate,Features,Mixed-Mode,Notes,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Grid,Web links,AllStar,Nets,Talkgroups,Colorado,Denver Regional,On-air,Commands,Feed,Southern Colorado,Worldwide,North America,Local/Cluster,P25 Digital Enabled,NAC,Default Reflector,Northern Colorado,Location Photo,Talkgroup Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Worldwide English,English,Texas,COMM 1,Texas/Oklahoma Regional USA,Kansas,Bandwidth,Local or Reflector,CKRG,KansasLink,Wyoming,WyLOCAL
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,135.7,W,yes,447.25,442.25,100,100,Fremont,On-Air,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",,Full-time to the  The Fun Machine System .,363976,7301,CCARC,yes,,,,,,,,,,,,,,DM78ik,K0JSC dot Com,28368,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,,,,,Listen Live,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,135.7,W,yes,53.03,51.33,88.5,88.5,Fremont,On-Air,,WB0WDF,,,,CCARC,yes,,,,RGARC,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",,Split site Fremont peak transmitter and 8 mile mountain reciever.,,,,,,,,Http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,135.7,W,yes,145.49,144.89,103.5,103.5,Fremont,On-Air,,Royal Gorge Amateur Radio Club,,,,CCARC,yes,,,,Colorado ARES Region 5 District 1,E-power (Bat),,,,,,,,,DM78ik,Royal Gorge Amateur Radio Club,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,135.7,W,yes,223.96,222.36,103.5,103.5,Fremont,On-Air,"Wide area. 
   Repeater Coverage Map",RGARC,,,,CCARC,yes,,,,,"E-power (Bat), Remote Base",,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,135.7,W,yes,447.75,442.75,103.5,103.5,Fremont,On-Air,,RGARC,,,3081,CCARC,yes,,,,,E-power (Bat),,,,,,,,,,Royal Gorge Amateur Radio Club,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,136.4,WNW,yes,446.875,441.875,,,Douglas,On-Air,,W0VG,Full-time to the  Colorado TRBO System .,,,CCARC,yes,,,,RMHAM,,,,,,,yes,6,,,http://www.rmham.org,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,2,,,,,,,2,,RMHAM,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,136.6,WNW,yes,446.925,441.925,,,Douglas,On-Air,,,Full-time to the  Colorado TRBO System .,,,CCARC,yes,,,,,,,See the website for programming info.,,,,yes,7,,,Rocky Mountain Ham Radio,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,136.6,WNW,yes,447.525,442.525,146.2,146.2,Douglas,On-Air,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",EmComm Colorado,,,,CCARC,yes,,,,Colorado ARES,,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,137.4,NW,yes,449.15,444.15,,,Arapahoe,On-Air,,Colorado Amateur Repeater Network (CARN),,,,CCARC,yes,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,107.2,WA6IFI,"Trinidad, Raton Pass",CO,OPEN,,137.8,SW,yes,145.43,144.83,107.2,,Las Animas,On-Air,,Cheyenne Mountain Repeater Group,,,,CCARC,yes,,,,,,,,,,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Raton, Raton Pass",NM,OPEN,,138.3,SW,yes,446.775,441.775,,,Colfax,On-Air,,Cheyenne Mountain Repeater Group,,,,NMFCC,yes,,,,,,,,yes,KD0RDI (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,http://www.cmrg.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,138.6,WSW,yes,145.355,144.755,100,,Huerfano,On-Air,,N0JPX,,,3974,CCARC,yes,,,,,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,138.8,W,yes,449,444,67,67,Fremont,On-Air,,WB0WDF,Full-time to the  Mega-Link System .,,,CCARC,yes,,,,,"E-power (Solar, Wind)",,North of the Royal Gorge Bridge.,,,,,,,,Mega Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.25,5,141.3,K0ECT,Montezuma,KS,OPEN,,139,SE,yes,444.25,449.25,141.3,141.3,Gray,On-Air,Local,SKECT,Full-time to the  SKECT System .,,,Kansas Repeater Council,yes,,,,,,,,,,,,,,,http://skect.org/default.aspx,,ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,139.2,NW,yes,448.15,443.15,141.3,141.3,Denver,On-Air,"Small coverage of the East Denver area SW of DIA. 
   Repeater Coverage Map",K0GUR,Full-time to the  The Fun Machine System .,24340,,CCARC,yes,,,,,E-power (batt).  2 meter and 70cm channel steerable remote bases.,,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,,,,,,,DM79pt,k0jsc.com,29436,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,139.7,NW,yes,448.5,443.5,100,,Denver,On-Air,Greater Denver area.,Castle Rock Repeater Group,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,CCARC,yes,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,139.7,NW,yes,448.4,443.4,94.8,,Arapahoe,On-Air,,,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,139.7,NW,yes,448.275,443.275,156.7,,Arapahoe,On-Air,,W0BG,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,139.7,NW,yes,448.825,443.825,,,Arapahoe,On-Air,,,,,,,yes,yes,Open ↑ / Open ↓,30584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.805,-0.6,103.5,W0KKS,Liberal,KS,OPEN,,140.9,SE,yes,146.805,146.205,103.5,103.5,Seward,On-Air,Local,Southern Plains ARC,,,,Kansas Repeater Council,yes,,,,,Autopatch,,,,,,,,,,http://spark-ks.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.1,5,141.3,K0ECT,Liberal,KS,OPEN,,141,SE,yes,443.1,448.1,141.3,,Seward,On-Air,Local,SPARK,Full-time to the  SKECT System .,,,Kansas Repeater Council,yes,,,,,Autopatch,,,,,,,,,,http://skect.org/default.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,100,NM5ML,"Raton, Sierra Grande",NM,OPEN,,141.7,SW,yes,147.28,147.88,100,,Colfax,On-Air,Wide area.,,Full-time to the  Mega-Link System .,,,NMFCC,yes,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.975,5,88.5,N5DFQ,Guymon,OK,OPEN,,141.8,SSE,yes,444.975,449.975,88.5,,Texas,On-Air,30,DBARC,,,,ORSI,yes,,,,,Linked.,,,,,,,,,,http://caprockintertie.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,,WK0DX,Plains,KS,OPEN,,142.7,SE,yes,147.18,147.78,,,Meade,On-Air,Local,WK0DX,,,,Kansas Repeater Council,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,143,WNW,yes,449.7,444.7,107.2,,Park,,,CMRG,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,88.5,N5DFQ,Guymon,OK,OPEN,,143.2,SSE,yes,147.15,147.75,88.5,,Texas,On-Air,,DBARC,Full-time to the  Caprock Intertie System .,,,ORSI,yes,,,,,"Linked, WX.",,,,,,,,,,http://caprockintertie.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,144.5,WNW,yes,146.88,146.28,100,,Jefferson,On-Air,Wide Area,Denver Radio League,,,,CCARC,yes,,,,,E-power.,,6,,,,,,,,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,144.5,WNW,yes,449.6,444.6,100,,Jefferson,On-Air,,Denver Radio League,,690473,3345,CCARC,yes,,,,,,,,,,,,,,,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,145.4,WSW,yes,449.75,444.75,100,100,Las Animas,On-Air,,N0ZSN,Full-time to the  The Fun Machine System .,363976,7301,CCARC,yes,,,,The Fun Machine,,,,,,,,,,,The Fun Machine,28368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,KD0RG,Hudson,CO,OPEN,E,145.7,NW,yes,449.925,444.925,114.8,114.8,Weld,On-Air,,KD0RG,,448035,,CCARC,yes,,,,K0UPS Club,,,,,,,,,,DN70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.5,5,141.3,WK0DX,Plains,KS,OPEN,,146.1,SE,yes,443.5,448.5,141.3,,Meade,On-Air,Wide Area,WK0DX,,,,Kansas Repeater Council,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,146.6,NW,yes,447.925,442.925,100,100,Denver,On-Air,,RADOPS El Jebel Shriners,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,146.6,NW,yes,145.475,144.875,100,,Jefferson,On-Air,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,,,,CCARC,yes,,,,,E-power.,,,,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,146.6,NW,yes,146.715,146.115,123,123,Denver,On-Air,,EARS,,,,CCARC,yes,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,146.6,NW,yes,448.075,443.075,123,,Denver,On-Air,,W0IG,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,146.6,NW,yes,448.55,443.55,82.5,,Denver,Off-Air,,HPRA,,,,CCARC,yes,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,146.6,NW,yes,447.9,442.9,CSQ,,Denver,Off-Air,,WB0TPT,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,146.6,NW,yes,449.65,444.65,,,Denver,On-Air,,Colorado Amateur Repeater Network (CARN),,,,CCARC,yes,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,146.6,NW,yes,449.675,444.675,,,Denver,On-Air,,Colorado Amateur Repeater Network (CARN),,,7708,CCARC,yes,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,146.7,WNW,yes,447.5,442.5,88.5,88.5,Jefferson,On-Air,Wide area.,Aurora Repeater Association,,,,CCARC,yes,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,147.4,W,yes,147.06,147.66,77,77,Custer,On-Air,,http://www.qsl.net/rghc,,,,CCARC,yes,,,,,E-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,147.4,W,yes,448.15,443.15,103.5,103.5,Custer,On-Air,,Royal George ARC,,,,CCARC,yes,,,,,E-power.,,,,,,,,,,http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,147.4,W,yes,927.775,902.775,D116,D116,Custer,On-Air,,Royal Gorge Amateur Radio Club,,,,CCARC,yes,,,,,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,147.4,NW,yes,447.175,442.175,100,100,Denver,On-Air,,W0JRL,,201712,,CCARC,yes,,,,,,,,,,,,,,,,29997,,,,,,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,147.5,W,yes,448.325,443.325,100,100,Custer,On-Air,,,Full-time to the  The Fun Machine System .,,,,yes,,,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,147.5,W,yes,919.1,894.1,88.5,CSQ,Pueblo,Off-Air,Wide area.,Pueblo HC,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.955,-0.6,,N0JUN,Holyoke,CO,OPEN,,147.6,N,yes,146.955,146.355,,,Phillips,,,PCARC,,,,CCARC,yes,,,,,E-power.,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,147.8,NW,yes,447.625,442.625,100,,Adams,On-Air,Local/North Metro,Intermountain Repeater Group,,,,,yes,,,,,,,,,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.375,5,,K0BAI,Ensign,KS,OPEN,,149.9,SE,yes,444.375,449.375,,,Gray,Off-Air,Local,K0BAI,,,,Kansas Repeater Council,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,,WA0JTB,"Sterling, CO",CO,OPEN,,149.9,N,yes,145.295,144.695,,,Logan,On-Air,Wide area,NECARA,,,,CCARC,yes,,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.575,5,162.2,K0HAM,"Ransom, K-Link",KS,OPEN,,151.2,ESE,yes,443.575,448.575,162.2,162.2,Ness,On-Air,Click for coverage map.  40 mi radius.,N7JYS,"Full-time to  
        442.45000 (N7JYS) at Hays, K-Link, KS .
 


Full-time to the  K-Link System .",,,Kansas Repeater Council,yes,,,,K-Link Repeater Network,,,,,,,,,,,K-Link Repeater Network,,ARES: Saturdays 21:00 local,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,151.4,NW,yes,448.75,443.75,100,100,Jefferson,On-Air,Local.,,,,,CCARC,yes,,,,N0ELY,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,151.4,NW,yes,147.33,147.93,100,,Jefferson,On-Air,Metro Denver and the foothills.,Denver Radio Club,,,,CCARC,yes,,,,,E-power.,,Not recommeded to use tone squelch on this repeater.,,,,,,,,DRC Repeaters,,SATERN: Thu at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,151.4,NW,yes,224.38,222.78,100,100,Jefferson,On-Air,,Denver Radio Club,,,,CCARC,yes,,,,,,,,,,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,151.4,NW,yes,449.775,444.775,100,100,Jefferson,On-Air,Metro Denver,Denver Radio Club,,,,CCARC,yes,yes,Open ↑ / Open ↓,,,,Yes; analog capable.,,,,,,,,,Denver Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,151.5,NW,yes,447.3,442.3,107.2,,Weld,On-Air,,,,405804,3887,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,152.1,NW,yes,447.825,442.825,D073,D073,Jefferson,On-Air,,Denver Radio Club,,,,CCARC,yes,,,,,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,152.2,WNW,yes,147.36,147.96,107.2,107.2,Park,On-Air,Wide area.,,,,3854,CCARC,yes,,,,,E-power.,,,,,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,152.3,WNW,yes,146.685,146.085,107.2,107.2,Park,On-Air,,Mountain ARC (MARC),"Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,CCARC,yes,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,MARC/PCRC: Tue at 19:30.,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,,KB0DZB,Oberlin,KS,OPEN,,152.4,NE,yes,145.19,144.59,,,Decatur,On-Air,Local,TRI-STATE.,,,,Kansas Repeater Council,yes,,,,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,152.9,NW,yes,147.045,147.645,123,CSQ,Adams,On-Air,,Northglenn RA,,,,CCARC,yes,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,152.9,NW,yes,449.3,444.3,100,,Adams,On-Air,,N1UPS,,43699,3699,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,153.1,NW,yes,147.21,147.81,100,100,Jefferson,On-Air,,Denver Water Amateur Radio Club,,,3241,,yes,,,,,,Yes; analog capable.,,,,,,,,,http://www.dwarc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,153.1,NW,yes,448.35,443.35,,,Jefferson,On-Air,Denver Metro and surrounding,Denver Water Amateur Radio Club (DWARC),,,,CCARC,yes,yes,Open ↑ / Open ↓,,,,,,,,,,,,,http://www.DWARC.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,153.4,WNW,yes,1287.9,1267.9,CSQ,,Jefferson,Off-Air,Fort Collins to Colorado Springs.,Colorado Repeater Association (CRA),,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,153.4,WNW,yes,224.98,223.38,107.2,107.2,Jefferson,Off-Air,Wide area. Denver.,Colorado Repeater Association,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",347086,3990,CCARC,yes,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,153.4,WNW,yes,447.15,442.15,107.2,107.2,Jefferson,Off-Air,Wide area: Denver.,Colorado Repeater Association (CRA),,,,CCARC,yes,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,153.7,NW,yes,53.09,51.39,107.2,,Jefferson,On-Air,Metro Denver area.,Denver Radio Club,,,,CCARC,yes,,,,,E-power.,,,,,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,154.5,WNW,yes,53.17,51.47,107.2,CSQ,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,Full-time to the  N6LXX System .,,,CCARC,yes,,,,N6LXX,,,,,,,,,,,,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,154.5,WNW,yes,447.875,442.875,107.2,107.2,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,Full-time to the  N6LXX System .,,,CCARC,yes,,,,N6LXX,,,,,,,,,,,,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.96,-1.6,CSQ,AC0KC,Fort Lupton,CO,OPEN,,155.2,NW,yes,224.96,223.36,CSQ,,Weld,On-Air,,AC0KC,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,155.5,WNW,yes,147.12,147.72,88.5,88.5,Jefferson,On-Air,Denver metro and east.,Aurora Repeater Association,,,,CCARC,yes,,,,,E-power.,,,,,,,,,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,155.9,WNW,yes,53.05,51.35,107.2,107.2,Jefferson,Off-Air,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",Colorado Repeater Association (CRA),,,,CCARC,yes,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
