Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,YSF Digital Enabled,DG-ID,WIRES-X,County,Grid,Op Status,Coverage,Sponsor,Features,Mixed-Mode,Last update,EchoLink,IRLP,AllStar,Nets,Web links,Coordination,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Denver Regional,Affiliate,Notes,Downlink Tone,Commands,Links,P25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,On-air,Northern Colorado,Worldwide,North America,Local/Cluster,Feed,Southern Colorado,Talkgroup Network,Location Photo,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Worldwide English,English,Wyoming,WyLOCAL
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,102.7,WNW,,446.9625,441.9625,,,,,Jefferson,,On-Air,,Colorado D-Star,,,,,,,,Colorado D-Star,CCARC,,,,,,,,,,,,,,,,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,102.7,WNW,,145.25,144.65,,,,,Jefferson,,On-Air,,Colorado D-Star,,,,,,,,Colorado D-Star,CCARC,,,,,,,,,,,,,,,,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,102.7,WNW,,145.37,144.77,,,,,Jefferson,,On-Air,,Rocky Mountain Ham Radio,,,,,,,,Rocky Mountain Ham Radio,CCARC,,7,,,,,,See the website for programming information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,102.8,WNW,,448.125,443.125,107.2,,,,Jefferson,,On-Air,,Denver PD EEB,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,102.8,WNW,,927.7875,902.7875,156.7,,,,Jefferson,,On-Air,Golden and Denver.,N0PYY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,102.8,WNW,,448.975,443.975,123,,,,Jefferson,,On-Air,Wide area.,FRG,Linkable VHF/UHF Remote Base,,,,,42845,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,103,WNW,,449.625,444.625,141.3,,,,Jefferson,,On-Air,,Rocky Mountain Ham Radio,E-power,,,,3750,,,,CCARC,,,,,,,,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.175,5,156.7,K0WPM,Tribune,KS,OPEN,,103.3,SE,,442.175,447.175,156.7,,,,Greeley,,On-Air,,WKARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,103.4,WNW,,446.975,441.975,,,,,Jefferson,,On-Air,Denver Metro Area,W0DMR,,,,,,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",http://www.w0dmr.org/,,,0,,,,,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,88.5,KS0GLD,Goodland,KS,OPEN,I,103.7,ESE,,147.03,147.63,88.5,,,,Sherman,,Off-Air,I-70,Sherman County Amateur Radio Club (SCARE),,,,,3769,,,SCARE on Facebook,,,,,,,,,This is the highest (above sea level) amateur repeater in Kansas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,,WA0JTB,"Sterling, CO",CO,OPEN,,103.9,N,,145.295,144.695,,,,,Logan,,On-Air,Wide area,NECARA,"Autopatch, e-power.",,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,104,WNW,,147.12,147.72,88.5,,,,Jefferson,,On-Air,Denver metro and east.,Aurora Repeater Association,E-power.,,,,,,,http://www.n0ara.org,CCARC,,,,,,,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,104.3,WSW,,449.975,444.975,100,,,,Fremont,,On-Air,,K0JSC,Simulcast TX / Voted RX with Cedarwood and Salida,,,,,,,http://www.k0jsc.com,CCARC,,,,,,,The Fun Machine,,100,,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,104.4,WNW,,53.05,51.35,107.2,,,,Jefferson,,Off-Air,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",Colorado Repeater Association (CRA),10,,,,,,,,CCARC,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,104.4,WNW,,145.175,144.575,D073,,,,Clear Creek,,Off-Air,,Rocky Mountain Ham Radio,,Yes; analog capable.,,,,,,Rocky Mountain Ham Radio,CCARC,,1,,,,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,D073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,104.4,WNW,,145.34,144.74,103.5,,,,Jefferson,,On-Air,Wide area.,Rocky Mtn Radio League,E-power.,,,,3350,,,Repeater,CCARC,,,,,,,,,127.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,106.7,WSW,,447.975,442.975,100,,,,Fremont,,On-Air,"Canon City area. 
   Repeater Coverage Map",K0JSC,Autopatch.,,,363976,7301,28368,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",http://www.k0jsc.com,CCARC,,,,,,,,,100,,Full-time to the  The Fun Machine System .,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,
146.73,-0.6,88.5,ND0Q,"Walsenburg, N Rattlesnake Butte",CO,OPEN,,108.3,SSW,,146.73,146.13,88.5,,,,Huerfano,,On-Air,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties.",Pueblo Ham Club,6,,,,,,,Pueblo Ham Club,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,108.6,WNW,,147.15,147.75,100,,,,Jefferson,,On-Air,"Denver metro, central front range",Aurora Repeater Assoc (ARA),e-power,,,,,,ARA: Wed at 20:00.,ARA Repeaters,CCARC,,,,,,,,,100,,"Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,108.6,WNW,,224.74,223.14,88.5,,,,Jefferson,,On-Air,,Aurora Repeater Assoc,e-power,,,,,,ARA: Wed at 2000.,ARA Repeaters,CCARC,,,,,,,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,108.6,WNW,,449.75,444.75,103.5,,,,Jefferson,,On-Air,,Rocky Mtn Radio League,8,,,,,,,Repeater,CCARC,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,108.6,WNW,,224,222.4,103.5,,,,Jefferson,,On-Air,,Rocky Mountain Radio League,8,,,,,,,Repeater,CCARC,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,108.6,WSW,,927.7,902.7,D114,,,,Fremont,,On-Air,,Royal Gorge ARC,,,,,,,,,CCARC,,,,,,,,,D114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,108.6,WNW,,448.85,443.85,88.5,,,,Jefferson,,On-Air,"Denver metro, central front range",Aurora Repeater Assoc,e-power.,,,,,,ARA: Wed at 20:00.,ARA Repeaters,CCARC,,,,,,,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,108.6,WNW,,145.22,144.62,103.5,,,,Jefferson,,On-Air,Wide area.,Rocky Mtn Radio League,8,Yes; analog capable.,,,,,,Repeater,CCARC,,,,,,,,Talk-Group of $FFFF.,103.5,,,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,108.7,WSW,,447.25,442.25,100,,,,Fremont,DM78ik,On-Air,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",,,,,363976,7301,28368,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",K0JSC dot Com,CCARC,,,,,,,,,100,,Full-time to the  The Fun Machine System .,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,108.7,W,,146.895,146.295,100,,,,Park,,On-Air,285,AB0RR,25,,,,,45835,Wed at 19:30.,Park County Radio Club (PCRC),CCARC,,,,,,,,,100,,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,108.7,WSW,,223.96,222.36,103.5,,,,Fremont,,On-Air,"Wide area. 
   Repeater Coverage Map",RGARC,"E-power (Bat), Remote Base",,,,,,,,CCARC,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,108.7,WSW,,446.7375,441.7375,,,,,Fremont,DM78ii,On-Air,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",,IPSC Link to the Colorado network on Talk Slot 2.,,,,,,,http://www.k0jsc.com,CCARC,,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,Rocky Mountain Ham Radio,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,,,Full-time to the  Colorado TRBO System .,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,108.7,WSW,,53.03,51.33,88.5,,,,Fremont,,On-Air,,WB0WDF,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",,,,,,,Http://www.qsl.net/rghc,CCARC,,,,,,,RGARC,Split site Fremont peak transmitter and 8 mile mountain reciever.,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,108.7,WSW,,145.49,144.89,103.5,,,,Fremont,DM78ik,On-Air,,Royal Gorge Amateur Radio Club,E-power (Bat),,,,,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",Royal Gorge Amateur Radio Club,CCARC,,,,,,,Colorado ARES Region 5 District 1,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,108.7,WSW,,447.75,442.75,103.5,,,,Fremont,,On-Air,,RGARC,E-power (Bat),,,,3081,,,Royal Gorge Amateur Radio Club,CCARC,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,109.2,WSW,,449,444,67,,,,Fremont,,On-Air,,WB0WDF,"E-power (Solar, Wind)",,,,,,,Mega Link,CCARC,,,,,,,,North of the Royal Gorge Bridge.,67,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,W0UPS,"Greeley, UNC",CO,OPEN,,109.3,NW,,146.85,146.25,100,,,,Weld,,On-Air,,Northern Colorado ARC,"E-power, WX.",,,,,,,,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,127.3,K0OJ,"Greeley, UNC",CO,OPEN,,109.4,NW,,449.725,444.725,127.3,,,,Weld,,On-Air,,K0OJ,"Autopatch, WX.",,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,109.4,WNW,,449.525,444.525,CSQ,,,,Jefferson,,On-Air,,KE0SJ,E-power.,,,,,,,Intermountain Repeater Group,CCARC,,,,,,,,,,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,109.4,WNW,,448.625,443.625,100,,,,Jefferson,,On-Air,Denver metro area.,Denver Radio Club,E-power.,,,,,,DRC: Sun at 20:30.,DRC Repeaters,CCARC,,,,,,,,,100,,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,109.4,WNW,,146.64,146.04,100,,,,Jefferson,,On-Air,"Wide area. 
   Repeater Coverage Map",Denver Radio League,E-power.,,,,,,,DRL Repeaters,CCARC,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,109.4,WNW,,146.985,146.385,100,,,,Denver,,On-Air,,El Jebel RADOPS,E-power.,,,,3346,,RADOPS: Sun at 19:00.,,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,109.4,WNW,,145.28,144.68,100,,,,Jefferson,,On-Air,Wide area.,,"Closed autopatch, e-power, linked.",,,,,,Sun at 19:30. Everyone welcome.,Intermountain Repeater Group,CCARC,,,,,,,,"PL is usually off, allowing use by older transceivers.",,,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,109.7,W,,146.685,146.085,107.2,,,,Park,,On-Air,,Mountain ARC (MARC),"Closed autopatch, e-power.",,,,,,MARC/PCRC: Tue at 19:30.,,CCARC,,,,,,,,,107.2,Autopatch: 911,"Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,109.7,W,,147.36,147.96,107.2,,,,Park,,On-Air,Wide area.,,E-power.,,,,3854,,,CMRG Repeaters,CCARC,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,W0IA,"Boulder, Gunbarrel Hill",CO,OPEN,,110,NW,,146.76,146.16,100,,,,Boulder,,On-Air,Wide area.,Rocky Mtn VHF Soc,5,,,,,,,,CCARC,,,,,,,Boulder County ARES,"ARES primary repeater. 
 Voting Receivers:  
 
   
    RX Location    Tone    Pitch    PL  
   
   Gunbarrel  single beep  low  100.0 
   
   Lousville  single beep  low  100.0 
   
   Lyons  double beep  high followed by medium  100.0 
   
   Louisville #2  double beep  high followed by low  100.0",,,,,,,,,,,,,,,,,,,Tone,single beep,single beep,double beep,double beep,,,,,,,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,110.1,WNW,,446.7875,441.7875,,,,,Jefferson,,On-Air,,Denver Radio Club,,,,,,,,http://www.w0tx.org/,CCARC,,1,,,,,Brandmeister Network,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,110.1,WNW,,927.8375,902.025,,,,,Jefferson,,On-Air,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,,,,,,,45770,,,CCARC,,,,,,,,The offset is -25.8125,,,,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KC0KWD,Greeley,CO,OPEN,I,110.6,NW,,147,147.6,100,,Open ↑ / Open ↓,,Weld,,On-Air,,Weld ARS,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016.",Yes; analog capable.,,,3839,,,,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,110.6,NW,,449.325,444.325,,,,,Weld,,On-Air,,Colorado Amateur Repeater Network (CARN),,,,,,,,,CCARC,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
448.475,-5,100,KC0KWD,Greeley,CO,OPEN,I,110.6,NW,,448.475,443.475,100,,,,Weld,,On-Air,,Weld Amateur Radio Society (WARS),,,,,3839,,,http://www.warsco.org/,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.525,-5,151.4,N0EPA,Longmont,CO,OPEN,E,112.3,NW,,448.525,443.525,151.4,,,,Boulder,,On-Air,,N0EPA,,,,223853,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,88.5,W0ENO,Longmont,CO,OPEN,,112.3,NW,,448.8,443.8,88.5,,,,Boulder,,On-Air,,Longmont ARC,30,,,,,,LARC: Sun at 20:00.,,CCARC,,,,,,,,,88.5,,"Linkable to  
        147.27000 (W0ENO) at Longmont, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,100,W0ENO,Longmont,CO,OPEN,,112.3,NW,,147.27,147.87,100,,,,Boulder,,On-Air,Wide area: Northern Colorado.,Longmont ARC (LARC),"Closed autopatch, e-power, EchoLink.",,,,,,,http://w0eno.org/?q=node/11,CCARC,,,,,,,,,100,,"Linkable to  
        448.80000 (W0ENO) at Longmont, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,112.4,WNW,,146.61,146.01,100,,,,Boulder,,Off-Air,,Boulder Amateur Radio Club,,,,,7007,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,112.4,WNW,,448.9,443.9,100,,,,Boulder,,On-Air,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",Boulder ARC,6,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.8625,-20,,KC0DS,Boulder,CO,OPEN,,112.5,NW,,1283.8625,1263.8625,,,,,Boulder,,On-Air,20,Boulder County ARES,E-power.,,,,,,,,CCARC,,,,,,,,,,,,,,,,KC0DS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,112.5,WNW,,146.7,146.1,100,,,,Boulder,,On-Air,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",Boulder Co ARC,6,,,,,,,BARC Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.3875,-0.6,,KC0DS,Boulder,CO,OPEN,,112.5,NW,,145.3875,144.7875,,,,,Boulder,,On-Air,20,Boulder County ARES,E-power.,,,,,,,http://bouldercountyares.org/technical/d-star,CCARC,,,,,,,,,,,,,,,,KC0DS (C),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,112.6,WNW,,447.85,442.85,141.3,,,,Clear Creek,,On-Air,Wide area at 9500',AC0KQ,AllStar node repeater providing wide area coverage along the Front Range,,,,,29571,,,CCARC,,,,,,,Rocky Mountain Ham Radio,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,113.5,WNW,,446.8,441.8,,,,,Boulder,,On-Air,Wide area.,Rocky Mountain Ham Radio,,,,,,,,Rocky Mountain Ham Radio,CCARC,,7,,,,,Rocky Mountain Ham Radio,See website for complete information regarding timeslot/colorcode/talkgroup programming.,,,Full-time to the  Colorado TRBO System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,113.5,WNW,,449,444,136.5,,,,Clear Creek,,On-Air,,CARN,,,,,,,,,CCARC,,,,,,,,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,113.5,WNW,,449.4,444.4,91.5,,,,Boulder,,Off-Air,,BARC,2,,,,,,,http://www.ked-wireless.com/products1.htm,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,113.5,WNW,,446.8625,441.8625,,,,,Boulder,,On-Air,,Boulder County ARES,,,,,,,,,CCARC,,,,,,,,,,,,,,,,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,113.5,WNW,,449.55,444.55,100,,,,Boulder,,On-Air,Denver metro area.,Rocky Mtn VHF Soc,8,,,217336,,,,,CCARC,,,,,,,,,,,"Full-time to  
        224.02000 (W0IA) at Boulder, Lee Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,113.5,WNW,,1299.5,1279.5,,,,,Boulder,,On-Air,,Boulder County ARES,E-power.,,,,,,,,CCARC,,,,,,,,,,,,,,,,W0DK (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
444,5,141.3,K0ECT,Syracuse,KS,OPEN,,113.6,SE,,444,449,141.3,,,,Hamilton,,On-Air,,SKECT,E-power.,,,,,,,http://skect.org/default.aspx,Kansas Repeater Council,,,,,,,,,141.3,,Full-time to the  SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,91.5,K0DK,Boulder,CO,OPEN,E,113.8,NW,,146.73,146.13,91.5,,,,Boulder,DN70jb,Off-Air,Local,BARC,12,,,115482,,,,http://www.ked-wireless.com/products1.htm,CCARC,,,,,,,,,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,114,WNW,,147.3,147.9,103.5,,,,Clear Creek,,On-Air,Wide area.,Denver PD EEB,,,,,,,,,CCARC,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,114,WNW,,448.675,443.675,100,,,,Denver,,On-Air,Wide area.,W0CFI,,,,,,,,,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,114.3,WNW,,146.94,146.34,103.5,,,,Clear Creek,,On-Air,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",Rocky Mtn Radio League,11,,,,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",Repeater,CCARC,,,,,,,,,103.5,Autopatch: 911* / Off 0*.,"Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,114.3,WNW,,449.35,444.35,100,,,,Clear Creek,,On-Air,Wide area.,Denver Radio Club,11,,,4140,,,,DRC Repeaters,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,114.3,WNW,,146.67,146.07,100,,,,Clear Creek,,On-Air,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",Castle Rock Repeater Group,11,,,,,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
