Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Downlink Tone,Op Status,Affiliate,Links,Coverage,Nets,Web links,Notes,EchoLink,DMR Enabled,Color Code,Wide Network,Grid,IRLP,AllStar,Commands,Talkgroup Network,Talkgroups,Wyoming,WyLOCAL,YSF Digital Enabled,DG-ID,Mixed-Mode,Colorado,Southern Colorado,Denver Regional,Northern Colorado,D-STAR Enabled,Node,Sources,Worldwide,North America,English,Local/Cluster,Mountain Reg USA,Local Network,Feed,Worldwide English,DCI Bridge,N. Colorado,TAC 310,P25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,Location Photo
146.82,-0.6,107.2,W0GJT,Grand Junction,CO,OPEN,A,113.6,SSW,yes,146.82,146.22,107.2,Mesa,,,,CCARC,yes,,On-Air,,,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,,,,,,,,28515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,113.6,SSW,yes,447.5,442.5,114.8,Mesa,Unknown,KC0ARV,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,113.6,SSW,yes,147.39,147.99,107.2,Mesa,Unknown,KE0TY,Linked.,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,113.6,SSW,yes,449,444,,Mesa,,KB0SW,,CCARC,yes,107.2,On-Air,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,113.6,SSW,yes,147.105,147.705,,Mesa,,K0SSI,,CCARC,yes,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.875,-5,CC1 123.0,KF7OBL,Rock Springs,WY,OPEN,,113.7,NW,yes,448.875,443.875,123,Sweetwater,,,DMRPlus,,yes,,On-Air,,,,,,,,yes,1,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      English  1  13      Local/Cluster  2  2      Mountain Reg USA  2  3177    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,Yes; analog capable.,,,,,,,,1,1,1,2,2,,,,,,,,,,,,,,,,
146.655,-0.6,107.2,KE7UUJ,"Rock Springs, Aspen Mountain",WY,OPEN,E,113.7,NW,yes,146.655,146.055,107.2,Sweetwater,,Sweetwater Amateur Radio Club,,,yes,107.2,On-Air,,,Wide area. 100 mi radius.,,http://wy7u.angelfire.com,Sweetwater Amateur Radio Club uses this repeater pair for ARES/RACES use on both analog and d-star at different times.,865361,,,,,,,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,,KA7PJK,Rock Springs,WY,OPEN,,113.7,NW,yes,147.3,147.9,,Sweetwater,,ka7PJk,,WRCG,yes,,Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,113.8,S,yes,147.33,147.93,107.2,Delta,,North Fork Repeater Assoc.,,CCARC,yes,,On-Air,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.5,5,123,N7ABC,Rock Springs,WY,OPEN,,114.5,NW,yes,444.5,449.5,123,Sweetwater,,Sweetwater ARC,,,yes,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,114.7,SSW,yes,147.355,146.755,88.5,Mesa,,Colorado Connection,,CCARC,yes,123,On-Air,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,115.6,SE,yes,224.6,223,100,Gilpin,Unknown,W0RM,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,114.8,KC7SNO,"Laramie, Beacon Hill",WY,OPEN,,116,E,yes,146.82,146.22,114.8,Albany,,Shy-Wy Amateur Radio Club,,WRCG,yes,,On-Air,,,Wide area.,Shy-WY ARC: Thu at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,,N7UW,"Laramie, University",WY,OPEN,,116.5,E,yes,146.61,146.01,,Albany,,University ARC,,WRCG,yes,,On-Air,,,Laramie Valley  30 mi radius.,,http://www.uwyo.edu/uarc,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.625,-0.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,116.7,ESE,yes,146.625,146.025,100,Larimer,,Northern Colorado ARC,E-power.,CCARC,yes,100,On-Air,,"Linkable to  
        146.85000 (W0UPS) at Greeley, UNC, CO .
 


Linkable to  
        224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",Wide area: Northern front range.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.84,-1.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,116.7,ESE,yes,224.84,223.24,100,Larimer,,Northern Colorado ARC,"E-power, 25 watts.",,yes,100,On-Air,,"Full-time to  
        447.70000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .","Wide Area: Northern CO Front Range and into Cheyenne - Laramie, WY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,116.8,SE,yes,146.91,147.51,123,Boulder,,,,,yes,127.3,On-Air,"Town of Gold Hill, Colorado",,"East of Gold Hill, The Indian Peaks, Denver, Boulder","Summer Tue at 19:30P, Winter 19:00.",http://goldhilltown.com/,There is a MOU With BCARES for repeater use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,116.8,ESE,yes,447.7,442.7,100,Larimer,,Northern Colorado Amateur Radio Club,,,yes,100,On-Air,,"Linkable to  
        146.62500 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .
 


Linkable to  
        146.85000 (W0UPS) at Greeley, UNC, CO .
 


Full-time to  
        224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",Wide Area Coverage,,http://ncarc.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,118.7,SSW,yes,449.575,444.575,131.8,Mesa,,,e-power. Linked to GMRA Open System,CCARC,yes,131.8,On-Air,Grand Mesa Repeater Assoc,,Grand Junction,Wed RACES Net 1930 Hrs,GMRA Repeaters,Closed IRLP out,,,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,118.7,SSW,yes,146.94,146.34,107.2,Mesa,,Western Colorado Amateur Radio Club,E-power and autopatch for WCARC members,CCARC,yes,107.2,On-Air,,,Grand Junction 30-50 mi,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,http://w0rrz.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.875,-25,D114,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,118.8,ESE,yes,927.875,902.875,D114,Larimer,,WA6IMI,,CCARC,yes,,Off-Air,,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",,,,Down due to lightning strike. Scheduled to return end of June 2012.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,KC0UFO,"Fairplay, Sacramento Mountain",CO,OPEN,,118.8,SE,yes,447.125,442.125,103.5,Park,,KC0UFO,Emergency automatic generator.,CCARC,yes,103.5,On-Air,"Park County Radio Club, AB0PC",,"Covers Fairplay, Alma, and western South Park.","When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.",,"Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.",,,,,DM69wf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,94.8,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,118.8,ESE,yes,449.425,444.425,94.8,Larimer,,,,,yes,,On-Air,,"Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,119.5,SE,yes,224.02,222.42,,Boulder,,Rocky Mtn VHF Soc,8,CCARC,yes,,On-Air,,"Full-time to  
        449.55000 (W0IA) at Boulder, CO .",Denver metro area.,,RMVHS repeaters,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,119.5,SE,yes,145.46,144.86,107.2,Boulder,,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,yes,107.2,On-Air,CRA VHF Link System,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",Boulder/Denver Metro,,,,347086,,,,,3990,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,119.5,SE,yes,447.975,442.975,107.2,Boulder,,Colorado Repeater Association (CRA),Closed autopatch.,CCARC,yes,107.2,On-Air,,,Wide area: Boulder/Longmont area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,119.5,SE,yes,447.75,442.75,141.3,Boulder,,Rocky Mountain Ham Radio,,CCARC,yes,141.3,On-Air,,,,,,,,,,,,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC1,N0SZ,"Boulder, Lee Hill",CO,OPEN,,119.5,SE,yes,445.05,440.05,,Boulder,,Rocky Mountain Ham Radio,BrandMeister Network,CCARC,yes,,On-Air,,,Wide area,,,,,yes,1,BrandMeister,,,,,,,,,,,,,,,,,,,,,,,,BrandMeister US,,,,,,,,,,,,,,,
446.9875,-5,CC7,N0SZ,"Boulder, Lee Hill",CO,OPEN,,119.5,SE,yes,446.9875,441.9875,,Boulder,,Rocky Mountain Ham Radio,Linked on Time Slot 2 to  Almagre Mtn  (446.950).,,yes,,On-Air,,"Full-time to  
        446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO .
 


Full-time to the  Colorado TRBO System .",,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,119.9,SE,yes,449.05,444.05,107.2,Denver,,WG0N,E-power.,CCARC,yes,107.2,On-Air,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,120,SE,yes,449.225,444.225,141.3,Gilpin,,Rocky Mountain Ham Radio (RMHR),Emergency Power,CCARC,yes,141.3,On-Air,,,Wide area.,,,"Emcomm Affiliated, Open repeater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,120,SE,yes,145.31,144.71,88.5,Gilpin,,Colorado Connection,10,CCARC,yes,123,On-Air,,Full-time to the  Colorado Connection System .,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.","Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.775,5,CC12 123.0,AD0BN,"Green River, Green River High School",WY,OPEN,,121,NW,yes,444.775,449.775,123,Sweetwater,,,,WRCG,yes,123,Testing,,,"Note: This repeater will operate in digital mode only. It may, however, be switched to analogue mode under special circumstances and will use a tone of 123/123. Digital repeater should provide portable coverage in the Green River area when operational. Repeater is not currently on-air but has been coordinated and is awaiting installation. Please use Talkgroup 2 and Timeslot 2 for local communications. Repeater uses color 12.",,,,,yes,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.225,-5,CC11,WY7EOC,"Laramie, Pilot Hill",WY,CLOSED,,122,E,yes,447.225,442.225,,Albany,,Laramie County EM,,WRCG,yes,,On-Air,Wyoming DMR Project,,Wide area.,,,,,yes,11,,,,,,Wyoming DMR Project,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Wyoming  1  3156  Full-Time    WyLOCAL  2  100  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1,,K7UWR,"Laramie,  Pilot Hill",WY,OPEN,,122.2,E,yes,53.03,52.03,,Albany,,K7UWR,8,,yes,,Off-Air,,,I-80 from west of Laramie to east of Cheyenne for 25 watt mobiles with 1/4 wave antenna.,,http://www.r-vcr.com/k7uwr/repeater.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,122.5,SSW,yes,448.15,443.15,100,Mesa,,,,CCARC,yes,,On-Air,,,,,,,312189,,,,,7963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,122.9,SE,yes,449.45,444.45,103.5,Clear Creek,,Rocky Mountain Radio League,11,CCARC,yes,127.3,On-Air,,,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",RMRL: Mon at 20:30.,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,122.9,SE,yes,146.94,146.34,103.5,Clear Creek,,Rocky Mtn Radio League,11,CCARC,yes,103.5,On-Air,,"Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .","Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.","Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",Repeater,,,,,,,,,Autopatch: 911* / Off 0*.,,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,122.9,SE,yes,448.225,443.225,141.3,Clear Creek,,Rocky Mountain Ham Radio,E-power(gen).,CCARC,yes,141.3,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,122.9,SE,yes,446.9375,441.9375,,Clear Creek,,Rocky Mountain Ham Radio,,CCARC,yes,,On-Air,,Full-time to the  Colorado TRBO System .,,,Rocky Mountain Ham Radio,See the website for programming information.,,yes,7,,,,,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,123,SE,yes,449.35,444.35,100,Clear Creek,,Denver Radio Club,11,CCARC,yes,100,On-Air,,,Wide area.,,DRC Repeaters,,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,123,SE,yes,145.145,144.545,107.2,Clear Creek,,Colorado Repeater Assoc,E-power.,CCARC,yes,107.2,On-Air,,,Wide area. Denver metro.,,http://www.w0cra.org/info/squaw.html#145145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,123,SE,yes,447.575,442.575,107.2,Clear Creek,,Colorado Repeater Association (CRA),,CCARC,yes,107.2,On-Air,,,Wide area: Denver metro.,,http://www.w0cra.org,,347088,,,,,3291,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,123,SE,yes,146.67,146.07,100,Clear Creek,,Castle Rock Repeater Group,11,CCARC,yes,100,On-Air,,,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,123,SE,yes,145.49,144.89,100,Jefferson,,"KB0VIU,  Denver Radio Club",E-power.,CCARC,yes,100,On-Air,,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",,DRC: Sun at 20:30.,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,123.2,SE,yes,448.675,443.675,100,Denver,,W0CFI,,CCARC,yes,100,On-Air,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,123.3,SE,yes,147.3,147.9,103.5,Clear Creek,,Denver PD EEB,,CCARC,yes,103.5,On-Air,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.52,-1.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,123.4,ESE,yes,224.52,222.92,100,Larimer,,Northern Colorado ARC,E-power.,CCARC,yes,100,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,E,123.4,ESE,yes,145.115,144.515,100,Larimer,,Northern Colorado ARC,7,CCARC,yes,100,On-Air,,,Wide area.,,,,4236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.825,-25,100,AB0SF,"Fort Collins, Horsetooth Mountain",CO,OPEN,,123.4,ESE,yes,927.825,902.825,100,Larimer,,AB0SF,,CCARC,yes,100,On-Air,,,"Decent coverage throughout northern Fort Collins, out east to beyond Windsor.",,,Converted 800 MHz beam antenna pointed directly down Horsetooth Road in Fort Collins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,123.4,ESE,yes,447.275,442.275,100,Larimer,,Northern Colorado ARC,"Closed autopatch, e-power.",CCARC,yes,100,On-Air,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.95,-25,100,K1TJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,123.4,ESE,yes,927.95,902.95,100,Larimer,,K1TJ Repeater System,25,CCARC,yes,100,On-Air,,,Northern Front Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,123.7,SE,yes,449,444,136.5,Clear Creek,,CARN,,CCARC,yes,136.5,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,124.2,SE,yes,447.85,442.85,141.3,Clear Creek,,AC0KQ,AllStar node repeater providing wide area coverage along the Front Range,CCARC,yes,141.3,On-Air,Rocky Mountain Ham Radio,,Wide area at 9500',,,,,,,,,,29571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,CC2,KB0VGD,"Fort Collins , Horsetooth Mountain",CO,OPEN,,124.3,ESE,yes,145.265,144.665,,Larimer,,W0DMR - NoCo C-bridge Network,,CCARC,yes,,On-Air,Brandmeister Network,,Northern Colorado Front Range Wide Area coverage.,,http://www.w0dmr.org/,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,yes,2,,,,,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",BrandMeister US,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,2,,,,,,,,1,,2,,,,1,1,2,,,,,,,,,,,
446.75,-5,CC7,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,124.3,ESE,yes,446.75,441.75,,Larimer,,Rocky Mountain Ham Radio,,CCARC,yes,,On-Air,,Full-time to the  Colorado TRBO System .,,,http://www.rmham.org,See website for complete info on color codes/time slot assignment.,,yes,7,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,124.8,SE,yes,446.8625,441.8625,,Boulder,,Boulder County ARES,,CCARC,yes,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,yes,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,124.8,SE,yes,446.8,441.8,,Boulder,,Rocky Mountain Ham Radio,,CCARC,yes,,On-Air,Rocky Mountain Ham Radio,Full-time to the  Colorado TRBO System .,Wide area.,,Rocky Mountain Ham Radio,See website for complete information regarding timeslot/colorcode/talkgroup programming.,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,124.8,SE,yes,1299.5,1279.5,,Boulder,,Boulder County ARES,E-power.,CCARC,yes,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,yes,W0DK (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,124.9,SE,yes,449.55,444.55,100,Boulder,,Rocky Mtn VHF Soc,8,CCARC,yes,,On-Air,,"Full-time to  
        224.02000 (W0IA) at Boulder, Lee Hill, CO .",Denver metro area.,,,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,124.9,SE,yes,449.4,444.4,91.5,Boulder,,BARC,2,CCARC,yes,,Off-Air,,,,,http://www.ked-wireless.com/products1.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,125.2,SE,yes,146.7,146.1,100,Boulder,,Boulder Co ARC,6,CCARC,yes,,On-Air,,,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",,BARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,125.4,SE,yes,146.61,146.01,100,Boulder,,Boulder Amateur Radio Club,,CCARC,yes,,Off-Air,,,,,,,,,,,,7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,125.4,SE,yes,448.9,443.9,100,Boulder,,Boulder ARC,6,CCARC,yes,,On-Air,,,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,91.5,K0DK,Boulder,CO,OPEN,E,125.5,SE,yes,146.73,146.13,91.5,Boulder,,BARC,12,CCARC,yes,91.5,Off-Air,,,Local,,http://www.ked-wireless.com/products1.htm,,115482,,,,DN70jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
