Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Northern Colorado,County,Op Status,Affiliate,Features,Links,Notes,Web links,Coordination,Last update,Downlink Tone,Coverage,Sponsor,Nets,Grid,EchoLink,YSF Digital Enabled,DG-ID,Mixed-Mode,IRLP,D-STAR Enabled,Node,Sources,AllStar,Feed,Commands,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Talkgroup Network,Worldwide English,North America,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Denver Regional,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,English,On-air,Local Network,Southern Colorado,Wyoming,WyLOCAL,Location Photo
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,75.8,SW,yes,447.525,442.525,203.5,,,,,,,Douglas,On-Air,Colorado ARES,,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,CCARC,yes,146.2,"Denver metropolitan area, front range foothills",EmComm Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,E,76.1,WNW,yes,145.115,144.515,100,,,,,,,Larimer,On-Air,,7,,,,CCARC,yes,100,Wide area.,Northern Colorado ARC,,,4236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,76.1,WNW,yes,447.275,442.275,100,,,,,,,Larimer,On-Air,,"Closed autopatch, e-power.",,,,CCARC,yes,100,Wide area.,Northern Colorado ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.825,-25,100,AB0SF,"Fort Collins, Horsetooth Mountain",CO,OPEN,,76.1,WNW,yes,927.825,902.825,100,,,,,,,Larimer,On-Air,,,,Converted 800 MHz beam antenna pointed directly down Horsetooth Road in Fort Collins.,,CCARC,yes,100,"Decent coverage throughout northern Fort Collins, out east to beyond Windsor.",AB0SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.52,-1.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,76.1,WNW,yes,224.52,222.92,100,,,,,,,Larimer,Off-Air,,E-power.,,,,CCARC,yes,100,,Northern Colorado ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.95,-25,100,K1TJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,76.2,WNW,yes,927.95,902.95,100,,,,,,,Larimer,On-Air,,25,,,,CCARC,yes,100,Northern Front Range,K1TJ Repeater System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.3875,-0.6,,KC0DS,Boulder,CO,OPEN,,77,W,yes,145.3875,144.7875,,,,,,,,Boulder,On-Air,,E-power.,,,http://bouldercountyares.org/technical/d-star,CCARC,yes,,20,Boulder County ARES,,,,,,,,yes,KC0DS (C),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.8625,-20,,KC0DS,Boulder,CO,OPEN,,77,W,yes,1283.8625,1263.8625,,,,,,,,Boulder,On-Air,,E-power.,,,,CCARC,yes,,20,Boulder County ARES,,,,,,,,yes,KC0DS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,91.5,K0DK,Boulder,CO,OPEN,E,77.4,W,yes,146.73,146.13,91.5,,,,,,,Boulder,Off-Air,,12,,,http://www.ked-wireless.com/products1.htm,CCARC,yes,91.5,Local,BARC,,DN70jb,115482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,78.1,WSW,yes,448.35,443.35,,,,,,,,Jefferson,On-Air,,,,,http://www.DWARC.com,CCARC,yes,,Denver Metro and surrounding,Denver Water Amateur Radio Club (DWARC),,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,78.1,WSW,yes,147.21,147.81,100,,,,,,,Jefferson,On-Air,,,,,http://www.dwarc.com,,yes,100,,Denver Water Amateur Radio Club,,,,,,Yes; analog capable.,3241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,79.2,SW,yes,449.95,444.95,77,,,,,,,Douglas,On-Air,,,,,,CCARC,yes,77,Primarily to the North along I-25 corridor,W9SL Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,79.3,WSW,yes,449.55,444.55,100,,,,,,,Boulder,On-Air,,8,"Full-time to  
        224.02000 (W0IA) at Boulder, Lee Hill, CO .",,,CCARC,yes,,Denver metro area.,Rocky Mtn VHF Soc,,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,79.3,WSW,yes,449.4,444.4,91.5,,,,,,,Boulder,Off-Air,,2,,,http://www.ked-wireless.com/products1.htm,CCARC,yes,,,BARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,79.4,WSW,yes,446.8625,441.8625,,,,,,,,Boulder,On-Air,,,,,,CCARC,yes,,,Boulder County ARES,,,,,,,,yes,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,79.4,WSW,yes,446.8,441.8,,yes,7,,,,,Boulder,On-Air,Rocky Mountain Ham Radio,,Full-time to the  Colorado TRBO System .,See website for complete information regarding timeslot/colorcode/talkgroup programming.,Rocky Mountain Ham Radio,CCARC,yes,,Wide area.,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,79.4,WSW,yes,1299.5,1279.5,,,,,,,,Boulder,On-Air,,E-power.,,,,CCARC,yes,,,Boulder County ARES,,,,,,,,yes,W0DK (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,79.5,WSW,yes,448.75,443.75,100,,,,,,,Jefferson,On-Air,N0ELY,E-power.,,,,CCARC,yes,100,Local.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,79.5,WSW,yes,447.825,442.825,D073,,,,,,,Jefferson,On-Air,,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,CCARC,yes,D073,,Denver Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9375,-5,CC7,K7PFJ,"Cheyenne, South",WY,OPEN,,79.6,NW,yes,449.9375,444.9375,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Laramie,On-Air,,,Full-time to the  Rocky Mountain Ham System .,,https://www.rmham.org/wordpress/,WRCG,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,80.2,WSW,yes,146.61,146.01,100,,,,,,,Boulder,Off-Air,,,,,,CCARC,yes,,,Boulder Amateur Radio Club,,,,,,,7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,80.2,WSW,yes,448.9,443.9,100,,,,,,,Boulder,On-Air,,6,,,,CCARC,yes,,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",Boulder ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,80.4,WSW,yes,146.7,146.1,100,,,,,,,Boulder,On-Air,,6,,,BARC Repeaters,CCARC,yes,,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",Boulder Co ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,114.8,KC7SNO,"Cheyenne, Denver Hill",WY,OPEN,,80.6,NW,yes,146.775,146.175,114.8,,,,,,,Laramie,On-Air,,"E-power, WX.","Full-time to  
        147.16500 (KC7SNO) at Albin, WY .",,,WRCG,yes,,,Shy-Wy Amateur Radio Club,"Weather Net: Daily at 06:45. 
Shy-WY ARC: Sun at 07:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,81.2,WSW,yes,147.33,147.93,100,,,,,,,Jefferson,On-Air,,E-power.,,Not recommeded to use tone squelch on this repeater.,DRC Repeaters,CCARC,yes,,Metro Denver and the foothills.,Denver Radio Club,SATERN: Thu at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,81.2,WSW,yes,449.775,444.775,100,,,,,,,Jefferson,On-Air,,,,,Denver Radio Club,CCARC,yes,100,Metro Denver,Denver Radio Club,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,81.2,WSW,yes,224.38,222.78,100,,,,,,,Jefferson,On-Air,,,,,DRC Repeaters,CCARC,yes,100,,Denver Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,94.8,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,81.3,WNW,yes,449.425,444.425,94.8,,,,,,,Larimer,On-Air,,,"Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.875,-25,D114,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,81.3,WNW,yes,927.875,902.875,D114,,,,,,,Larimer,Off-Air,,,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",Down due to lightning strike. Scheduled to return end of June 2012.,,CCARC,yes,,,WA6IMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,81.5,WSW,yes,446.975,441.975,,yes,0,,,,,Jefferson,On-Air,,,,,http://www.w0dmr.org/,,yes,,Denver Metro Area,W0DMR,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",,,,,,,,,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,114.8,KC7SNO,"Cheyenne, North Park",WY,OPEN,,81.5,NW,yes,147.105,147.705,114.8,,,,,,,Laramie,On-Air,,,,,,WRCG,yes,91.5,,ShyWyArc,,DN71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,100,N7JJY,Cheyenne,WY,OPEN,,81.5,NW,yes,449.9,444.9,100,,,,,,,Laramie,On-Air,,,,To be used as a portable repeater for ARES/RACES or as needed for specific needs of the Amateur Community in Laramie County or other areas as needed. Repeater will be on when needed otherwise offline.,,,yes,100,From 5 miles to 25 miles,N7JJY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.235,-0.6,114.8,KB7SWR,Cheyenne,WY,OPEN,,81.5,NW,yes,145.235,144.635,114.8,,,,,,,Laramie,On-Air,,,"Full-time to  
        448.15000 (KB7SWR) at Cheyenne, WY .",25,,WRCG,yes,,Local: Cheyenne.,N7GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.95,-5,CC15 151.4,KC7DHF,"Cheyenne, Old airport control tower",WY,OPEN,,82.1,NW,yes,448.95,443.95,151.4,yes,15,,,,,Laramie,On-Air,,,,Brandmiester and analog.,,WRCG,yes,151.4,Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.955,-0.6,,N0JUN,Holyoke,CO,OPEN,,82.1,E,yes,146.955,146.355,,,,,,,,Phillips,,,E-power.,,,,CCARC,yes,,,PCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,82.2,WSW,yes,53.09,51.39,107.2,,,,,,,Jefferson,On-Air,,E-power.,,,DRC Repeaters,CCARC,yes,,Metro Denver area.,Denver Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,114.8,KC7SNO,Albin,WY,OPEN,,82.2,N,yes,147.165,147.765,114.8,,,,,,,Laramie,On-Air,,E-power.,"Full-time to  
        147.10500 (KC7SNO) at Cheyenne, North Park, WY .
 


Full-time to  
        146.77500 (KC7SNO) at Cheyenne, Denver Hill, WY .",,,WRCG,yes,,,Shy-Wy Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,82.6,WSW,yes,927.7875,902.7875,156.7,,,,,,,Jefferson,On-Air,,,,,,,yes,,Golden and Denver.,N0PYY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,82.6,WSW,yes,448.125,443.125,107.2,,,,,,,Jefferson,On-Air,,,,,,CCARC,yes,,,Denver PD EEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,82.6,WSW,yes,448.975,443.975,123,,,,,,,Jefferson,On-Air,,Linkable VHF/UHF Remote Base,,,,CCARC,yes,,Wide area.,FRG,,,,,,,,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,83,W,yes,224.02,222.42,,,,,,,,Boulder,On-Air,,8,"Full-time to  
        449.55000 (W0IA) at Boulder, CO .",,RMVHS repeaters,CCARC,yes,,Denver metro area.,Rocky Mtn VHF Soc,,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC1,N0SZ,"Boulder, Lee Hill",CO,OPEN,,83,W,yes,445.05,440.05,,yes,1,BrandMeister,,,,Boulder,On-Air,,BrandMeister Network,,,,CCARC,yes,,Wide area,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrandMeister US,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,83,W,yes,447.75,442.75,141.3,,,,,,,Boulder,On-Air,,,,,,CCARC,yes,141.3,,Rocky Mountain Ham Radio,,,,,,,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,83,W,yes,145.46,144.86,107.2,,,,,,,Boulder,On-Air,CRA VHF Link System,"Closed autopatch, e-power.","Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,CCARC,yes,107.2,Boulder/Denver Metro,Colorado Repeater Association (CRA),,,347086,,,,3990,,,,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,83,W,yes,447.975,442.975,107.2,,,,,,,Boulder,On-Air,,Closed autopatch.,,,,CCARC,yes,107.2,Wide area: Boulder/Longmont area.,Colorado Repeater Association (CRA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC7,N0SZ,"Boulder, Lee Hill",CO,OPEN,,83,W,yes,446.9875,441.9875,,yes,7,,,,,Boulder,On-Air,,Linked on Time Slot 2 to  Almagre Mtn  (446.950).,"Full-time to  
        446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO .
 


Full-time to the  Colorado TRBO System .",,,,yes,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,83.9,WSW,yes,1299.9,1299.9,,,,,,,,Jefferson,On-Air,,,,,Colorado D-Star,,yes,,,Colorado D-Star,,,,,,,,yes,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,83.9,WSW,yes,446.8375,441.8375,,yes,7,,,,,Jefferson,On-Air,,200,Full-time to the  Colorado TRBO System .,See website for more info on CC/TS/TG programming.  www.rmham.org,,CCARC,yes,,,WA2YZT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,83.9,WSW,yes,446.9625,441.9625,,,,,,,,Jefferson,On-Air,,,,,Colorado D-Star,CCARC,yes,,,Colorado D-Star,,,,,,,,yes,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,83.9,WSW,yes,145.37,144.77,,yes,7,,,,,Jefferson,On-Air,,,,See the website for programming information.,Rocky Mountain Ham Radio,CCARC,yes,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,83.9,WSW,yes,1283.9625,1263.9625,,,,,,,,Jefferson,On-Air,,,,,Colorado D-Star,CCARC,yes,,,Colorado D-Star,,,,,,,,yes,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,83.9,WNW,yes,447.7,442.7,100,,,,,,,Larimer,On-Air,,,"Linkable to  
        146.62500 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .
 


Linkable to  
        146.85000 (W0UPS) at Greeley, UNC, CO .
 


Full-time to  
        224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,http://ncarc.net/,,yes,100,Wide Area Coverage,Northern Colorado Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,83.9,WSW,yes,145.25,144.65,,,,,,,,Jefferson,On-Air,,,,,Colorado D-Star,CCARC,yes,,,Colorado D-Star,,,,,,,,yes,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,84.1,WSW,yes,449.625,444.625,141.3,,,,,,,Jefferson,On-Air,,E-power,,,,CCARC,yes,141.3,,Rocky Mountain Ham Radio,,,,,,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.84,-1.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,84.2,WNW,yes,224.84,223.24,100,,,,,,,Larimer,On-Air,,"E-power, 25 watts.","Full-time to  
        447.70000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,yes,100,"Wide Area: Northern CO Front Range and into Cheyenne - Laramie, WY",Northern Colorado ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.625,-0.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,84.2,WNW,yes,146.625,146.025,100,,,,,,,Larimer,On-Air,,E-power.,"Linkable to  
        146.85000 (W0UPS) at Greeley, UNC, CO .
 


Linkable to  
        224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,CCARC,yes,100,Wide area: Northern front range.,Northern Colorado ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,103.5,KC0VJD,Hugo,CO,OPEN,W,84.4,SSE,yes,447,442,103.5,,,,,,,Lincoln,On-Air,,APRS repeater &amp; I-Gate / Weather station,,,,,yes,,"I-70, US-71, US-287, US-40, US-24, Hugo, Limon, Genoa, Punkin Center, Arriba.",Delbert Noakes (KC0VJD),,DM89gb,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,30534,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,85,WSW,yes,53.17,51.47,107.2,,,,,,,Jefferson,On-Air,N6LXX,,Full-time to the  N6LXX System .,,,CCARC,yes,CSQ,"I-70,I-76,I-25,I-225",N6LXX,,,,,,,,,,,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,85,WSW,yes,447.875,442.875,107.2,,,,,,,Jefferson,On-Air,N6LXX,,Full-time to the  N6LXX System .,,,CCARC,yes,107.2,"I-70,I-76,I-25,I-225",N6LXX,,,,,,,,,,,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,-0.6,103.5,N0NEB,Harrisburg,NE,OPEN,,85.7,N,yes,147,146.4,103.5,,,,,,,Banner,On-Air,,,,,,,yes,,,Tri-City Radio Amateur Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,86,W,yes,146.91,147.51,123,,,,,,,Boulder,On-Air,"Town of Gold Hill, Colorado",,,There is a MOU With BCARES for repeater use.,http://goldhilltown.com/,,yes,127.3,"East of Gold Hill, The Indian Peaks, Denver, Boulder",,"Summer Tue at 19:30P, Winter 19:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,87.2,WSW,yes,145.22,144.62,103.5,,,,,,,Jefferson,On-Air,,8,,Talk-Group of $FFFF.,Repeater,CCARC,yes,103.5,Wide area.,Rocky Mtn Radio League,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,87.2,WSW,yes,224.74,223.14,88.5,,,,,,,Jefferson,On-Air,,e-power,,,ARA Repeaters,CCARC,yes,88.5,,Aurora Repeater Assoc,ARA: Wed at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,87.2,WSW,yes,449.75,444.75,103.5,,,,,,,Jefferson,On-Air,,8,,,Repeater,CCARC,yes,103.5,,Rocky Mtn Radio League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,87.3,SW,yes,449.6,444.6,100,,,,,,,Jefferson,On-Air,,,,,DRL Repeaters,CCARC,yes,,,Denver Radio League,,,690473,,,,3345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,123,N0FH,Estes Park,CO,OPEN,EI,87.3,W,yes,146.685,146.085,123,,,,,,,Larimer,On-Air,,E-power.,"Full-time to  
        449.80000 (N0FH) at Estes Park, CO .","Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",,CCARC,yes,,Estes Valley and east RMNP - some coverage E and SE (Loveland and Denver),Estes Valley ARC,ARES D-10: Thu at 19:00.,,625757,,,,7268,,,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,87.3,SW,yes,146.88,146.28,100,,,,,,,Jefferson,On-Air,,E-power.,,6,DRL Repeaters,CCARC,yes,,Wide Area,Denver Radio League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,87.3,WSW,yes,224,222.4,103.5,,,,,,,Jefferson,On-Air,,8,,,Repeater,CCARC,yes,103.5,,Rocky Mountain Radio League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,87.3,WSW,yes,147.15,147.75,100,,,,,,,Jefferson,On-Air,,e-power,"Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",,ARA Repeaters,CCARC,yes,100,"Denver metro, central front range",Aurora Repeater Assoc (ARA),ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,87.3,WSW,yes,448.85,443.85,88.5,,,,,,,Jefferson,On-Air,,e-power.,,,ARA Repeaters,CCARC,yes,88.5,"Denver metro, central front range",Aurora Repeater Assoc,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,100,KI0HG,"Allenspark, AFPD Station #5",CO,OPEN,,88.2,W,yes,147.03,147.63,100,,,,,,,Boulder,On-Air,Boulder County Amateur Radio Emergency Service,,,,,CCARC,yes,,,KI0HG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,89.3,WSW,yes,448.625,443.625,100,,,,,,,Jefferson,On-Air,,E-power.,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,DRC Repeaters,CCARC,yes,100,Denver metro area.,Denver Radio Club,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
