Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,YSF Digital Enabled,DG-ID,County,Op Status,Coverage,Affiliate,Features,Notes,Last update,Uplink Tone,Downlink Tone,WIRES-X,Mixed-Mode,Grid,Sponsor,Links,EchoLink,IRLP,AllStar,Nets,Web links,Feed,Coordination,Talkgroups,Colorado,Southern Colorado,Worldwide,North America,Local/Cluster,On-air,Denver Regional,Commands,Location Photo,Talkgroup Network,Northern Colorado,P25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,English,Worldwide English,Texas,COMM 1,Texas/Oklahoma Regional USA,Amarillo WIRES-X
449.25,-5,123,K0UPS,Cedar Point,CO,OPEN,EI,79.6,N,yes,449.25,444.25,,,,,,,,,Elbert,On-Air,"I-70 Limon, Co area.",,Full duplex node.,"K0UPS Buster Brown Radio Club. North West of Limon, Colorado.",yes,123,123,,,,K0UPS Club c/o N1UPS,,3349,3349,,,,,CCARC,,,,,,,,,** [StarStar] Prefix for Echolink Node.,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,81.3,W,yes,447.975,442.975,,,,,,,,,Fremont,On-Air,"Canon City area. 
   Repeater Coverage Map",,Autopatch.,,yes,100,100,,,,K0JSC,Full-time to the  The Fun Machine System .,363976,7301,28368,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",http://www.k0jsc.com,Listen Live,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,81.8,WNW,yes,448.45,443.45,,,,,,,,,El Paso,On-Air,Wide area.,,E-power.,,yes,100,,,,,Pikes Pk FM Assoc,"Linkable to  
        146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,,,PPFMA Repeaters,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,81.8,WNW,yes,146.97,146.37,,,,,,,,,El Paso,On-Air,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",,"Closed autopatch, e-power.",,yes,100,123,,,,Pikes Peak FM Assoc,"Linkable to  
        448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,,"Southern Colorado Traffic: Daily at 2000. 
Midday Severe Weather: Daily 1230 - 1240. 
PPFMA Weekly Info: Sun at 2030. 
ARES: Tue at 1900. 
SKYWARN.",PPFMA Repeaters,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,KC0CVU,"Trinidad, Raton Pass",CO,OPEN,,83.1,SSW,yes,449.6,444.6,,,,,,,,,Las Animas,Off-Air,Wide area.,,E-power.,,yes,107.2,,,,,Cheyenne Mtn Rptr Grp,,,,,,CMRG Repeaters,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,100,K0BV,"Trinidad, Raton Pass",CO,OPEN,,83.1,SSW,yes,147.375,147.975,,,,,,,,,Las Animas,Off-Air,Good coverage along I-25 between CO/NM state line and 40 miles north.,,,,yes,100,100,,,,K0BV,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.375,-5,100,KG5JL,"Trinidad, Raton Pass",CO,OPEN,,83.1,SSW,yes,447.375,442.375,,,,,,,yes,Open ↑ / Open ↓,Las Animas,On-Air,"Covers I-25 from CO/NM border to north of Trinidad, CO.",,E-power (batt).,,yes,100,,,Yes; analog capable.,,KG5JL,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.09,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,,83.8,SE,yes,147.09,147.69,,,,,,,,,Baca,,,,,,yes,118.8,118.8,,,,BCDEARC,,,,,,,,CCARC,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,118.8,KZ0DEM,Springfield,CO,OPEN,EI,83.8,SE,yes,449.2,444.2,,,,,,,,,Baca,On-Air,provides coverage to central Baca County,,,,yes,118.8,118.8,,,,Baca County Div of Emerg Mgt Communications,,97142,7142,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,EI,83.8,SE,yes,147.33,147.93,,,,,,,,,Baca,Off-Air,,,,,yes,118.8,118.8,,,,Baca County Amateur Emergency Management,,97142,7142,,,KZ0DEM Repeaters,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,84.2,SW,yes,145.355,144.755,,,,,,,,,Huerfano,On-Air,,,"E-power, linked.",,yes,100,,,,,N0JPX,,,3974,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,84.5,WNW,yes,927.7,902.7,,,,,,,,,Fremont,On-Air,,,,,yes,D114,D114,,,,Royal Gorge ARC,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,84.7,WNW,yes,223.96,222.36,,,,,,,,,Fremont,On-Air,"Wide area. 
   Repeater Coverage Map",,"E-power (Bat), Remote Base",,yes,103.5,103.5,,,,RGARC,,,,,,,,CCARC,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,84.7,WNW,yes,145.49,144.89,,,,,,,,,Fremont,On-Air,,Colorado ARES Region 5 District 1,E-power (Bat),,yes,103.5,103.5,,,DM78ik,Royal Gorge Amateur Radio Club,,,,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",Royal Gorge Amateur Radio Club,,CCARC,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,84.7,WNW,yes,446.7375,441.7375,,,,yes,7,,,,Fremont,On-Air,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",Rocky Mountain Ham Radio,IPSC Link to the Colorado network on Talk Slot 2.,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,yes,,,,,DM78ii,,Full-time to the  Colorado TRBO System .,,,,,http://www.k0jsc.com,,CCARC,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,84.7,WNW,yes,53.03,51.33,,,,,,,,,Fremont,On-Air,,RGARC,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",Split site Fremont peak transmitter and 8 mile mountain reciever.,yes,88.5,88.5,,,,WB0WDF,,,,,,Http://www.qsl.net/rghc,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,84.7,WNW,yes,447.25,442.25,,,,,,,,,Fremont,On-Air,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",,,,yes,100,100,,,DM78ik,,Full-time to the  The Fun Machine System .,363976,7301,28368,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",K0JSC dot Com,Listen Live,CCARC,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,84.7,WNW,yes,447.75,442.75,,,,,,,,,Fremont,On-Air,,,E-power (Bat),,yes,103.5,103.5,,,,RGARC,,,3081,,,Royal Gorge Amateur Radio Club,,CCARC,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,85.1,WNW,yes,1287.7,1267.7,,,,,,,,,Teller,Testing,,,,Testing in Canon City,yes,67,,,,,WB0WDF,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,85.1,WNW,yes,224.94,223.34,,,,,,,,,Teller,Testing,,,,,yes,67,,,,,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,85.1,WNW,yes,147.015,147.615,,,,,,,,,Teller,On-Air,,,E-power.,,yes,107.2,,,,,Mountain ARC,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,,MARC/PCRC: Tue at 19:30.,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,85.1,WNW,yes,447.4,442.4,,,,,,,,,Teller,On-Air,,,"E-power, Solar, Remote Base",,yes,67,,,,,WB0WDF,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,85.1,WNW,yes,145.46,144.86,,,,,,,,,Teller,On-Air,,RGARC,"E-power, 100% Solar",,yes,67,,,,,WB0WDF,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,85.3,NW,yes,447.725,442.725,,,,,,,,,El Paso,On-Air,Local.,,30,,yes,100,100,,,,K0NR,,,,,,http://www.k0nr.com/wordpress/k0nr-repeater/,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Trinidad, Raton Pass",CO,OPEN,,86.5,SSW,yes,446.775,441.775,yes,KD0RDI (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,Las Animas,On-Air,,,,,yes,,,,,,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,88.3,NW,yes,146.82,146.22,,,,,,,,,Teller,On-Air,,,E-power.,,yes,107.2,,,,,Mountain ARC,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,MARC/PCRC: Tue at 19:30.,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,88.3,NW,yes,449.025,444.025,,,,,,,,,Teller,,,,Linked.,,yes,141.3,,,,,Mountain Amateur Radio Club (MARC),,,,,,,,CCARC,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,88.3,NW,yes,448.65,443.65,,,,,,,,,Teller,On-Air,,MARC,E-power.,,yes,107.2,,,,,Mountain ARC (MARC),"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,,MARC/PCRC: Tue at 19:30.,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,88.3,NW,yes,145.415,144.815,,,,,,,,,Teller,,,,"Closed autopatch, e-power.",,yes,179.9,,,,,MARC,,,,,,,,CCARC,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,88.4,NW,yes,447.675,442.675,,,,,,,,,Teller,On-Air,,,E-power.,,yes,179.9,179.9,,,,Mountain Amateur Radio Club (MARC),,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,88.4,NW,yes,449.325,444.325,,,,,,,,,Teller,On-Air,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Port. St John Florida can be expected.",Amateur Radio Motorcycle Club,E-power. Allstar Node 27976,Node # 27976,yes,103.5,103.5,,,,KA4EPS,,,,27976,"Sunday 1500 MST
Tuesday 1730 MST",,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,88.4,NW,yes,927.9,902.9,,,,,,,,,Teller,On-Air,,,,,yes,D205,D205,,,,MARC,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,89.1,WNW,yes,449,444,,,,,,,,,Fremont,On-Air,,,"E-power (Solar, Wind)",North of the Royal Gorge Bridge.,yes,67,67,,,,WB0WDF,Full-time to the  Mega-Link System .,,,,,Mega Link,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,89.5,NW,yes,145.19,144.59,,,,,,,,,Douglas,On-Air,Wide area coverage at 8300,,,,yes,131.8,131.8,,,,N0OBA Owner,,10079,,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,92,SW,yes,449.75,444.75,,,,,,,,,Las Animas,On-Air,,The Fun Machine,,,yes,100,100,,,,N0ZSN,Full-time to the  The Fun Machine System .,363976,7301,28368,,The Fun Machine,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,107.2,WA6IFI,"Trinidad, Raton Pass",CO,OPEN,,92.9,SSW,yes,145.43,144.83,,,,,,,,,Las Animas,On-Air,,,,,yes,107.2,,,,,Cheyenne Mountain Repeater Group,,,,,,CMRG Repeaters,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,93,W,yes,147.06,147.66,,,,,,,,,Custer,On-Air,,,E-power,,yes,77,77,,,,http://www.qsl.net/rghc,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,93,W,yes,927.775,902.775,,,,,,,,,Custer,On-Air,,,,System uses digital PL,yes,D116,D116,,,,Royal Gorge Amateur Radio Club,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,93,W,yes,448.15,443.15,,,,,,,,,Custer,On-Air,,,E-power.,,yes,103.5,103.5,,,,Royal George ARC,,,,,,http://www.qsl.net/rghc,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,93.1,W,yes,919.1,894.1,,,,,,,,,Pueblo,Off-Air,Wide area.,,,,yes,88.5,CSQ,,,,Pueblo HC,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,93.1,W,yes,448.325,443.325,,,,,,,,,Custer,On-Air,,The Fun Machine,,,yes,100,100,,,,,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Raton, Raton Pass",NM,OPEN,,93.4,SSW,yes,446.775,441.775,yes,KD0RDI (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,Colfax,On-Air,,,,,yes,,,,,,Cheyenne Mountain Repeater Group,,,,,,http://www.cmrg.org/,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,95.1,NNW,yes,446.85,441.85,yes,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,Douglas,On-Air,,,D-Star B module,,yes,,,,,,Parker Radio Association,,,,,,http://parkerradio.org,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,95.5,NW,yes,448.425,443.425,,,,,,,,,Douglas,On-Air,Wide area,ARESDEC,,,yes,107.2,107.2,,,,Colorado Repeater Association (CRA),"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,,,,http://www.w0cra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,95.5,NW,yes,147.225,147.825,,,,,,,,,Douglas,On-Air,Wide area,CRA VHF Link System,Closed autopatch,,yes,107.2,107.2,,,,Colorado Repeater Association (CRA),"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",347086,3990,,"CRA Net, Sunday 9AM",Colorado Repeater Association,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,95.5,NW,yes,449.975,444.975,,,,,,,,,Douglas,On-Air,,The Fun Machine,Simulcast and Voted with Cedarwood and Methodist.,"Can be linked to Allstar, Echolink and others by a Sysop",yes,100,100,,,,K0JSC,Full-time to the  The Fun Machine System .,,,,,The Fun Machine,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,103.5,KE0AE,Stratton,CO,OPEN,E,97.3,NE,yes,146.895,146.295,,,,,,,,,Kit Carson,On-Air,,,,,yes,103.5,,,,,Big Sandy ARC,,830619,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,100,NM5ML,"Raton, Sierra Grande",NM,OPEN,,98.2,SSW,yes,147.28,147.88,,,,,,,,,Colfax,On-Air,Wide area.,,8,,yes,100,,,,,,Full-time to the  Mega-Link System .,,,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC1,K0PRA,Parker,CO,OPEN,,99.2,NNW,yes,445.075,440.075,,,,yes,1,,,,Douglas,On-Air,,,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,Mixed Mode,yes,,,,,,Parker Radio Association,,,,,Mondays 20:30 MST,http://www.parkerradio.org,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,99.7,NW,yes,446.875,441.875,,,,yes,6,,,,Douglas,On-Air,,RMHAM,,,yes,,,,,,W0VG,Full-time to the  Colorado TRBO System .,,,,,http://www.rmham.org,,CCARC,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,2,,,RMHAM,2,,,,,,,,,,,,,,,,,,,
444.8,5,77,N5BOP,Des Moines,NM,OPEN,,100.8,S,yes,444.8,449.8,,,,,,,,,Union,Off-Air,Wide area.,,E-power.,,yes,77,,,,,Sierra Grande Repeater Club,,,,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.175,0.6,141.3,NM5EM,"Des Moines, Sierra Grande",NM,OPEN,,100.8,S,yes,147.175,147.775,,,,,,,,,Union,On-Air,,,,,yes,141.3,,,,,NMEMA ARC,,,,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,N5BOP,Des Moines,NM,OPEN,,100.8,S,yes,146.85,146.25,,,,,,,,,Union,Off-Air,Wide area.,,E-power.,,yes,100,,,,,Sierra Grande RC,,,,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,101.2,WNW,yes,449.7,444.7,,,,,,,,,Park,,,,,,yes,107.2,,,,,CMRG,,,,,,,,CCARC,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,101.2,NNW,yes,927.8375,902.025,,,,,,,,,Douglas,On-Air,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,"Offset is -25.8125 
In Nac 294 Out Nac 293",yes,,,,,,,,,,,,,,CCARC,,,,,,,,,,,,,yes,294,yes,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,102.9,NW,yes,447.525,442.525,,,,,,,,,Douglas,On-Air,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",Colorado ARES,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",yes,146.2,146.2,,,,EmComm Colorado,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,102.9,NW,yes,446.925,441.925,,,,yes,7,,,,Douglas,On-Air,,,,See the website for programming info.,yes,,,,,,,Full-time to the  Colorado TRBO System .,,,,,Rocky Mountain Ham Radio,,CCARC,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,105.6,NNW,yes,447.525,442.525,,,,,,,,,Douglas,On-Air,"Denver metropolitan area, front range foothills",Colorado ARES,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",yes,203.5,146.2,,,,EmComm Colorado,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,106.1,NW,yes,449.95,444.95,,,,,,,,,Douglas,On-Air,Primarily to the North along I-25 corridor,,,,yes,77,77,,,,W9SL Owner,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,108.1,NNW,yes,448.7,443.7,,,,,,,,,Douglas,On-Air,Local North Parker only,,,,yes,146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,141.3,K0ECT,Syracuse,KS,OPEN,,108.4,ESE,yes,444,449,,,,,,,,,Hamilton,On-Air,,,E-power.,,yes,141.3,141.3,,,,SKECT,Full-time to the  SKECT System .,,,,,http://skect.org/default.aspx,,Kansas Repeater Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,109.6,NNW,yes,145.4,144.6,,,,,,,,,Arapahoe,On-Air,Greater Denver area.,,"Autopatch, e-power.",,yes,100,,,,,Castle Rock Repeater Group,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.175,5,156.7,K0WPM,Tribune,KS,OPEN,,109.9,ESE,yes,442.175,447.175,,,,,,,,,Greeley,On-Air,,,,,yes,156.7,,,,,WKARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,110.1,NNW,yes,449.425,444.425,,,,,,,,,Arapahoe,Off-Air,,,,Colorado SNP (Shared non-protected pair),yes,D023,D023,,,,K0PWO,,,,29791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,,KA0TAO,Syracuse,KS,OPEN,,110.1,ESE,yes,146.775,146.175,,,,,,,,,Hamilton,On-Air,Local. 20 mi radius.,,,,yes,,,,,,KA0TAO,,,,,,,,Kansas Repeater Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,110.8,WNW,yes,147.36,147.96,,,,,,,,,Park,On-Air,Wide area.,,E-power.,,yes,107.2,107.2,,,,,,,3854,,,CMRG Repeaters,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,110.9,WNW,yes,146.685,146.085,,,,,,,,,Park,On-Air,,,"Closed autopatch, e-power.",,yes,107.2,107.2,,,,Mountain ARC (MARC),"Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,MARC/PCRC: Tue at 19:30.,,,CCARC,,,,,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,
