Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Web links,Coordination,Last update,Sponsor,Coverage,Features,Downlink Tone,Grid,Affiliate,Links,AllStar,Notes,Nets,DMR Enabled,Color Code,Wide Network,D-STAR Enabled,Node,Sources,Talkgroup Network,Talkgroups,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Colorado,Southern Colorado,IRLP,On-air,EchoLink,Commands,P25 Digital Enabled,NAC,Default Reflector,Location Photo,Feed,Denver Regional,YSF Digital Enabled,DG-ID,Mixed-Mode,Northern Colorado,Local/Cluster,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2
146.88,-0.6,CSQ,W5PDO,"Los Alamos, Barranca Mesa",NM,OPEN,,102.7,SSE,,146.88,146.28,CSQ,Los Alamos,On-Air,,NMFCC,,Los Alamos ARC,,Autopatch,CSQ,,,,,Located on the Barranca Mesa water tower.,LAARC: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,"Autopatch: Up- *88, wait for dialtone, and dial phone nbr. Down- #.",,,,,,,,,,,,,,,,,,
51.5,0,100,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,103,SE,,51.5,51.5,100,Taos,On-Air,Taos Amateur Radio Club,,,Taos ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.4,-1.6,225.7,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,103,SE,,224.4,222.8,225.7,Taos,On-Air,http://taosarc.org,NMFCC,,Taos ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,67,KF5PFO,"Taos, Picuris Peak",NM,OPEN,E,103.1,SE,,147.12,147.72,67,Taos,On-Air,http://taosarc.org/,NMFCC,,Taos Amateur Radio Club,Wide area.,E-power.,,,ARRL,,,,,,,,,,,,,,,,,,,,,,,,828279,,,,,,,,,,,,,,,,,,,
449.875,-5,123,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,103.1,SE,,449.875,444.875,123,Taos,Off-Air,,NMFCC,,Taos ARC,,"Linked to 147.34, E-Power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.425,5,,NM5WR,Los Alamos,NM,OPEN,,103.1,SSE,,442.425,447.425,,Los Alamos,On-Air,,,,,30,,,,,,,,,,,,,NM5WR (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.775,5,131.8,WD9CMS,Los Alamos,NM,OPEN,,103.1,SSE,,444.775,449.775,,Los Alamos,On-Air,,NMFCC,,WD9CMS,Los Alamos and surrounding areas,E-power.,,,,,,"Mixed mode analog and digital P25 system, linked with 927.9 WD9CMS",,,,,,,,,,,,,,,,,,,,,,,,293,,,,,,,,,,,,,,,,
442,5,100,KA5BIW,Los Alamos,NM,OPEN,E,103.3,SSE,,442,447,100,Los Alamos,On-Air,http://ka5biw.com/ham_radio/repeater.php,,,KA5BIW,,Linked with 224.04 KA5BIW,,,,,,,,,,,,,,,,,,,,,,,,,,,87566,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,103.3,NNE,,446.975,441.975,,Chaffee,On-Air,KD0QPG,CCARC,,Crestone Amateur Radio Emergency Services,,,,,Crestone Amateur Radio Emergency Services,,,,,,,,,KD0QPG (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.04,-1.6,100,KA5BIW,Los Alamos,NM,OPEN,,103.3,SSE,,224.04,222.44,100,Los Alamos,On-Air,,,,KA5BIW,,,100,,,,,linked with 442.0 KA5BIW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,103.3,NNE,,446.8125,441.8125,,Chaffee,On-Air,,,,RMHAM,,,,,,,,,,,0,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,103.4,NE,,448.325,443.325,100,Custer,On-Air,,,,,,,100,,The Fun Machine,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,103.4,NE,,919.1,894.1,88.5,Pueblo,Off-Air,,CCARC,,Pueblo HC,Wide area.,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,103.5,NE,,448.15,443.15,103.5,Custer,On-Air,http://www.qsl.net/rghc,CCARC,,Royal George ARC,,E-power.,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,103.5,NE,,147.06,147.66,77,Custer,On-Air,,CCARC,,http://www.qsl.net/rghc,,E-power,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,103.5,NE,,927.775,902.775,D116,Custer,On-Air,,CCARC,,Royal Gorge Amateur Radio Club,,,D116,,,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC,NM5BB,Los Alamos,NM,OPEN,,103.6,SSE,,442.25,447.225,,Los Alamos,Off-Air,,NMFCC,,,,,,,,,,TS1 only. Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.265,0,203.5,KC2HSO,Los Alamos,NM,OPEN,I,103.7,SSE,,144.265,144.265,203.5,Los Alamos,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8039,,,,,,,,,,,,,,,,,,,,,
442.925,5,CC1,KE8AVN,Los Alamos,NM,OPEN,,103.7,SSE,,442.925,447.925,,Los Alamos,On-Air,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,131.8,WD9CMS,Los Alamos,NM,OPEN,,103.7,SSE,,927.9,902.9,,Los Alamos,On-Air,,NMFCC,,,Los Alamos and surrounding areas,,,,,,,"Mixed mode analog and digital P25 system, linked with 444.775 WD9CMS",,,,,,,,,,,,,,,,,,,,,,,,293,,,,,,,,,,,,,,,,
444.35,5,100,NM5ML,"Eagle Nest, Iron Mountain",NM,OPEN,,107.6,SE,,444.35,449.35,100,Colfax,On-Air,,NMFCC,,,,,,,,Full-time to the  Mega-Link System .,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,109,NNE,,146.745,146.145,100,Chaffee,Off-Air,,CCARC,,CLARA,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.1,5,100,NM5SC,"San Ysidro, Pajarito Peak",NM,OPEN,A,109,S,,443.1,448.1,100,Sandoval,On-Air,http://nmscares.org/,NMFCC,,Sandoval County ARES,Wide area - NW NM.,"Linked, e-power.",,,ARRL,,27748,"KNWD TKR-850, RTCM Interface. 25W, 9000' MSL. (Pajarito Peak differs from Pajarito Mountain near Los Alamos)",Sandoval County ARES: Mon at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,109.2,ESE,,449.75,444.75,100,Las Animas,On-Air,The Fun Machine,CCARC,,N0ZSN,,,100,,The Fun Machine,Full-time to the  The Fun Machine System .,28368,,,,,,,,,,,,,,,,,,,,7301,,363976,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Eagle Nest, Touch Me Not",NM,OPEN,,110.9,SE,,147.04,147.64,141.3,Colfax,On-Air,,NMFCC,,NMEMA ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,111.1,ESE,,145.355,144.755,100,Huerfano,On-Air,,CCARC,,N0JPX,,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,3974,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,113.2,E,,449.625,444.625,107.2,Custer,On-Air,CMRG Repeaters,CCARC,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,113.2,E,,224.32,222.72,88.5,Custer,Off-Air,PHC repeaters,CCARC,,Pueblo Ham Club,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,113.2,E,,447.175,442.175,88.5,Pueblo,Off-Air,Pueblo Ham Club,CCARC,,Pueblo HC,Wide area: Southeast Colorado.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,114.9,NNW,,147.33,147.93,107.2,Delta,On-Air,,CCARC,,North Fork Repeater Assoc.,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,5,100,K5YEJ,"San Luis, Cabezon",NM,OPEN,,115.5,S,,443,448,100,Sandoval,On-Air,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.34,0.6,100,N5LEM,"Angel Fire, Agua Fria Peak",NM,OPEN,,117.7,SE,,147.34,147.94,100,Colfax,On-Air,Taos Amateur Radio Club,NMFCC,,Taos ARC,Wide area.,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.02,0.6,141.3,NM5EM,"Santa Fe, Tesuque Peak",NM,OPEN,,123.1,SE,,147.02,147.62,141.3,Santa Fe,On-Air,,NMFCC,,NMEMA ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,162.2,W5SF,"Santa Fe,  Tesuque Peak",NM,OPEN,,123.2,SE,,146.82,146.22,162.2,Santa Fe,On-Air,SFARC Repeaters,NMFCC,,Santa Fe ARC,Wide area.,"Autopatch, e-power.",,,,"Full-time to  
        442.82500 (KB5ZQE) at Santa Fe, Tesuque Peak, NM .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.825,5,131.8,KB5ZQE,"Santa Fe, Tesuque Peak",NM,OPEN,,123.2,SE,,442.825,447.825,131.8,Santa Fe,On-Air,,NMFCC,,Santa Fe ARC,,Autopatch.,,,,"Full-time to  
        146.82000 (W5SF) at Santa Fe,  Tesuque Peak, NM .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,123.3,NNW,,147.195,147.795,107.2,Delta,,,,,,Local.,,,,Colorado District 25 ARES,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,123.3,NNW,,449.825,444.825,100,Delta,,,CCARC,,W0ALC,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,123.3,NNW,,147.36,147.96,100,Delta,,,CCARC,,W0ALC,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,124.5,NE,,446.7375,441.7375,,Fremont,On-Air,http://www.k0jsc.com,CCARC,,,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",IPSC Link to the Colorado network on Talk Slot 2.,,DM78ii,Rocky Mountain Ham Radio,Full-time to the  Colorado TRBO System .,,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,,,7,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,124.5,NE,,53.03,51.33,88.5,Fremont,On-Air,Http://www.qsl.net/rghc,CCARC,,WB0WDF,,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",88.5,,RGARC,,,Split site Fremont peak transmitter and 8 mile mountain reciever.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,124.5,NE,,223.96,222.36,103.5,Fremont,On-Air,,CCARC,,RGARC,"Wide area. 
   Repeater Coverage Map","E-power (Bat), Remote Base",103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,124.5,NE,,447.25,442.25,100,Fremont,On-Air,K0JSC dot Com,CCARC,,,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",,100,DM78ik,,Full-time to the  The Fun Machine System .,28368,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,,,7301,,363976,,,,,,Listen Live,,,,,,,,,,,,,
444.575,5,,W5SF,Santa Fe,NM,OPEN,,124.5,SSE,,444.575,449.575,,Santa Fe,On-Air,,,,W5SF,Local Santa Fe,,,,Santa Fe Amateur Radio CLub,,,Soon to move to a better location,,,,,,W5SF (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,162.2,,Santa Fe,NM,OPEN,,124.5,SSE,,145.19,144.59,162.2,Bernalillo,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,124.5,NE,,145.49,144.89,103.5,Fremont,On-Air,Royal Gorge Amateur Radio Club,CCARC,,Royal Gorge Amateur Radio Club,,E-power (Bat),103.5,DM78ik,Colorado ARES Region 5 District 1,,,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.21,-0.6,,W5SF,Santa Fe,NM,OPEN,,124.5,SSE,,145.21,144.61,,Santa Fe,On-Air,,,,W5SF,Local Santa Fe,,,,Santa Fe Amateur Radio Club,,,Soon to move to a better location.,,,,,,W5SF (C) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,124.5,NE,,447.75,442.75,103.5,Fremont,On-Air,Royal Gorge Amateur Radio Club,CCARC,,RGARC,,E-power (Bat),103.5,,,,,,,,,,,,,,,,,,,,,,,,3081,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,124.7,NE,,927.7,902.7,D114,Fremont,On-Air,,CCARC,,Royal Gorge ARC,,,D114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.275,-5,146.2,K9GAJ,Santa Fe,NM,OPEN,I,125.3,SSE,,449.275,444.275,146.2,Santa Fe,On-Air,,,,Fred Homuth,,,,,,,,,,,,,,,,,,,,,,,,,,,3939,,,,,,,,,,,,,,,,,,,,,
447.775,-5,100,KF5SGT,Santa Fe,NM,OPEN,I,125.7,SSE,,447.775,442.775,100,Santa Fe,On-Air,,,,,Santa Fe,,,,,,,,,,,,,,,,,,,,,,,,,,7326,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,125.8,NE,,447.975,442.975,100,Fremont,On-Air,http://www.k0jsc.com,CCARC,,K0JSC,"Canon City area. 
   Repeater Coverage Map",Autopatch.,100,,,Full-time to the  The Fun Machine System .,28368,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,,,7301,,363976,,,,,,Listen Live,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,125.9,NNE,,448.575,443.575,103.5,Park,Off-Air,,CCARC,,,Western Park County,,103.5,,,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,126,NE,,449,444,67,Fremont,On-Air,Mega Link,CCARC,,WB0WDF,,"E-power (Solar, Wind)",67,,,Full-time to the  Mega-Link System .,,North of the Royal Gorge Bridge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.2,0.6,162.2,W5SF,"Santa Fe, St Vincent Hospital",NM,OPEN,,126,SSE,,147.2,147.8,162.2,Santa Fe,On-Air,SFARC Repeaters,NMFCC,,Santa Fe ARC,,E-power. Full time link to Tesuque Peak.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,127,NW,,449.4,444.4,131.8,Mesa,On-Air,http://www.gmra.org,CCARC,,"WA4HND,  Grand Mesa Repeater Association",Wide area via links - Western Colorado - Eastern Utah,E-power.,131.8,,,Full-time to the  GMRA Open System .,,Closed IRLP out - Ask for a control op,RACES Wed 1930 Hrs,,,,,,,,,,,,,,,,,,3710,,,,,,,,,,,,,,,,,,,,,
145.21,-0.6,110.9,N5GDR,Cimarron,NM,OPEN,A,127.3,SE,,145.21,144.61,110.9,Colfax,On-Air,,NMFCC,,"Gary Reynolds N5GDR, Dale Finley KB5NFT",,,110.9,,,,46298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,100,NM5SJ,"Lukachukai, Roof Butte",AZ,OPEN,,128.1,WSW,,146.82,146.22,100,Apache,On-Air,,ARCA,,Totah ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,100,KB5ITS,"Lukachukai, Roof Butte",AZ,OPEN,,128.1,WSW,,145.25,144.65,100,Apache,On-Air,,ARCA,,San Juan Connection,,"E-power, linked.",,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,128.2,NE,,449.975,444.975,100,Fremont,On-Air,http://www.k0jsc.com,CCARC,,K0JSC,,Simulcast TX / Voted RX with Cedarwood and Salida,100,,The Fun Machine,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,130.2,NNW,,447.35,442.35,107.2,Delta,,GMRA Repeaters,CCARC,,Grand Mesa Repeater Assoc (GMRA),,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,
147.3,0.6,162.2,W5SF,"Las Vegas,  Elk Mountain",NM,OPEN,,131.6,SE,,147.3,147.9,162.2,San Miguel,On-Air,SFARC Repeaters,NMFCC,,Santa Fe ARC,Wide area.,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.26,0.6,67,NM5ML,"Pecos, Elk Mountain",NM,OPEN,,131.6,SE,,147.26,147.86,67,San Miguel,On-Air,,NMFCC,,,Wide area.,11,,,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,132.1,N,,447.05,442.05,136.5,Pitkin,On-Air,,CCARC,,Roaring Fork Amateur Repeater Cooperative,Aspen-Snowmass areas.,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,134,NNW,,449.65,444.65,151.4,Mesa,On-Air,,CCARC,,Keri Washburn,Wide area coverage,NWS weather alert system.,151.4,,,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,8162,,,11,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,134,NNW,,145.355,144.755,88.5,Mesa,On-Air,,CCARC,,Colorado Connection,"Rifle to the east, several miles east of Green River, Utah to the west.",E-power.,123,,,Full-time to the  Colorado Connection System .,,Colorado Connection system of repeaters,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,134.4,N,,146.67,146.07,107.2,Pitkin,On-Air,,CCARC,,Ski Country ARC,Wide area.,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Trinidad, Raton Pass",CO,OPEN,,134.5,ESE,,446.775,441.775,,Las Animas,On-Air,,CCARC,,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,,,,,,,KD0RDI (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,100,KC5WDV,"Gallup, Deza Bluffs",NM,OPEN,,135.9,SW,,448.2,443.2,100,McKinley,On-Air,,NMFCC,,,,,,,McKinley County ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,67,NM5ML,"Gallup, Deza Bluffs",NM,OPEN,,135.9,SW,,147.22,147.82,67,McKinley,On-Air,,NMFCC,,New Mexico Mega Link Assoc,Wide area.,"Closed autopatch, e-power.",,,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.2,-1,107.2,N9PGQ,La Cueva,NM,OPEN,,136,SSE,,53.2,52.2,107.2,Santa Fe,Off-Air,,NMFCC,,N9PGQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.125,5,107.2,N9PGQ,La Cueva,NM,OPEN,,136,SSE,,442.125,447.125,107.2,Santa Fe,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,
146.84,-0.6,107.2,N9PGQ,La Cueva,NM,OPEN,,136,SSE,,146.84,146.24,107.2,Santa Fe,,,NMFCC,,N9PGQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,
443.4,5,100,K5AKW,"Placitas, Sandia Peak",NM,OPEN,,137.2,SSE,,443.4,448.4,100,Sandoval,On-Air,http://sandiavista.net,NMFCC,,Sandia Vista ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,137.5,NNE,,446.7625,441.7625,,Park,On-Air,,,,K7PFJ,,,,,RMHAM,,,,,,0,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,
447.375,-5,100,KG5JL,"Trinidad, Raton Pass",CO,OPEN,,138.2,ESE,,447.375,442.375,100,Las Animas,On-Air,,CCARC,,KG5JL,"Covers I-25 from CO/NM border to north of Trinidad, CO.",E-power (batt).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,
147.375,0.6,100,K0BV,"Trinidad, Raton Pass",CO,OPEN,,138.2,ESE,,147.375,147.975,100,Las Animas,Off-Air,,CCARC,,K0BV,Good coverage along I-25 between CO/NM state line and 40 miles north.,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,KC0CVU,"Trinidad, Raton Pass",CO,OPEN,,138.3,ESE,,449.6,444.6,107.2,Las Animas,Off-Air,CMRG Repeaters,CCARC,,Cheyenne Mtn Rptr Grp,Wide area.,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,138.6,NW,,448.15,443.15,100,Mesa,On-Air,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7963,,312189,,,,,,,,,,,,,,,,,,,
442.75,5,162.2,KC5IPK,Rio Rancho,NM,OPEN,EI,138.7,S,,442.75,447.75,162.2,Sandoval,On-Air,,NMFCC,,KC5IPK,"Rio Rancho, Albuquerque, Corrales.",E-power.,,,,,,,,,,,,,,,,,,,,,,,,,7855,,214956,,,,,,,,,,,,,,,,,,,
443,5,100,NM5RR,"Rio Rancho, Rainbow",NM,OPEN,A,138.7,S,,443,448,100,Sandoval,On-Air,http://www.nmscares.org,NMFCC,,Sandoval Co ARES,Rio Rancho and parts of Santa Fe.,E-power.,,,RACES.,"Full-time to  
        147.10000 (NM5RR) at Rio Rancho, Rainbow, NM .",27750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
