500,Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Notes,Coordination,Last update,Coverage,Features,Links,Commands,Affiliate,Web links,D-STAR Enabled,Node,Sources,Grid,AllStar,Mixed-Mode,Nets,EchoLink,IRLP,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,On-air,YSF Digital Enabled,DG-ID,P25 Digital Enabled,NAC,Default Reflector,Bandwidth,WIRES-X,Feed,DTMF,A + [number],B
,443.3,5,CC1,K5KRE,"Albuquerque, Sandia Crest",NM,OPEN,,83.9,NNE,yes,443.3,448.3,,,Bernalillo,Testing,K5RKE,Timeslot 1 3135 (New Mexico) 31302 (MPRG 2) Timeslot 2 31301 (MPRG 1),NMFCC,yes,Wide area.,A Motorola SLR5700 on the BrandMeister worldwide network,,,Mac Pass Repeater Group,http://brandmeister.network/?page=repeater&amp;id=313510,,,,,,,,,,yes,1,yes,,,,,,,,,,,,,,,,,,,,,
,51.7,-1,156.7,WB5IUZ,"Albuquerque, Sandia Crest",NM,OPEN,,83.9,NNE,yes,51.7,50.7,156.7,,Bernalillo,Off-Air,K5RKE,Off the air until spring 2014,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,443.75,5,100,WA6CCB,"Albuquerque, Sandia Peak",NM,CLOSED,,84,NNE,yes,443.75,448.75,100,,Bernalillo,Off-Air,"WA6CCB, K5RKE",,NMFCC,yes,,,,,,,,,,,,,Bosque Youth Amateur Radio Net: M-F at 17:00.,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.92,-0.6,100,KR5NM,"Ruidoso, Alto Crest",NM,OPEN,,84.1,SE,yes,146.92,146.32,100,,Lincoln,On-Air,Sierra Blanca ARC,,NMFCC,yes,Wide area,E-power. Linked with 145.45.,"Full-time to  
        145.45000 (KR5NM) at Ruidoso, Camelot, NM .",400,,http://sbarcnm.org,,,,DM73dj,,,Lincoln County ARES: Wed at 19:00 Local.,,,,,,,,,,,,,,,,,,,,,,,,,,
,442.75,5,162.2,KC5IPK,Rio Rancho,NM,OPEN,EI,84.5,N,yes,442.75,447.75,162.2,,Sandoval,On-Air,KC5IPK,,NMFCC,yes,"Rio Rancho, Albuquerque, Corrales.",E-power.,,,,,,,,,,,,214956,7855,,,,,,,,,,,,,,,,,,,,,,,,
,147.1,0.6,100,NM5RR,"Rio Rancho, Rainbow",NM,OPEN,A,84.5,N,yes,147.1,147.7,100,100,Sandoval,On-Air,Sandoval Co ARES,,NMFCC,yes,,"E-power, remote base, Linked to 443.100 and 147.080.","Full-time to  
        443.00000 (NM5RR) at Rio Rancho, Rainbow, NM .",,,http://www.nmscares.org,,,,,27749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,443,5,100,NM5RR,"Rio Rancho, Rainbow",NM,OPEN,A,84.5,N,yes,443,448,100,,Sandoval,On-Air,Sandoval Co ARES,,NMFCC,yes,Rio Rancho and parts of Santa Fe.,E-power.,"Full-time to  
        147.10000 (NM5RR) at Rio Rancho, Rainbow, NM .",,RACES.,http://www.nmscares.org,,,,,27750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.08,0.6,123,W5TWY,Tularosa,NM,OPEN,,84.5,SE,yes,147.08,147.68,123,,Otero,On-Air,,,NMFCC,yes,Tularosa Basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,443.9,5,100,W5TYW,Tularosa,NM,OPEN,,84.6,SE,yes,443.9,448.9,100,,Otero,,W5TYW,,NMFCC,yes,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,442.35,5,100,WA5OLD,Rio Rancho,NM,OPEN,,85.5,N,yes,442.35,447.35,100,,Sandoval,On-Air,WA5OLD,,NMFCC,yes,,Autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.98,-0.6,100,K5RIC,"Ruidoso, Buck Mtn",NM,OPEN,,86.2,SE,yes,146.98,146.38,100,100,Lincoln,On-Air,Amateur Radio Club,Damaged Antenna has some RX coverage loss due to dense. Plans to replace Ant soon,NMFCC,yes,Wide area.,E power ARES /RACES Linked Frequency agile Remote Base,,,Amateur Radio Club,,,,,,,,"Sun though Friday 19:00 Pecas Valley ARC Net  Sat 19:00 Sacramento Mtn Net 
Thurs 20:00 El Paso Amigo Net",,,,,,,,,,,,,,,,,,,,,,,,,,
,443.6,5,85.4,N5SN,Ruidoso,NM,OPEN,,86.2,SE,yes,443.6,448.6,85.4,,Lincoln,On-Air,Greenville Repeater Assoc,,,yes,,"E-power, EchoLink, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.45,-0.6,151.4,KR5NM,"Ruidoso, Camelot",NM,OPEN,,87.8,SE,yes,145.45,144.85,151.4,,Lincoln,Off-Air,,,NMFCC,yes,US70 Roswell to Alamogordo US380 Lincoln to Capitan,,"Full-time to  
        146.92000 (KR5NM) at Ruidoso, Alto Crest, NM .",,,https://sbarcnm.org,,,,,,,Lincoln County ARES: Wed at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.64,-0.6,67,K5URR,"Grants, MW Ridge",NM,OPEN,,87.9,NNW,yes,146.64,146.04,67,67,Bernalillo,On-Air,URFMSI,,NMFCC,yes,Wide Area,,,,,http://www.urfmsi.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.08,0.6,100,NM5SC,"Placitas, La Madera",NM,OPEN,A,89.8,NNE,yes,147.08,147.68,100,,Sandoval,On-Air,Sandoval County ARES,25,NMFCC,yes,"Wide area: Sandia Mtns, Edgewood, Moriarty, Madrid, Golden.","Linked, e-power.",,,ARRL,http://www.nmscares.org,,,,,28176,,Sandoval County ARES: Mon at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.94,-0.6,100,WB5EKP,"Grants,  Mt Taylor",NM,OPEN,,91.1,NNW,yes,146.94,146.34,100,,Cibola,On-Air,Upper Rio FM Society,,,yes,Wide area.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.98,-0.6,141.3,NM5EM,"Grants, Mt Taylor",NM,OPEN,,91.7,NNW,yes,146.98,146.38,141.3,141.3,Cibola,On-Air,New Mexico Emergency Management Association Amateur Radio Club,Located inside the state of NM radio building.,,yes,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,443.4,5,100,K5AKW,"Placitas, Sandia Peak",NM,OPEN,,91.8,NNE,yes,443.4,448.4,100,,Sandoval,On-Air,Sandia Vista ARC,,NMFCC,yes,,,,,,http://sandiavista.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.95,5,100,KE5FYL,"Grants, La Mosca Peak",NM,OPEN,,91.8,NNW,yes,444.95,449.95,,,Bernalillo,On-Air,Cibola County Amateur Radio Club,,NMFCC,yes,Wide area.,,"Full-time to  
        147.18000 (KE5FYL) at Grants, NM .",,,,,,,,,,,,,,,,,,,,,,,,,,yes,23,,,,,,,,,
,444.975,5,67,K5EMO,"Grants, 515 West High Street",NM,OPEN,,92.9,NW,yes,444.975,449.975,67,67,Cibola,On-Air,Cibola County Emergency Manager,,,yes,Local,Linked to 147.980 NM5EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.18,0.6,100,KE5FYL,Grants,NM,OPEN,,92.9,NW,yes,147.18,147.78,100,100,Cibola,On-Air,Cibola County Amateur Radio Club,PL 100.0 must but placed on both RX &amp; TX to avoid hearing Digital Traffic noise. linked to 444.950 La Mosca peak,NMFCC,yes,,,"Full-time to  
        444.95000 (KE5FYL) at Grants, La Mosca Peak, NM .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.65,5,CC1,KE5FYL,"Grants, Rogers Rock",NM,OPEN,,92.9,NW,yes,444.65,449.65,,,Bernalillo,On-Air,Cibola County Amateur Radio Club,,NMFCC,yes,Local,,,,,,yes,KE5FYL (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,yes,1,yes,,,,,,,,,,,,,,,,,,,,,
,146.66,-0.6,100,NM5ML,"Grants, Microwave Ridge",NM,OPEN,,92.9,NW,yes,146.66,146.06,100,,Cibola,On-Air,Mega-Link Rptr System,,NMFCC,yes,Wide area.,9,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.8,5,67,NM5ML,"Grants, La Mosca",NM,OPEN,,92.9,NW,yes,444.8,449.8,67,,Cibola,On-Air,Mega Link Repeater System,10,NMFCC,yes,Wide area,Full time to the New Mexico MegaLink system,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,448.05,-5,103.5,WB7EGF,"Quemado, Fox Mtn",NM,OPEN,,93.6,WNW,yes,448.05,443.05,103.5,,Catron,On-Air,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.8,-0.6,100,K5LRW,Alamogordo,NM,OPEN,,96.4,SE,yes,146.8,146.2,100,,Otero,On-Air,Alamogordo ARC,25,,yes,Local area,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,
,444.825,5,67,K5LRW,Alamogordo,NM,OPEN,,96.4,SE,yes,444.825,449.825,67,,Otero,Off-Air,Alamogordo ARC,,NMFCC,yes,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53.41,-1,CSQ,KA5BYL,Alamogordo,NM,OPEN,,96.4,SE,yes,53.41,52.41,CSQ,,Otero,On-Air,KA5BYL,,NMFCC,yes,,Autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,224.6,-1.6,,KA5BYL,Alamogordo,NM,OPEN,,96.4,SE,yes,224.6,223,,,Otero,,KA5BYL,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,146.9,-0.6,77,KC5OWL,Alamogordo,NM,OPEN,,96.4,SE,yes,146.9,146.3,77,,Otero,On-Air,KC5OWL,,NMFCC,yes,,Autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,442.41,5,100,KC5OWL,Alamogordo,NM,OPEN,,96.4,SE,yes,442.41,447.41,100,,Otero,Off-Air,KC5OWL,,NMFCC,yes,,Autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.86,-0.6,100,N6CID,Alamogordo,NM,OPEN,,96.4,SE,yes,146.86,146.26,100,,Otero,,N6CID,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,144.96,-0.4,,W6DHS,"Alamogordo, La Luz",NM,OPEN,,96.4,SE,yes,144.96,144.56,,,Otero,On-Air,Tularosa Basin Digital ARC,Elevation 4500',,yes,"Tularosa, La Luz, Alamogordo, Holloman Air Force Base, White Sands National Monument, and the surrounding areas",Split is -0.4,,,,,yes,W6DHS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,442.8,-5,100,W5AKU,High Rolls,NM,OPEN,E,97.8,SE,yes,442.8,437.8,100,,Otero,On-Air,W5AKU,,NMFCC,yes,"Good coverage of Cloudcroft, High Rolls, Alamogordo, and Holloman AFB",E-power.,,,,,,,,,,,,188100,,,,,,,,,,,,,,,,,,,,,,,,,
,147,0.6,100,KF5MQH,"High Rolls, Cloudcroft/ Alamogordo",NM,OPEN,,98.1,SE,yes,147,147.6,100,100,Otero,On-Air,W5AKU,,,yes,Western Otero County,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,yes,1,,,,,,,,,
,146.66,-0.6,67,WA5IHL,"Roswell, Capitan Peak",NM,OPEN,,98.8,SE,yes,146.66,146.06,67,,Lincoln,On-Air,New Mexico Mega Link Assoc,,NMFCC,yes,Wide area.,10,Full-time to the  Mega-Link System .,,,http://www.nm5ml.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.06,0.6,67,K5FIQ,"Clines Corners, Tapia Mesa",NM,OPEN,,99.1,NE,yes,147.06,147.66,67,,San Miguel,On-Air,Upper Rio FM Society,,NMFCC,yes,,7,"Full-time to  
        146.90000 (K5FIQ) at Albuquerque, Op Ctr, NM .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.37,-0.6,156.7,NM5EM,"Cloudcroft, Benson Ridge",NM,OPEN,,100.9,SE,yes,145.37,144.77,156.7,,Otero,On-Air,NMEMA ARC,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.35,-0.6,88.5,WA5IHL,"Alamogordo, Long Ridge",NM,OPEN,,102.7,SE,yes,145.35,144.75,88.5,,Otero,On-Air,Mega-Link,,,yes,Wide area.,7,Full-time to the  Mega-Link System .,,,http://www.nm5ml.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.22,0.6,151.4,KE5MIQ,"Alamogordo, Alamo Peak",NM,OPEN,,102.9,SE,yes,147.22,147.82,151.4,151.4,Otero,Off-Air,Sacramento Mountains Radio Club,Link to SMRC system is currently down due to lightning strike. YSF DCS 051.,NMFCC,yes,South central New Mexico and El Paso area.,,"Full-time to  
        147.34000 (KE5MIQ) at James Ridge Lookout, NM .
 


Full-time to  
        146.96000 (KE5MIQ) at Weed, Weed Lookout, NM .",,,Sacramento Mountains Radio Club,,,,,,,Sat @ 19:00,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.34,0.6,100,KE5MIQ,James Ridge Lookout,NM,OPEN,,105.9,SE,yes,147.34,147.94,100,,Otero,On-Air,Sacramento Mountains Radio Club,,NMFCC,yes,South central New Mexico and El Paso area,,"Full-time to  
        146.96000 (KE5MIQ) at Weed, Weed Lookout, NM .
 


Full-time to  
        147.22000 (KE5MIQ) at Alamogordo, Alamo Peak, NM .",,,Sacramento Mountains Radio Club,,,,,,,Saturday at 1900,,,,,,,,,,,,,,,,,,,,,,,,,,
,443,5,100,K5YEJ,"San Luis, Cabezon",NM,OPEN,,107.1,N,yes,443,448,100,,Sandoval,On-Air,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.23,-0.6,123,K5BEN,"Cloudcroft, Benson Ridge",NM,OPEN,,107.3,SE,yes,145.23,144.63,123,,Otero,On-Air,Jacks Peak ARA,,NMFCC,yes,Wide area.,7,,,Cactus Intertie System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.975,5,100,KF5LGO,Alamogordo,NM,OPEN,,107.3,SE,yes,444.975,449.975,100,100,Otero,On-Air,KF5DTM,,,yes,50,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,442.95,5,85.4,N6CID,Alamogordo,NM,OPEN,E,107.3,SE,yes,442.95,447.95,85.4,85.4,Otero,On-Air,N6CID,,NMFCC,yes,,E-power.,,,,,,,,,,,,474106,,,,,,,,,,,,,,,,,,,,,,,,,
,147.38,0.6,103.5,K5GAR,Reserve,NM,OPEN,,109.6,WSW,yes,147.38,147.98,103.5,,Catron,Off-Air,Gila ARS,,NMFCC,yes,Wide area.,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.34,0.6,141.3,NM5EM,"Reserve, Frisco",NM,OPEN,,109.7,WSW,yes,147.34,147.94,141.3,,Catron,On-Air,NMEMA ARC,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,448.3,-5,100,WB5QHS,Pinos Altos,NM,OPEN,,112.7,SW,yes,448.3,443.3,100,,Grant,On-Air,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,443.1,5,100,NM5SC,"San Ysidro, Pajarito Peak",NM,OPEN,A,113.2,N,yes,443.1,448.1,100,,Sandoval,On-Air,Sandoval County ARES,"KNWD TKR-850, RTCM Interface. 25W, 9000' MSL. (Pajarito Peak differs from Pajarito Mountain near Los Alamos)",NMFCC,yes,Wide area - NW NM.,"Linked, e-power.",,,ARRL,http://nmscares.org/,,,,,27748,,Sandoval County ARES: Mon at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,
,1293.9,-20,127.3,KC5SJQ,Organ,NM,OPEN,,114.1,S,yes,1293.9,1273.9,127.3,,Dona Ana,On-Air,,,NMFCC,yes,,oslx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.64,-0.6,100,N5BL,Las Cruces,NM,OPEN,,114.5,S,yes,146.64,146.04,100,,Dona Ana,On-Air,Mesilla Valley RC,,NMFCC,yes,,"Closed autopatch, e-power.",,,,http://www.zianet.com/mvrc/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,448.2,-5,100,N5BL,"Las Cruces, Twin Peaks",NM,OPEN,,114.8,S,yes,448.2,443.2,100,,Dona Ana,On-Air,Mislla Vaaley Radio Club,,NMFCC,yes,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,224.34,-1.6,,KC5SJQ,Dona Ana,NM,OPEN,,115.4,S,yes,224.34,222.74,,,Dona Ana,,KC5SJQ,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,147.36,0.6,67,NM5ML,"Reserve, Frisco Divide",NM,OPEN,,116.2,W,yes,147.36,147.96,67,,Catron,On-Air,New Mexico Mega Link Assoc,8,NMFCC,yes,,,Full-time to the  Mega-Link System .,,,http://nm5ml.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.115,-0.6,67,NM5ML,Pinos Altos,NM,OPEN,,116.6,SW,yes,145.115,144.515,67,,Grant,On-Air,Mega-Link Rptr System,,NMFCC,yes,,8,Full-time to the  Mega-Link System .,,,http://nm5ml.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.96,-0.6,100,KE5MIQ,"Weed, Weed Lookout",NM,OPEN,,117.5,SE,yes,146.96,146.36,100,,Otero,On-Air,Sacramento Mountains Radio Club,,NMFCC,yes,South central New Mexico and El Paso Texas area,,"Full-time to  
        147.34000 (KE5MIQ) at James Ridge Lookout, NM .
 


Full-time to  
        147.22000 (KE5MIQ) at Alamogordo, Alamo Peak, NM .",,,http://www.sacramentomountainsradioclub.org,,,,,,,Sat at 1900.,,,,,,,,,,,,,,,,,,,,,,,,,,
,448.775,-5,103.5,WY5G,"Glenwood,   Brushy Mountain",NM,OPEN,,118.6,W,yes,448.775,443.775,103.5,103.5,Catron,On-Air,WY5G,,NMFCC,yes,,"Linked to 448.8 in Silver City, NM","Full-time to  
        448.80000 (WY5G) at Silver City, NM .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.98,-0.6,103.5,K5GAR,"Silver City, Black Peak",NM,OPEN,,119.7,SW,yes,146.98,146.38,103.5,,Grant,On-Air,Gila ARS,Used often by SAR teams,NMFCC,yes,Very Wide area.,E-power (solar).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,448.05,-5,103.5,K5GAR,Silver City,NM,OPEN,,119.7,SW,yes,448.05,443.05,103.5,,Grant,On-Air,Gila ARS,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,448.875,-5,100,WA7ACA,Silver City,NM,OPEN,,119.7,SW,yes,448.875,443.875,100,,Grant,,WA7ACA,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,448.8,-5,100,WY5G,Silver City,NM,OPEN,,119.7,SW,yes,448.8,443.8,100,100,Grant,On-Air,WY5G,,NMFCC,yes,,,"Full-time to  
        448.77500 (WY5G) at Glenwood,   Brushy Mountain, NM .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.94,-0.6,,KA5ECS,Las Cruces,NM,OPEN,,120.3,S,yes,146.94,146.34,,,Dona Ana,,KA5ECS,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,147.51,0,114.8,N5OTY,Las Cruces,NM,OPEN,I,120.3,S,yes,147.51,147.51,114.8,114.8,Dona Ana,On-Air,,7,,yes,"Las Cruces, Radium springs, La Mesa, west mesa",,,node # up 73 down,,,,,,,,,,,3037,,,,,,,,,,,,,,,,,,,,,,,,
,147.38,0.6,100,W7DXX,Las Cruces,NM,OPEN,,120.3,S,yes,147.38,147.98,100,,Dona Ana,,W7DXX,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,449.575,-5,100,KC5EVR,Las Cruces,NM,OPEN,,120.8,S,yes,449.575,444.575,100,,Dona Ana,,KC5EVR,,,yes,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,449.8,-5,100,KC5IEC,Las Cruces,NM,OPEN,,120.8,S,yes,449.8,444.8,100,,Dona Ana,,KC5IEC,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,146.78,-0.6,100,N5IAC,Las Cruces,NM,OPEN,,120.8,S,yes,146.78,146.18,100,,Dona Ana,,N5IAC,,,yes,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,223.94,-1.6,,N5IAC,Las Cruces,NM,OPEN,,120.8,S,yes,223.94,222.34,,,Dona Ana,On-Air,N5IAC,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,447.5,-5,,N5IAC,Las Cruces,NM,OPEN,,120.8,S,yes,447.5,442.5,,,Dona Ana,,N5IAC,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,147.18,0.6,100,NM5ML,Las Cruces,NM,OPEN,,120.8,S,yes,147.18,147.78,100,,Dona Ana,On-Air,New Mexico Mega Link Assoc,,NMFCC,yes,,5,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449.9,-5,,WA8FBN,Las Cruces,NM,OPEN,,120.8,S,yes,449.9,444.9,,,Dona Ana,,WA8FBN,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,449.275,-5,146.2,K9GAJ,Santa Fe,NM,OPEN,I,121.3,NNE,yes,449.275,444.275,146.2,,Santa Fe,On-Air,Fred Homuth,,,yes,,,,,,,,,,,,,,,3939,,,,,,,,,,,,,,,,,,,,,,,,
,447.775,-5,100,KF5SGT,Santa Fe,NM,OPEN,I,121.3,NNE,yes,447.775,442.775,100,,Santa Fe,On-Air,,,,yes,Santa Fe,,,,,,,,,,,,,,7326,,,,,,,,,,,,,,,,,,,,,,,,
,146.84,-0.6,,W5GB,Las Cruces,NM,OPEN,,122.5,S,yes,146.84,146.24,,,Dona Ana,On-Air,,,NMFCC,yes,20,,,,,,yes,W5GB (C),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.2,0.6,162.2,W5SF,"Santa Fe, St Vincent Hospital",NM,OPEN,,122.9,NNE,yes,147.2,147.8,162.2,,Santa Fe,On-Air,Santa Fe ARC,,NMFCC,yes,,E-power. Full time link to Tesuque Peak.,,,,SFARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53.2,-1,107.2,N9PGQ,La Cueva,NM,OPEN,,124.7,NNE,yes,53.2,52.2,107.2,,Santa Fe,Off-Air,N9PGQ,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.84,-0.6,107.2,N9PGQ,La Cueva,NM,OPEN,,124.7,NNE,yes,146.84,146.24,107.2,,Santa Fe,,N9PGQ,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,442.125,5,107.2,N9PGQ,La Cueva,NM,OPEN,,124.7,NNE,yes,442.125,447.125,107.2,,Santa Fe,,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,145.19,-0.6,162.2,,Santa Fe,NM,OPEN,,124.8,NNE,yes,145.19,144.59,162.2,,Bernalillo,On-Air,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.21,-0.6,,W5SF,Santa Fe,NM,OPEN,,124.8,NNE,yes,145.21,144.61,,,Santa Fe,On-Air,W5SF,Soon to move to a better location.,,yes,Local Santa Fe,,,,Santa Fe Amateur Radio Club,,yes,W5SF (C) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.575,5,,W5SF,Santa Fe,NM,OPEN,,124.8,NNE,yes,444.575,449.575,,,Santa Fe,On-Air,W5SF,Soon to move to a better location,,yes,Local Santa Fe,,,,Santa Fe Amateur Radio CLub,,yes,W5SF (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.41,-0.6,100,W5HO,La Cueva,NM,OPEN,,125.8,N,yes,145.41,144.81,100,,Santa Fe,Off-Air,W5HO,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,223.94,-1.6,CSQ,KB5RX,"Los Alamos, Pajarito Mountain",NM,OPEN,,129.4,NNE,yes,223.94,222.34,CSQ,CSQ,Los Alamos,On-Air,,,NMFCC,yes,,E-power.,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.19,-0.6,162.2,W5SF,"Los Alamos, Pajarito Mountain",NM,OPEN,,129.4,NNE,yes,145.19,144.59,,,Los Alamos,On-Air,SFARC,W5SF/PAJ - Distinct from the NM5SC repeater near Cuba on Pajarito Peak.,NMFCC,yes,Wide Area,,,,,,yes,W5SF (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,Northern New Mexico Amateur Radio Net: Mon at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,
,442.25,5,CC,NM5BB,Los Alamos,NM,OPEN,,130.1,NNE,yes,442.25,447.225,,,Los Alamos,Off-Air,,TS1 only. Rocky Mountain Ham Radio,NMFCC,yes,,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,
,144.265,0,203.5,KC2HSO,Los Alamos,NM,OPEN,I,130.2,NNE,yes,144.265,144.265,203.5,,Los Alamos,On-Air,,,,yes,,,,,,,,,,,,,,,8039,,,,,,,,,,,,,,,,,,,,,,,,
,442.925,5,CC1,KE8AVN,Los Alamos,NM,OPEN,,130.2,NNE,yes,442.925,447.925,,,Los Alamos,On-Air,,,,yes,,,,,,,,,,,,,,,,yes,1,yes,,,,,,,,,,,,,,,,,,,,,
,927.9,-25,131.8,WD9CMS,Los Alamos,NM,OPEN,,130.2,NNE,yes,927.9,902.9,,,Los Alamos,On-Air,,"Mixed mode analog and digital P25 system, linked with 444.775 WD9CMS",NMFCC,yes,Los Alamos and surrounding areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,
