Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Features,Web links,Coordination,Last update,Coverage,Commands,On-air,Grid,Links,YSF Digital Enabled,DG-ID,Mixed-Mode,Nets,Notes,Affiliate,EchoLink,IRLP,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Local Network,Talkgroups,Worldwide English,North America,Simplex,TAC 310,TAC 311,DCI Bridge,Echo Test,Hytera USA Reflector,MPRG 2,BGV,NW7RG-USA,USA - Area 7 4647,Local/Cluster,Montana,MPRG,AllStar,WIRES-X,P25 Digital Enabled,NAC,Default Reflector,Parrot,Talkgroup Network,Idaho,Bandwidth,Feed
146.92,-0.6,100,WR7HLN,"Missoula, University Mountain",MT,OPEN,,108.8,E,,146.92,146.32,100,100,Missoula,On-Air,Mac Pass Repeater Group,,http://www.macpassradio.com/mprg/toston/,,,"I90, Missoula, Hamilton, Stevensville, Polson, Drummond, Superior",,,,Full-time to the  Mac Pass Repeater Group System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.29,-1.7,100,WA7UOJ,"Spokane, Mica Peak",WA,OPEN,,111.6,NNW,,53.29,51.59,100,103.5,Spokane,On-Air,,Autopatch.,,IACC,,Wide area.,,,DN17ln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,127.3,WA7HWD,"Spokane, Mica Peak",WA,OPEN,,111.6,NNW,,147.24,147.84,127.3,127.3,Spokane,On-Air,,"Linked, e-power.",,IACC,,"Spokane, WA.",,,,,,,,Membership Net: Wed 2000.,,Northwest Tri-State ARO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.11,-0.6,118.8,WA7UOJ,"Spokane, Mica Peak",WA,OPEN,,111.6,NNW,,145.11,144.51,118.8,118.8,Spokane,On-Air,,,,IACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.35,5,192.8,N1NG,"Spokane, South Hill",WA,OPEN,,111.6,NNW,,444.35,449.35,192.8,,Spokane,On-Air,Kamiak Butte Amatuer Repeater Assoc (KBARA),,,UVHFS,,,,,DN17ln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.38,0.6,100,W7OE,"Spokane, Mica Peak",WA,OPEN,I,111.6,NNW,,147.38,147.98,100,,Spokane,On-Air,W7OE,,,IACC,,Wide area. 30 mi radius.,,,DN17ln,,,,,NW Regional/International Net: Weekdays 0700.  Weather Nets: Weekdays 0545 &amp; 1645.  Wednesday Evening Net: Wed at 1900.  Whitman/Latah County ARES Net: Thur at 1830.  KBARA Tech-Net: Thur at 1930.  Stanley Steamer Net: Sat at 0700.  Road Runners Net: Sun at 0700.  Spokane Region Storehouse ERC Net: Sun at 1930.,,Kamiak Butte Amateur Repeater Assoc,,3957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.15,-0.6,114.8,WA7RVV,"Spokane, Mica Peak",WA,OPEN,E,111.6,NNW,,145.15,144.55,114.8,114.8,Spokane,On-Air,WA7RVV,,,IACC,,Wide area.,,,DN17ln,,,,,,,,254771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.975,5,136.5,K7ID,"Coeur d'Alene, Canfield Mountain",ID,OPEN,E,112.3,NNW,,443.975,448.975,136.5,,Kootenai,On-Air,,,,IACC,,Metro CDA area and I-90.,,,,"Full-time to  
        146.98000 (K7ID) at Post Falls, Mica Peak, ID .",,,,,,,426264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.3,5,110.9,K7ZZL,Cascade,ID,OPEN,,112.6,S,,443.3,448.3,110.9,,Valley,On-Air,Deer Point ARC,Remote base.,,UVHFS,,,Link: 694.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.1625,-25,151.4,NB7C,Cascade,ID,OPEN,A,112.6,S,,927.1625,902.1625,151.4,151.4,Valley,On-Air,NB7C,Connected to 927_Tech,,W7ZRQ,,Valley County,,,,,,,,,,WI7ATV,,,,,,,,,,,,,,,,,,,,,,,,,,29826,,,,,,,,,
147.08,0.6,100,KC7ODP,"Post Falls, Mica Peak",ID,OPEN,,112.7,NNW,,147.08,147.68,100,,Kootenai,On-Air,,,,IACC,,,,,,,,,,NW Traffic Net: Wed at 18:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.98,-0.6,127.3,K7ID,"Post Falls, Mica Peak",ID,OPEN,,112.7,NNW,,146.98,146.38,127.3,,Kootenai,On-Air,Kootenai Amateur Radio Society,,Kootenai Amateur Radio Society,IACC,,,,,,"Full-time to  
        443.97500 (K7ID) at Coeur d'Alene, Canfield Mountain, ID .",,,,KARS NorthWest Traffic Net: Daily 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.55,5,,K7KTR,Dixon,MT,OPEN,,113,NE,,444.55,449.55,,,Sanders,,WB7WBJ,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.25,5,,KL7NA,Walla Walla,WA,OPEN,,113.4,W,,444.25,449.25,,,Walla Walla,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.45,5,123,AL1Q,"Walla Walla, Hertzer Peak",WA,OPEN,,113.4,W,,443.45,448.45,123,123,Walla Walla,On-Air,AL1Q,"Crossband link with 146.96, AL1Q",,,,"Eastern Washington, effective north up to I-90, west to Toppenish. Oregon coverage limited to high terrain along the Blue Mountains. No significant coverage in Idaho.",,,,,,,,,,Lewis Peak Amateur Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,103.5,KD7DDQ,"Walla Walla, Pikes Peak",WA,OPEN,,113.4,W,,147.28,147.88,103.5,,Walla Walla,On-Air,Kamiak Butte Amateur Repeater Assoc (KBARA),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.96,-0.6,74.4,AL1Q,"Walla Walla, Hertzer Peak",WA,OPEN,,113.4,W,,146.96,146.36,74.4,74.4,Walla Walla,On-Air,AL1Q,,,,,"Eastern Washington: Walla Walla, Benton, and Franklin counties. Intermittent contact along I-90, Moses Lake to Spokane, and high points south of I-90 to Snake River, including along SH26. Eastern Oregon: Limited to parts of Umatilla County, Pendleton and points north.",882,,,"Full-time to  
        145.41000 (N7LZM) at Kennewick, Jump Off Joe, WA .
 


Full-time to  
        442.47500 (KD7LZN) at Naches, Whites Pass, WA .",,,,Walla Walla ARES: Thu at 19:00.,,Lewis Peak Amateur Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,94.8,KH6IHB,Walla Walla,WA,OPEN,,113.4,W,,147.14,147.74,94.8,,Walla Walla,On-Air,KH6IHB,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.39,-1.7,100,KB6UMY,"Coeur d'Alene, Mica Peak/RX   Blossom/TX",ID,OPEN,EI,114.3,NNW,,53.39,51.69,100,100,Kootenai,On-Air,Brandon Vetter,Linked to 147.280+ and 442.975+ All PL 100.0,,IACC,,Kootenai County,,,,,,,,,,KARS,465683,3773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,100,KB6UMY,"Post Falls, Blossom Peak",ID,OPEN,EI,114.4,NNW,,147.28,147.88,100,100,Kootenai,On-Air,Brandon Vetter,Linked to 442.975+ 53.39-1.7 PL 100.0 Hz,,IACC,,"Coeur d'Alene, Post Falls, Spokane",,,,,,,,,,,465683,3773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.975,5,100,KB6UMY,"Post Falls, Blossom Peak",ID,OPEN,EI,114.4,NNW,,442.975,447.975,100,100,Kootenai,On-Air,Brandon Vetter,Linked to 147.280+ 53.39-1.7 PL 100.0 Hz,http://www.blossompeak.org,IACC,,"Post Falls, Spokane and Coeur d'alene area",,,,,,,,,,,465683,3773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.475,5,CC1,N7MOT,"Coeur d'Alene, Blossom Mtn",ID,OPEN,,114.5,NNW,,444.475,449.475,,,Kootenai,On-Air,N7MOT - Lenny Gemar,Internet linked to PNW c-Bridge and Brandmeister,http://www.qrz.com/db/N7MOT,,,Kootenai County and East Spokane County,,,,,,,,,Available TGs are listed at http://www.qrz.com/db/N7MOT,PNW c-Bridge http://www.trbo.org/pnw/,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.96,-0.6,CC1,W7CIA,Cascade,ID,OPEN,EI,115.4,S,,146.96,146.36,,,Valley,On-Air,,2,http://www.ciarc.org/repeaters/w7cia.shtml,UVHFS,,Two miles south of Smiths Ferry on Hwy 55 to McCall.,,,,"Full-time to  
        147.02000 (KC7MCC) at Mccall, No Business Montain, ID .",,,,,Low level. EchoLink/ IRLP by Control Operator only.,Central Idaho Amateur Radio Club,696264,3210,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.65,5,CSQ,N7DWC,"Weston, Waldo Mountain",OR,OPEN,,115.6,W,,444.65,449.65,CSQ,,Umatilla,Off-Air,N7DWC,E-power (solar),,ORRC,,"Pendleton, Hermiston Oregon and Walla Walla, Tri-Cities Washington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.425,5,100,N7FM,Spokane Valley,WA,OPEN,I,116.2,NNW,,444.425,449.425,100,100,Spokane,On-Air,N7FM,,http://www.n7fm.com,IACC,,Spokane,,,DN17jo,,,,,,,,,3507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.33,-0.6,100,N7FM,Spokane Valley,WA,OPEN,A,116.2,NNW,,145.33,144.73,100,100,Spokane,On-Air,WA6HSL,,,IACC,,,,,DN17jo,"Full-time to  
        224.40000 (K7MMA) at Spokane, Icy Hill, WA .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28162,,,,,,,,,
146.66,-0.6,,N7FM,Spokane Valley,WA,OPEN,IA,116.2,NNW,,146.66,146.06,,100,Spokane,On-Air,N7FM,,,IACC,,Spokane,,,DN17jo,,,,,,,,,3502,,,,,,,,,,,,,,,,,,,,,,,,41473,,,,,,,,,
145.17,-0.6,114.8,K7MMA,"Spokane Valley, Liberty Lake",WA,OPEN,E,116.3,NNW,,145.17,144.57,114.8,114.8,Spokane,On-Air,KC7GKY/K7MMA,,,IACC,,"Spokane and Spokane Valley to Post Falls, ID Area",,,,,,,,,All licensed amateurs are welcome to use.,,591675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.65,5,,W7TRF,Liberty Lake,WA,CLOSED,,116.4,NNW,,443.65,448.65,,,Spokane,,ASARC,Linked.,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,123,WR7VHF,"Spokane, Krell Hill",WA,OPEN,,117,NNW,,146.88,146.28,123,107.2,Spokane,On-Air,Inland Empire VHF Radio Amateurs,Autopatch.,,IACC,,,Autopatch:  * + number- On / #- Off,,DN17in,,,,,Membership Net: Wed at 1930.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.25,-25,114.8,W7RGW,"Spokane, Krell Hill",WA,OPEN,,117.2,NNW,,927.25,902.25,114.8,114.8,Spokane,On-Air,,,,IACC,,,,,DN17IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.39,-0.6,100,W7UPS,"Spokane, Krell Hill",WA,OPEN,E,117.2,NNW,,145.39,144.79,100,100,Spokane,On-Air,,E-power.,http://w7ups.com,IACC,,Wide area.,,,,,,,,,Wide area coverage on PL 100.0. Local area coverage for Echolink preferred on 127.3.,,130935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.5,5,136.5,K7EMF,"Spokane, Krell Mtn",WA,OPEN,,117.2,NNW,,444.5,449.5,,,Spokane,On-Air,,,,,,Wide Area Centered On Spokane,,,,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.98,-0.6,100,W7GRA,"La Grande, Grande Ronde Hospital",OR,OPEN,W,117.4,WSW,,146.98,146.38,100,100,Union,On-Air,,e-power,http://w7gra.org/,ORRC,,Grande Ronde Valley,,,,,,Open ↑ / Open ↓,Yes; analog capable.,Sunday Night Net at 19:00,**NEWS***10/20/17 W7GRA is now a DR-2X repeater. C4FM use on this repeater may require you to update your radio's firmware. Please check with Yaesu to see if it is required for full System Fusion 2 compatibility. All System Fusion radios are upgrade-able.,Grande Ronde Radio Amateurs,,,,,,,,,,,,,,,,,,,,,,,,,,,30274,,,,,,,,
146.98,-0.6,100,AA7WG,"Salmon, Baldy Summit",ID,OPEN,,117.6,SE,,146.98,146.38,100,,Lemhi,On-Air,Lemhi Amateur Radio Club,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.475,5,88.5,W7TRF,"Liberty Lake, Agilent Bldg",WA,OPEN,E,117.9,NNW,,443.475,448.475,88.5,,Spokane,On-Air,Spokane Ham Radio Club,"Closed autopatch, E-power",,,,,"EchoLink : 
Connect- [node #] / Disconnect- #. 
Status- 08 / Play Info- D.",,DN17kq,,,,,Spokane Ham Radio Club Thu at 20:30.,,,282039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.45,5,91.5,N7MOT,Post Falls,ID,OPEN,EI,118,NNW,,444.45,449.45,91.5,91.5,Kootenai,On-Air,,"Linked to 442.975 Blossom Mtn
KB6UMY",,IACC,,Kootenai County Prairie 20 mi radius.,,,,,,,,,,,465683,3773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,141.3,KA7ENA,"Spokane, Tower Mountain",WA,OPEN,,118,NNW,,145.37,144.77,141.3,141.3,Spokane,On-Air,KA7ENA,,,IACC,,,,,DN17IO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.125,5,100,KC7AAD,"Spokane, Krell",WA,OPEN,,118,NNW,,444.125,449.125,100,100,Spokane,On-Air,KC7AAD,,,IACC,,Wide Area,,,DN17IO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.275,5,,K7ID,"Post Falls, Idaho Mica Peak",ID,OPEN,,118,NNW,,443.275,448.275,,136.5,Kootenai,On-Air,Kootenai Amateur Radio Society K7ID,AMS - System Fusion,http://www.K7ID.org,,,Kootenai County and Spokane County,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.425,5,100,K7HRT,Greenacres,WA,OPEN,,119.2,NNW,,442.425,447.425,100,,Spokane,On-Air,N7XKP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.62,-0.6,100,W7VOI,"Cascade, Snowbank Mountain",ID,OPEN,,119.6,S,,146.62,146.02,100,,Valley,On-Air,Voice of Idaho Amateur Radio Club (VOI),,,W7ZRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,100,KG7SD,"Spokane, Paradise Rim",WA,OPEN,,119.9,NW,,147.1,147.7,100,100,Spokane,On-Air,,,,IACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.925,5,100,NV2Z,Otis Orchards,WA,OPEN,W,120,NNW,,442.925,447.925,100,100,Spokane,On-Air,NV2Z,E-power,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,Digital WIRES-X node,,,,,,,,,,,,,,,,,,,,,,,,,,,,11634,,,,,,,,
444.9,5,,K7LW,Athena,OR,OPEN,,120.2,WSW,,444.9,449.9,,,Umatilla,On-Air,Cookie Radio Club,,,,,"Low level, less than 100 miles",,,DN05ul,,,,,,,,,,,K7LW (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,,KD7YAC,St Ignatius,MT,OPEN,,120.7,NE,,145.43,144.83,,,Lake,,KD7YAC,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.225,5.1,100,AA7WG,"Salmon, Baldy Mountain",ID,OPEN,,120.8,SE,,442.225,447.275,100,100,Lemhi,On-Air,LDS ERC,Remote Base linked to 146.88 Rexburg Menan Butte Repeater,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,100,AA7WG,"Salmon, Old Dump Hill above Salmon",ID,OPEN,EI,120.8,SE,,147.03,147.63,100,100,Lemhi,On-Air,LDS ERC,,,,,"Low level, covers most of Lemhi County",,,,,,,,,,,439297,3601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.1,5,100,AA7WG,"Salmon, Baldy Mountain",ID,,,120.8,SE,,442.1,447.1,100,100,Lemhi,On-Air,,Linked to 146.98 Salmon and 146.78 Challis,,,,,,,,,,,,,,Lemhi Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,127.3,AD7DD,Otis Orchards,WA,OPEN,I,121.2,NNW,,147.14,147.74,127.3,,Spokane,On-Air,,WX,,IACC,,Spokane &amp; Couer d' Alene. 30 mi radius.,,,DN17kr,,,,,LDS Stake Net: Sun 1900.,,,,7205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.16,0.6,136.5,K7EKM,"Spokane, South Hill",WA,OPEN,,122.4,NNW,,147.16,147.76,136.5,136.5,Spokane,On-Air,Spokane DX Association,,,IACC,,Spokane 6 mi radius.,,,DN17HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,131.8,K7LW,"Athena, Weston Mountain",OR,OPEN,W,122.8,W,,147.04,147.64,,,Umatilla,On-Air,Cookie Radio Club,E-power,,,,"Low Level, less than 100 miles",,,,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40289,,,,,,,,
444.9,5,123,WR7VHF,"Spokane Valley, Riblets",WA,OPEN,,123,NNW,,444.9,449.9,123,,Spokane,On-Air,Inland Empire VHF Radio Amateurs,,,IACC,,,,,DN17iq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.25,5,110.9,KC7TIG,Rathdrum,ID,OPEN,I,123.1,NNW,,444.25,449.25,110.9,,Kootenai,On-Air,,,,IACC,,,,,,,,,,,,,,8350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,136.5,N7ESU,Rathdrum,ID,OPEN,,123.1,NNW,,147.22,147.82,136.5,,Kootenai,On-Air,,45,,IACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.925,5,100,K7MMA,"Spokane, Icy Hill",WA,OPEN,I,124.1,NW,,443.925,448.925,100,100,Spokane,On-Air,"K7MMA &amp; K7TMF, Michael West &amp; Chuck Hill",,http://www.qrz.com/db/K7MMA,IACC,,Spokane and West Spokane. 50 mi radius.,0,,,,,,,East Coast Tech &amp; Swap: Tue at 17:00.,Linked into the Seattle Reflector 9198,,,7879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.29,-0.6,77,K7MMA,"Spokane, Spokane International Airport",WA,OPEN,W,124.1,NW,,145.29,144.69,77,77,Spokane,On-Air,K7MMA,,http://www.qrz.com/db/K7MMA,,,Spokane Area,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18091,,,,,,,,
444.9,5,123,WR7VHF,Spokane Valley,WA,OPEN,,124.2,NNW,,444.9,449.9,123,,Spokane,On-Air,Inland Empire VHF Radio Amateurs,,,IACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441.5,0,,W4LKS,Cheney,WA,OPEN,,124.2,NW,,441.5,441.5,,,Spokane,On-Air,,Full D-STAR Linking,http://www.wa7dre.org,IACC,,"Four Lakes, Airway Heights, Medical Lake, Cheney",,,,,,,,,,,,,,W4LKS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,107.2,AK2O,Spokane,WA,OPEN,,125,NNW,,224.94,223.34,107.2,,Spokane,On-Air,Spokane Repeater Group,,,,,Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.7,5,,AK2O,"Spokane, Brownes Mountain",WA,OPEN,,125,NNW,,444.7,449.7,,,Spokane,Off-Air,AK2O,,,IACC,,Metro Spokane,,,,,,,,,Repeater is down pending repairs.,Spokane Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.32,0.6,,AK2O,Spokane,WA,OPEN,,125,NNW,,147.32,147.92,,,Spokane,On-Air,AK2O,,http://www.srgclub.org,IACC,,,,,,,,,,,,Spokane Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,100,W7GBU,"Spokane, Brownes Mountain",WA,OPEN,,125,NNW,,147.3,147.9,100,,Spokane,On-Air,Spokane County ARES RACES Support Group,E-power,http://www.spokares.org,IACC,,Wide area.,,,,,,,,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.85,5,114.8,KD7IKZ,Spokane,WA,OPEN,E,125,NNW,,443.85,448.85,114.8,114.8,Spokane,Off-Air,,,http://kd7ikz.myftp.org,IACC,,Spokane and Post Falls.,,,,,,,,,Located downtown.,,216767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.21,-0.6,100,W7TRF,"Spokane, South Valley",WA,OPEN,,125,NNW,,145.21,144.61,100,,Spokane,On-Air,Spokane Ham Radio Club,"Closed autopatch, linked, e-power.  Four receivers located at:  Agilent Technologies in Liberty Lake Green Ridge above Liberty Lake Beacon Hill South ridge above the Spokane Valley",,IACC,,,,,,,,,,,,Agilent Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.2,0.6,,K7SRG,Spokane,WA,OPEN,,125,NNW,,147.2,147.8,,,Spokane,On-Air,Spokane Repeater Group,,,IACC,,Wide area: Eastern Washington and Northern Idaho.,,,,,,,,,This repeater is part of a sophisticated large coverage area network. Please visit the web-site to learn more about the repeater system and how to join. Membership is not required to gain PL tones.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293.3,20,,WA7DRE,Spokane,WA,OPEN,,125,NNW,,1293.3,1313.3,,,Spokane,On-Air,Washington Digital Radio Enthusiasts,,,,,,,,,,,,,,,,,,,WA7DRE (A) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.94,-1.6,,AK2O,Spokane,WA,OPEN,,125,NNW,,223.94,222.34,,,Spokane,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.05,5,,,"Spokane, Paradise Rim",WA,OPEN,,125,NNW,,444.05,449.05,,,Spokane,On-Air,,,,,,,,,,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.66,-0.6,,,Spokane,WA,OPEN,I,125,NNW,,146.66,146.06,,,Spokane,On-Air,N7FM,,,,,25,,,,,,,,IRLP connects to Reflector 9005 from 8:30 AM to 9:00 AM,,,,3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.6,5,100,N7FM,Spokane,WA,OPEN,,125,NNW,,442.6,447.6,100,100,Spokane,On-Air,N7FM,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,N7BFS,Spokane,WA,OPEN,I,125,NNW,,224.98,223.38,107.2,,Spokane,On-Air,N7BFS,,,,,Local,,,,,,,,,Contact me for the IRLP pre-access code that it uses.,,,3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.34,0.6,123,WR7VHF,Spokane,WA,OPEN,,125,NNW,,147.34,147.94,123,,Spokane,On-Air,Inland Empire VHF Radio Amateurs,E-power.,,IACC,,,,,,,,,,,Located on the State Farm Bank building downtown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.4,-1.6,114.8,K7MMA,"Spokane, Icy Hill",WA,OPEN,,126.4,NNW,,224.4,222.8,114.8,,Spokane,On-Air,WA6HSL,,,IACC,,Spokane and Surrounding Areas,,,,"Full-time to  
        145.33000 (N7FM) at Spokane Valley, WA .",,,,,5100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.33,-0.6,103.5,K7RPT,"Pendleton, Deadman Pass",OR,OPEN,,127.2,WSW,,145.33,144.73,103.5,,Umatilla,On-Air,Amateur Radio Relay Group (ARRG),E-power.,http://www.arrg.org,ORRC,,Covers Pendleton to LaGrande.,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.6,5,100,WA7RVV,Medical Lake,WA,OPEN,EI,127.3,NW,,443.6,448.6,100,,Spokane,On-Air,,,,,,"Medical lake, Airway Heights, Fairchild AFB",,,,,,,,,,,254771,3755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.8,5,123,KA7ENA,"Spokane, Booth Hill",WA,OPEN,,127.7,NW,,443.8,448.825,123,,Spokane,On-Air,KA7ENA,,,,,,,,,,,,,,Tower Mtn?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.33,-0.6,100,KD7OCP,"Noxon, Green Mountain",MT,OPEN,,128.2,N,,145.33,144.73,100,,Sanders,On-Air,KD7OCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,103.5,W1KGK,"Missoula, Point Six",MT,OPEN,,128.5,E,,147.12,147.72,103.5,,Missoula,On-Air,,,,,,Western Montana from Idaho to Central Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,N7BFS,"Spokane, Five Mile",WA,OPEN,,129.7,NNW,,147.06,147.66,77,77,Spokane,On-Air,N7BFS,,,IACC,,,,,,,,,,,146.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.175,5,,N7BFS,"Spokane, Five Mile",WA,OPEN,,130,NNW,,444.175,449.175,,,Spokane,On-Air,N7BFS,,,IACC,,,,,DN17gr,,,,,,"Flat audio response, will pass DSTAR and Astro. For C4FM Astro use NAC 293",,,,,N7BFS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,293,,,,,,
444.85,5,,KC7MRQ,Ronan,MT,OPEN,W,130.4,NE,,444.85,449.85,,,Lake,Off-Air,,,,,,Local valley coverage,,,,,,Open ↑ / Open ↓,,,WIRES-X enabled 24/7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,11864,,,,,,,,
146.7,-0.6,162.2,KC7MRQ,Ronan,MT,OPEN,EA,130.4,NE,,146.7,146.1,162.2,162.2,Lake,Off-Air,,,,MRCC,,,,,,,,,,,,,274865,,,,,,,,,,,,,,,,,,,,,,,,,29115,,,,,,,,,
