Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Coverage,Sponsor,Features,Coordination,Last update,Downlink Tone,Op Status,Links,Notes,Nets,AllStar,Web links,Affiliate,EchoLink,IRLP,Commands,Grid,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Location Photo,Feed,YSF Digital Enabled,DG-ID,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,WIRES-X,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Worldwide,North America,Local/Cluster
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,36.4,SW,,447.75,442.75,103.5,Fremont,,,RGARC,E-power (Bat),CCARC,,103.5,On-Air,,,,,Royal Gorge Amateur Radio Club,,,3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,36.4,SW,,223.96,222.36,103.5,Fremont,,"Wide area. 
   Repeater Coverage Map",RGARC,"E-power (Bat), Remote Base",CCARC,,103.5,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,36.4,SW,,145.49,144.89,103.5,Fremont,,,Royal Gorge Amateur Radio Club,E-power (Bat),CCARC,,103.5,On-Air,,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",,Royal Gorge Amateur Radio Club,Colorado ARES Region 5 District 1,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,36.4,SW,,53.03,51.33,88.5,Fremont,,,WB0WDF,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",CCARC,,88.5,On-Air,,Split site Fremont peak transmitter and 8 mile mountain reciever.,,,Http://www.qsl.net/rghc,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,37,S,,448.975,443.975,100,Pueblo,,,,,CCARC,,100,On-Air,Full-time to the  The Fun Machine System .,Off air.  Will return to service,,28368,http://www.k0jsc.com,,363976,7301,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,38,SSE,,147,147.6,,Pueblo,,,Carl Higbee,,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,39.5,NNE,,446.85,441.85,,Douglas,,,Parker Radio Association,D-Star B module,CCARC,,,On-Air,,,,,http://parkerradio.org,,,,,,,,,,,,,,,,,,,,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,40,WNW,,147.36,147.96,107.2,Park,,Wide area.,,E-power.,CCARC,,107.2,On-Air,,,,,CMRG Repeaters,,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,40,WNW,,146.685,146.085,107.2,Park,,,Mountain ARC (MARC),"Closed autopatch, e-power.",CCARC,,107.2,On-Air,"Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,MARC/PCRC: Tue at 19:30.,,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,41.7,SSE,,449.725,444.725,100,El Paso,,,N0PWZ,,CCARC,,,On-Air,,,,,,,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,41.7,SSE,,146.88,146.28,88.5,Pueblo,,Wide area.,Pueblo HC,E-power.,CCARC,,CSQ,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,41.7,SSE,,145.115,144.515,88.5,Pueblo,,,Pueblo Ham Club,E-power.,CCARC,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,41.7,SSE,,146.655,146.055,123,Pueblo,,,K0ST,,CCARC,,CSQ,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC0 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,41.7,SSE,,447.7,442.7,210.7,Pueblo,,,,,CCARC,,210.7,Off-Air,,,,29228,,,,7389,,,,,,,,,,,,Yes; analog capable.,,,,,,,,0,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,43.2,SSE,,447.275,442.275,100,Pueblo,,,,,CCARC,,100,On-Air,Full-time to the  The Fun Machine System .,"Moved to Pueblo.  Now called ""Pueblo Metro""","APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.",,The Fun Machine,The Fun Machine,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,,43.2,SSE,,446.9875,441.9875,,Pueblo,,,,,CCARC,,,Off-Air,Full-time to the  Colorado TRBO System .,,,,Rocky Mountain Ham Radio,RMHAM,,,,,,,,,,,,,,,,,,,,,,6,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,43.2,SSE,,147.24,147.84,103.5,Pueblo,,Pueblo and Fremont Counties,TARA,,CCARC,,CSQ,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,44.3,N,,449.95,444.95,77,Douglas,,Primarily to the North along I-25 corridor,W9SL Owner,,CCARC,,77,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,45.6,N,,447.525,442.525,203.5,Douglas,,"Denver metropolitan area, front range foothills",EmComm Colorado,,CCARC,,146.2,On-Air,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,Colorado ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,47.7,NE,,147.105,147.705,107.2,Elbert,,"I-70, E. Arapahoe, Elbert, Lincoln Counties",ARES of Douglas and Elbert Counties,Linked to CRA 447.150 - Conifer,CCARC,,107.2,On-Air,"Full-time to  
        448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,,,http://www.w0cra.org/,Colorado Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,48.4,NNW,,447.5,442.5,88.5,Jefferson,,Wide area.,Aurora Repeater Association,E-power.,CCARC,,88.5,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,49.1,NNW,,146.88,146.28,100,Jefferson,,Wide area: Denver.  Map,Denver Radio League,E-power.,CCARC,,,On-Air,,6,,,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,49.1,NNW,,449.6,444.6,100,Jefferson,,,Denver Radio League,,CCARC,,,On-Air,,,,,DRL Repeaters,,690473,3345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,I,50.1,N,,448.7,443.7,146.2,Douglas,,Local North Parker only,,,,,,On-Air,,,,,,,,3415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,50.6,NNE,,927.8375,902.025,,Douglas,,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,CCARC,,,On-Air,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,,,,,,,,,,,,,,,,,,,294,,,,,,,,,,,,,,,,,
447.225,-5,141.3,AB0BX,"Highlands Ranch, STEM School",CO,OPEN,EA,50.8,N,,447.225,442.225,141.3,Douglas,,8,,"AllStar, EchoLink, 25ft",CCARC,,141.3,Off-Air,,,Amateur Satellite net 7PM MST thursday,41967,,,373051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,52.7,NW,,146.895,146.295,100,Park,,285,AB0RR,25,CCARC,,100,On-Air,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",,Wed at 19:30.,45835,Park County Radio Club (PCRC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,53.6,N,,145.4,144.6,100,Arapahoe,,Greater Denver area.,Castle Rock Repeater Group,"Autopatch, e-power.",CCARC,,,On-Air,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,54.1,NNW,,1287.9,1267.9,CSQ,Jefferson,,Fort Collins to Colorado Springs.,Colorado Repeater Association (CRA),,CCARC,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,54.1,NNW,,447.15,442.15,107.2,Jefferson,,Wide area: Denver.,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,,107.2,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,54.1,NNW,,224.98,223.38,107.2,Jefferson,,Wide area. Denver.,Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,,107.2,Off-Air,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,54.5,N,,449.425,444.425,D023,Arapahoe,,,K0PWO,,,,D023,Off-Air,,Colorado SNP (Shared non-protected pair),,29791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,55,NNW,,147.12,147.72,88.5,Jefferson,,Denver metro and east.,Aurora Repeater Association,E-power.,CCARC,,88.5,On-Air,,,,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,55,N,,145.19,144.59,151.4,Arapahoe,,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",N0OBA,Autopatch (please contact trustee).,,,131.8,On-Air,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott","""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,55.4,NNW,,53.05,51.35,107.2,Jefferson,,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",Colorado Repeater Association (CRA),10,CCARC,,107.2,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,58.1,SSE,,449.975,444.975,100,Pueblo,,"I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass 
   Repeater Coverage Map",K0JSC,2,CCARC,,100,On-Air,"Linkable to  
        145.49000 (WD0EKR) at Canon City, Fremont Peak, CO .
 


Linkable to  
        145.46000 (WB0WDF) at Cripple Creek, CO .
 


Linkable to  
        146.79000 (ND0Q) at Pueblo, Baculite Mesa, CO .
 


Linkable to  
        145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO .
 


Linkable to  
        146.88000 (ND0Q) at Pueblo, Deer Peak, CO .
 


Linkable to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00.  
RGARC Net: Wed at 19:00.",28368,K0JSC dot Com,,363976,7301,,DM78SA18,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,58.2,SSW,,447.175,442.175,88.5,Pueblo,,Wide area: Southeast Colorado.,Pueblo HC,11,CCARC,,,Off-Air,,,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,58.2,WNW,,446.7625,441.7625,,Park,,,K7PFJ,,,,,On-Air,,,,,,RMHAM,,,,,,,,,,,,,,,,,,,,,,0,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,2,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,58.2,SSW,,449.625,444.625,107.2,Custer,,,,E-power.,CCARC,,,On-Air,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,58.2,SSW,,224.32,222.72,88.5,Custer,,,Pueblo Ham Club,11,CCARC,,,Off-Air,,,,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,59.5,SW,,147.06,147.66,77,Custer,,,http://www.qsl.net/rghc,E-power,CCARC,,77,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,59.5,SW,,927.775,902.775,D116,Custer,,,Royal Gorge Amateur Radio Club,,CCARC,,D116,On-Air,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,59.5,SW,,448.15,443.15,103.5,Custer,,,Royal George ARC,E-power.,CCARC,,103.5,On-Air,,,,,http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,59.6,SW,,919.1,894.1,88.5,Pueblo,,Wide area.,Pueblo HC,,CCARC,,CSQ,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,59.6,N,,449.15,444.15,,Arapahoe,,,Colorado Amateur Repeater Network (CARN),,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,59.6,SW,,448.325,443.325,100,Custer,,,,,,,100,On-Air,Full-time to the  The Fun Machine System .,,,,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,59.9,W,,448.575,443.575,103.5,Park,,Western Park County,,,CCARC,,103.5,Off-Air,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,60.4,ESE,,449.9,444.9,107.2,Lincoln,,,,,CCARC,,,On-Air,,,,,,BSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,61.1,NNW,,224.38,222.78,100,Jefferson,,,Denver Radio Club,,CCARC,,100,On-Air,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,61.1,NNW,,449.775,444.775,100,Jefferson,,Metro Denver,Denver Radio Club,,CCARC,,100,On-Air,,,,,Denver Radio Club,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,61.1,NNW,,147.33,147.93,100,Jefferson,,Metro Denver and the foothills.,Denver Radio Club,E-power.,CCARC,,,On-Air,,Not recommeded to use tone squelch on this repeater.,SATERN: Thu at 19:30.,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,61.3,NNW,,145.34,144.74,103.5,Jefferson,,Wide area.,Rocky Mtn Radio League,E-power.,CCARC,,127.3,On-Air,,,,,Repeater,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,61.3,NNW,,145.175,144.575,D073,Clear Creek,,,Rocky Mountain Ham Radio,,CCARC,,D073,Off-Air,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,1,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,61.8,NNW,,53.17,51.47,107.2,Jefferson,,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,,CSQ,On-Air,Full-time to the  N6LXX System .,,,29883,,N6LXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,61.8,NNW,,447.875,442.875,107.2,Jefferson,,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,,107.2,On-Air,Full-time to the  N6LXX System .,,,29913,,N6LXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,61.9,N,,448.4,443.4,94.8,Arapahoe,,,,,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,61.9,N,,448.825,443.825,,Arapahoe,,,,,,,,On-Air,,,,,,,,,,,,,,,,,,,Open ↑ / Open ↓,,,,,,,,,,,30584,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,61.9,N,,448.275,443.275,156.7,Arapahoe,,,W0BG,,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,61.9,N,,448.5,443.5,100,Denver,,Greater Denver area.,Castle Rock Repeater Group,E-power.,CCARC,,,On-Air,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,62.3,NNW,,448.75,443.75,100,Jefferson,,Local.,,E-power.,CCARC,,100,On-Air,,,,,,N0ELY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,62.9,NNW,,53.09,51.39,107.2,Jefferson,,Metro Denver area.,Denver Radio Club,E-power.,CCARC,,,On-Air,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,63.1,N,,447.9,442.9,CSQ,Denver,,,WB0TPT,,CCARC,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,63.1,N,,449.675,444.675,,Denver,,,Colorado Amateur Repeater Network (CARN),,CCARC,,,On-Air,,,,,,,,7708,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,63.1,N,,449.65,444.65,,Denver,,,Colorado Amateur Repeater Network (CARN),,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,63.1,N,,447.925,442.925,100,Denver,,,RADOPS El Jebel Shriners,,CCARC,,100,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,63.2,N,,448.55,443.55,82.5,Denver,,,HPRA,E-power.,CCARC,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,63.2,N,,146.715,146.115,123,Denver,,,EARS,E-power.,CCARC,,123,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,63.2,N,,448.075,443.075,123,Denver,,,W0IG,,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,63.2,N,,145.475,144.875,100,Jefferson,,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,E-power.,CCARC,,,On-Air,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,63.2,NNW,,447.825,442.825,D073,Jefferson,,,Denver Radio Club,,CCARC,,D073,On-Air,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,64.3,N,,447.175,442.175,100,Denver,,,W0JRL,,CCARC,,100,On-Air,,,,29997,,,201712,,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,65.4,NNW,,147.21,147.81,100,Jefferson,,,Denver Water Amateur Radio Club,,,,100,On-Air,,,DVARC: Thu at 15:30. The net allows DWARC members the ability to test the radio capabilities as well as policies and procedures. This NET is a work in progress and has a good possibility to change times and locations.,,,,,,,,,,,,,,,,23,Yes; analog capable.,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,65.7,NNW,,1283.9625,1263.9625,,Jefferson,,,Colorado D-Star,,CCARC,,,On-Air,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,65.7,NNW,,145.25,144.65,,Jefferson,,,Colorado D-Star,,CCARC,,,On-Air,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,65.7,NNW,,1299.9,1299.9,,Jefferson,,,Colorado D-Star,,,,,On-Air,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,65.7,NNW,,446.8375,441.8375,,Jefferson,,,WA2YZT,200,CCARC,,,On-Air,Full-time to the  Colorado TRBO System .,See website for more info on CC/TS/TG programming.  www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,65.7,NNW,,446.9625,441.9625,,Jefferson,,,Colorado D-Star,,CCARC,,,On-Air,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,65.8,NNW,,145.37,144.77,,Jefferson,,,Rocky Mountain Ham Radio,,CCARC,,,On-Air,,See the website for programming information.,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,66,NNW,,449.625,444.625,141.3,Jefferson,,,Rocky Mountain Ham Radio,E-power,CCARC,,141.3,On-Air,,,,,,,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
