Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,EchoLink,Notes,Last update,Coverage,Sponsor,Features,Coordination,Downlink Tone,Affiliate,Links,Nets,Web links,On-air,IRLP,AllStar,DMR Enabled,Color Code,Wide Network,Grid,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Commands,Feed,D-STAR Enabled,Node,Sources,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Worldwide,North America,Local/Cluster,YSF Digital Enabled,DG-ID,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide English,DCI Bridge,N. Colorado,English,TAC 310,WIRES-X,Location Photo,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,86.5,WSW,,145.175,144.575,107.2,Mesa,On-Air,,,,Greater grand Junction area.,,"E-power,",CCARC,,,,,,,3161,,,,,,,,,,,,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,"Maysville, CO",CO,OPEN,,87.7,SSE,,145.325,144.725,100,Chaffee,On-Air,,,,wide area,Chaffee Lake Amateur Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,88.1,E,,145.31,144.71,88.5,Gilpin,On-Air,,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",Colorado Connection,10,CCARC,123,,Full-time to the  Colorado Connection System .,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,88.1,E,,449.225,444.225,141.3,Gilpin,On-Air,,"Emcomm Affiliated, Open repeater",,Wide area.,Rocky Mountain Ham Radio (RMHR),Emergency Power,CCARC,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,89.5,WSW,,145.22,144.62,107.2,Mesa,,,,,,KE0TY,,CCARC,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,89.5,WSW,,147.39,147.99,107.2,Mesa,,,,,,KE0TY,Linked.,CCARC,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,89.5,WSW,,449,444,,Mesa,On-Air,,,,,KB0SW,,CCARC,107.2,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,89.5,WSW,,147.105,147.705,,Mesa,On-Air,,,,,K0SSI,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,89.5,WSW,,449.775,444.775,173.8,Mesa,On-Air,7572,,,,,,CCARC,88.5,,,,,,7573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,Grand Junction,CO,OPEN,A,89.5,WSW,,146.82,146.22,107.2,Mesa,On-Air,,,,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,CCARC,,,,,,,,28515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,89.5,WSW,,447.5,442.5,114.8,Mesa,,,,,,KC0ARV,,CCARC,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,89.5,WSW,,446.775,441.775,,Mesa,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KD0RED (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,90.2,ESE,,927.8375,902.025,,Jefferson,On-Air,,The offset is -25.8125,,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,,,CCARC,,,,,,,,45770,,,,,,,,,,,,,,,,,293,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,90.2,ESE,,446.7875,441.7875,,Jefferson,On-Air,,,,,Denver Radio Club,,CCARC,,Brandmeister Network,,,http://www.w0tx.org/,,,,,1,,,,,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,90.5,ESE,,449.525,444.525,CSQ,Jefferson,On-Air,,,,,KE0SJ,E-power.,CCARC,,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,90.5,ESE,,146.985,146.385,100,Denver,On-Air,,,,,El Jebel RADOPS,E-power.,CCARC,100,,,RADOPS: Sun at 19:00.,,,3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,90.5,ESE,,448.625,443.625,100,Jefferson,On-Air,,,,Denver metro area.,Denver Radio Club,E-power.,CCARC,100,,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",DRC: Sun at 20:30.,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,90.5,ESE,,145.28,144.68,100,Jefferson,On-Air,,"PL is usually off, allowing use by older transceivers.",,Wide area.,,"Closed autopatch, e-power, linked.",CCARC,,,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",Sun at 19:30. Everyone welcome.,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,90.5,ESE,,146.64,146.04,100,Jefferson,On-Air,,8,,"Wide area. 
   Repeater Coverage Map",Denver Radio League,E-power.,CCARC,,,,,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,90.6,WSW,,147.355,146.755,88.5,Mesa,On-Air,,,,,Colorado Connection,,CCARC,123,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,90.8,ESE,,53.05,51.35,107.2,Jefferson,Off-Air,,,,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",Colorado Repeater Association (CRA),10,CCARC,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,91.2,ESE,,147.12,147.72,88.5,Jefferson,On-Air,,,,Denver metro and east.,Aurora Repeater Association,E-power.,CCARC,88.5,,,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,100,KI0HG,"Allenspark, AFPD Station #5",CO,OPEN,,91.6,E,,147.03,147.63,100,Boulder,On-Air,,,,,KI0HG,,CCARC,,Boulder County Amateur Radio Emergency Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,91.9,E,,146.91,147.51,123,Boulder,On-Air,,There is a MOU With BCARES for repeater use.,,"East of Gold Hill, The Indian Peaks, Denver, Boulder",,,,127.3,"Town of Gold Hill, Colorado",,"Summer Tue at 19:30P, Winter 19:00.",http://goldhilltown.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,92.1,SSW,,146.91,146.31,107.2,Montrose,On-Air,,,,,,E-Power,CCARC,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,92.1,SSW,,146.79,146.19,107.2,Montrose,On-Air,,,,,KC0UXX,E-power.,CCARC,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,92.2,ESE,,448.85,443.85,88.5,Jefferson,On-Air,,,,"Denver metro, central front range",Aurora Repeater Assoc,e-power.,CCARC,88.5,,,ARA: Wed at 20:00.,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,92.2,ESE,,224,222.4,103.5,Jefferson,On-Air,,,,,Rocky Mountain Radio League,8,CCARC,103.5,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,92.2,ESE,,147.15,147.75,100,Jefferson,On-Air,,,,"Denver metro, central front range",Aurora Repeater Assoc (ARA),e-power,CCARC,100,,"Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",ARA: Wed at 20:00.,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,92.3,SE,,147.36,147.96,107.2,Park,On-Air,,,,Wide area.,,E-power.,CCARC,107.2,,,,CMRG Repeaters,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,92.3,ESE,,145.22,144.62,103.5,Jefferson,On-Air,,Talk-Group of $FFFF.,,Wide area.,Rocky Mtn Radio League,8,CCARC,103.5,,,,Repeater,,,,,,,,,,,,,,,,,,,,293,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,92.3,ESE,,224.74,223.14,88.5,Jefferson,On-Air,,,,,Aurora Repeater Assoc,e-power,CCARC,88.5,,,ARA: Wed at 2000.,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,92.3,ESE,,449.75,444.75,103.5,Jefferson,On-Air,,,,,Rocky Mtn Radio League,8,CCARC,103.5,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,92.3,SE,,146.685,146.085,107.2,Park,On-Air,,,,,Mountain ARC (MARC),"Closed autopatch, e-power.",CCARC,107.2,,"Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,92.5,ESE,,145.34,144.74,103.5,Jefferson,On-Air,,,,Wide area.,Rocky Mtn Radio League,E-power.,CCARC,127.3,,,,Repeater,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,92.5,ESE,,145.175,144.575,D073,Clear Creek,Off-Air,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,Rocky Mountain Ham Radio,,CCARC,D073,,,,Rocky Mountain Ham Radio,,,,,1,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,92.8,WSW,,448.15,443.15,100,Mesa,On-Air,312189,,,,,,CCARC,,,,,,,7963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,93.3,SSW,,447.2,442.2,107.2,Montrose,On-Air,,Closed IRLP out - Ask for a control op,,Delta/Montrose,,9,CCARC,107.2,Grand Mesa Repeater Assoc,Full-time to the  GMRA Open System .,RACES Net Wed at 1930 Hrs.,GMRA Repeaters,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,93.3,SSW,,448.65,443.65,,Montrose,On-Air,,,,Wide area.,KB0YNA,,,151.4,,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,93.7,ESE,,1287.9,1267.9,CSQ,Jefferson,Off-Air,,,,Fort Collins to Colorado Springs.,Colorado Repeater Association (CRA),,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,93.7,ESE,,224.98,223.38,107.2,Jefferson,Off-Air,347086,,,Wide area. Denver.,Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,107.2,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,93.7,ESE,,447.15,442.15,107.2,Jefferson,Off-Air,,,,Wide area: Denver.,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,94.9,E,,447.975,442.975,107.2,Boulder,On-Air,,,,Wide area: Boulder/Longmont area.,Colorado Repeater Association (CRA),Closed autopatch.,CCARC,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC1,N0SZ,"Boulder, Lee Hill",CO,OPEN,,94.9,E,,445.05,440.05,,Boulder,On-Air,,,,Wide area,Rocky Mountain Ham Radio,The DMR-MARC Worldwide Network,CCARC,,,,,,,,,,1,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,94.9,E,,145.46,144.86,107.2,Boulder,On-Air,347086,,,Boulder/Denver Metro,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,107.2,CRA VHF Link System,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,3990,,,,,,,,,,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC7,N0SZ,"Boulder, Lee Hill",CO,OPEN,,94.9,E,,446.9875,441.9875,,Boulder,On-Air,,,,,Rocky Mountain Ham Radio,Linked on Time Slot 2 to  Almagre Mtn  (446.950).,,,,"Full-time to  
        446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO .
 


Full-time to the  Colorado TRBO System .",,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,94.9,E,,224.02,222.42,,Boulder,On-Air,217336,,,Denver metro area.,Rocky Mtn VHF Soc,8,CCARC,,,"Full-time to  
        449.55000 (W0IA) at Boulder, CO .",,RMVHS repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,94.9,E,,447.75,442.75,141.3,Boulder,On-Air,,,,,Rocky Mountain Ham Radio,,CCARC,141.3,,,,,,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,123,N0FH,Estes Park,CO,OPEN,EI,95.5,E,,449.8,444.8,123,Larimer,On-Air,625757,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",,,Estes Valley ARC,E-Power,CCARC,,,"Full-time to  
        146.68500 (N0FH) at Estes Park, CO .",ARES D-10: Thu at 19:00.,,,7268,,,,,,,,,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,95.6,SE,,446.975,441.975,,Chaffee,On-Air,,,,,Crestone Amateur Radio Emergency Services,,CCARC,,Crestone Amateur Radio Emergency Services,,,KD0QPG,,,,,,,,,,,,,,,,,KD0QPG (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,95.6,SE,,446.8125,441.8125,,Chaffee,On-Air,,,,,RMHAM,,,,,,,,,,,,0,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,96.8,ESE,,449.625,444.625,141.3,Jefferson,On-Air,,,,,Rocky Mountain Ham Radio,E-power,CCARC,141.3,,,,,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,97,E,,146.7,146.1,100,Boulder,On-Air,,,,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",Boulder Co ARC,6,CCARC,,,,,BARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,97.1,ESE,,1299.9,1299.9,,Jefferson,On-Air,,,,,Colorado D-Star,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,97.1,ESE,,145.37,144.77,,Jefferson,On-Air,,See the website for programming information.,,,Rocky Mountain Ham Radio,,CCARC,,,,,Rocky Mountain Ham Radio,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,97.1,ESE,,446.9625,441.9625,,Jefferson,On-Air,,,,,Colorado D-Star,,CCARC,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,97.1,ESE,,145.25,144.65,,Jefferson,On-Air,,,,,Colorado D-Star,,CCARC,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,97.1,ESE,,1283.9625,1263.9625,,Jefferson,On-Air,,,,,Colorado D-Star,,CCARC,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,97.1,ESE,,446.8375,441.8375,,Jefferson,On-Air,,See website for more info on CC/TS/TG programming.  www.rmham.org,,,WA2YZT,200,CCARC,,,Full-time to the  Colorado TRBO System .,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,97.2,E,,448.9,443.9,100,Boulder,On-Air,,,,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",Boulder ARC,6,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,97.2,E,,146.61,146.01,100,Boulder,Off-Air,,,,,Boulder Amateur Radio Club,,CCARC,,,,,,,7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,97.8,ESE,,448.125,443.125,107.2,Jefferson,On-Air,,,,,Denver PD EEB,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,97.8,ESE,,447.875,442.875,107.2,Jefferson,On-Air,,,,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,107.2,N6LXX,Full-time to the  N6LXX System .,,,,,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,97.8,ESE,,927.7875,902.7875,156.7,Jefferson,On-Air,,,,Golden and Denver.,N0PYY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,97.8,ESE,,53.17,51.47,107.2,Jefferson,On-Air,,,,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,CSQ,N6LXX,Full-time to the  N6LXX System .,,,,,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,97.8,ESE,,448.975,443.975,123,Jefferson,On-Air,,,,Wide area.,FRG,Linkable VHF/UHF Remote Base,CCARC,,,,,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,98,E,,1299.5,1279.5,,Boulder,On-Air,,,,,Boulder County ARES,E-power.,CCARC,,,,,,,,,,,,,,,,,,,,,,W0DK (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,98,E,,446.8,441.8,,Boulder,On-Air,,See website for complete information regarding timeslot/colorcode/talkgroup programming.,,Wide area.,Rocky Mountain Ham Radio,,CCARC,,Rocky Mountain Ham Radio,Full-time to the  Colorado TRBO System .,,Rocky Mountain Ham Radio,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,98,E,,446.8625,441.8625,,Boulder,On-Air,,,,,Boulder County ARES,,CCARC,,,,,,,,,,,,,,,,,,,,,,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,123,N0FH,Estes Park,CO,OPEN,EI,98.1,E,,146.685,146.085,123,Larimer,On-Air,625757,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",,Estes Valley and east RMNP - some coverage E and SE (Loveland and Denver),Estes Valley ARC,E-power.,CCARC,,,"Full-time to  
        449.80000 (N0FH) at Estes Park, CO .",ARES D-10: Thu at 19:00.,,,7268,,,,,,,,,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,98.1,E,,449.4,444.4,91.5,Boulder,Off-Air,,,,,BARC,2,CCARC,,,,,http://www.ked-wireless.com/products1.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,98.1,E,,449.55,444.55,100,Boulder,On-Air,217336,,,Denver metro area.,Rocky Mtn VHF Soc,8,CCARC,,,"Full-time to  
        224.02000 (W0IA) at Boulder, Lee Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
