Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Features,Links,Coordination,Last update,Sponsor,Coverage,On-air,Nets,Downlink Tone,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Worldwide,North America,Local/Cluster,Notes,Feed,Web links,Affiliate,EchoLink,IRLP,Colorado,Southern Colorado,YSF Digital Enabled,DG-ID,Mixed-Mode,AllStar,Denver Regional,Northern Colorado,Location Photo,Grid,Commands,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,N. Colorado,DCI Bridge,Mountain Reg USA,Worldwide English,Wyoming,WyLOCAL,Europe,Southwest USA
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,string,33.7,SSE,string,146.79,146.19,88.5,Pueblo,On-Air,E-power.,undefined,CCARC,string,Pueblo HC,Wide area.,undefined,undefined,CSQ,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Pueblo Ham Club,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,string,33.7,NNW,string,447.525,442.525,146.2,Douglas,On-Air,undefined,undefined,CCARC,string,EmComm Colorado,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",undefined,undefined,146.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",undefined,undefined,Colorado ARES,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,string,33.7,SSE,string,224.26,222.66,88.5,Pueblo,Off-Air,E-power.,undefined,CCARC,string,Pueblo Ham Club,Wide area.,undefined,undefined,CSQ,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,PHC repeaters,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,string,33.7,SSE,string,447.95,442.95,88.5,Pueblo,On-Air,E-power.,undefined,CCARC,string,Pueblo Ham Club,Wide area.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,undefined,Pueblo Ham Club,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,string,35,SW,string,449,444,67,Fremont,On-Air,"E-power (Solar, Wind)",Full-time to the  Mega-Link System .,CCARC,string,WB0WDF,undefined,undefined,undefined,67,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,North of the Royal Gorge Bridge.,undefined,Mega Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,35.6,SW,string,447.975,442.975,100,Fremont,On-Air,Autopatch.,Full-time to the  The Fun Machine System .,CCARC,string,K0JSC,"Canon City area. 
   Repeater Coverage Map",undefined,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Listen Live,http://www.k0jsc.com,undefined,363976,7301,undefined,undefined,undefined,undefined,undefined,28368,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,string,36.3,SW,string,927.7,902.7,D114,Fremont,On-Air,undefined,undefined,CCARC,string,Royal Gorge ARC,undefined,undefined,undefined,D114,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,36.4,SW,string,447.25,442.25,100,Fremont,On-Air,undefined,Full-time to the  The Fun Machine System .,CCARC,string,undefined,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",undefined,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Listen Live,K0JSC dot Com,undefined,363976,7301,undefined,undefined,undefined,undefined,undefined,28368,undefined,undefined,string,DM78ik,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,string,36.4,SW,string,446.7375,441.7375,string,Fremont,On-Air,IPSC Link to the Colorado network on Talk Slot 2.,Full-time to the  Colorado TRBO System .,CCARC,string,undefined,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",undefined,undefined,undefined,undefined,undefined,undefined,string,7,string,string,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",undefined,undefined,undefined,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,undefined,http://www.k0jsc.com,Rocky Mountain Ham Radio,undefined,undefined,1,2,undefined,undefined,undefined,undefined,undefined,undefined,string,DM78ii,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,string,36.4,SW,string,145.49,144.89,103.5,Fremont,On-Air,E-power (Bat),undefined,CCARC,string,Royal Gorge Amateur Radio Club,undefined,undefined,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",103.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Royal Gorge Amateur Radio Club,Colorado ARES Region 5 District 1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,DM78ik,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,36.4,SW,string,447.75,442.75,103.5,Fremont,On-Air,E-power (Bat),undefined,CCARC,string,RGARC,undefined,undefined,undefined,103.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Royal Gorge Amateur Radio Club,undefined,undefined,3081,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,string,36.4,SW,string,223.96,222.36,103.5,Fremont,On-Air,"E-power (Bat), Remote Base",undefined,CCARC,string,RGARC,"Wide area. 
   Repeater Coverage Map",undefined,undefined,103.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,string,36.4,SW,string,53.03,51.33,88.5,Fremont,On-Air,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",undefined,CCARC,string,WB0WDF,undefined,undefined,undefined,88.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Split site Fremont peak transmitter and 8 mile mountain reciever.,undefined,Http://www.qsl.net/rghc,RGARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,37,S,string,448.975,443.975,100,Pueblo,On-Air,undefined,Full-time to the  The Fun Machine System .,CCARC,string,undefined,undefined,undefined,undefined,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Off air.  Will return to service,Listen Live,http://www.k0jsc.com,undefined,363976,7301,undefined,undefined,undefined,undefined,undefined,28368,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147,0.6,string,NE0Z,"Pueblo, CSU",CO,PRIVATE,string,38,SSE,string,147,147.6,undefined,Pueblo,On-Air,undefined,undefined,CCARC,string,Carl Higbee,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.85,-5,string,K0PRA,Franktown,CO,OPEN,string,39.5,NNE,string,446.85,441.85,undefined,Douglas,On-Air,D-Star B module,undefined,CCARC,string,Parker Radio Association,string,undefined,undefined,undefined,string,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,http://parkerradio.org,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,string,40,WNW,string,146.685,146.085,107.2,Park,On-Air,"Closed autopatch, e-power.","Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",CCARC,string,Mountain ARC (MARC),undefined,undefined,MARC/PCRC: Tue at 19:30.,107.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Autopatch: 911,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,40,WNW,string,147.36,147.96,107.2,Park,On-Air,E-power.,undefined,CCARC,string,undefined,Wide area.,undefined,undefined,107.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,CMRG Repeaters,undefined,undefined,3854,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.7,-5,CC0 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,41.7,SSE,string,447.7,442.7,210.7,Pueblo,Off-Air,undefined,undefined,CCARC,string,undefined,undefined,undefined,undefined,210.7,undefined,undefined,undefined,string,number,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,7389,undefined,undefined,undefined,undefined,Yes; analog capable.,29228,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,string,41.7,SSE,string,146.655,146.055,123,Pueblo,On-Air,undefined,undefined,CCARC,string,K0ST,undefined,undefined,undefined,CSQ,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,string,41.7,SSE,string,145.115,144.515,88.5,Pueblo,Off-Air,E-power.,undefined,CCARC,string,Pueblo Ham Club,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,41.7,SSE,string,449.725,444.725,100,El Paso,On-Air,undefined,undefined,CCARC,string,N0PWZ,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,3043,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,string,41.7,SSE,string,146.88,146.28,88.5,Pueblo,On-Air,E-power.,undefined,CCARC,string,Pueblo HC,Wide area.,undefined,undefined,CSQ,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,string,43.2,SSE,string,446.9875,441.9875,string,Pueblo,Off-Air,undefined,Full-time to the  Colorado TRBO System .,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,6,string,string,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",undefined,undefined,undefined,undefined,undefined,Rocky Mountain Ham Radio,RMHAM,undefined,undefined,1,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,string,43.2,SSE,string,147.24,147.84,103.5,Pueblo,Off-Air,undefined,undefined,CCARC,string,TARA,Pueblo and Fremont Counties,undefined,undefined,CSQ,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,string,43.2,SSE,string,447.275,442.275,100,Pueblo,On-Air,undefined,Full-time to the  The Fun Machine System .,CCARC,string,undefined,undefined,undefined,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.",100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"Moved to Pueblo.  Now called ""Pueblo Metro""",Listen Live,The Fun Machine,The Fun Machine,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,string,44.3,N,string,449.95,444.95,77,Douglas,On-Air,undefined,undefined,CCARC,string,W9SL Owner,Primarily to the North along I-25 corridor,undefined,undefined,77,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,string,45.6,N,string,447.525,442.525,203.5,Douglas,On-Air,undefined,undefined,CCARC,string,EmComm Colorado,"Denver metropolitan area, front range foothills",undefined,undefined,146.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",undefined,undefined,Colorado ARES,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,string,47.7,NE,string,147.105,147.705,107.2,Elbert,On-Air,Linked to CRA 447.150 - Conifer,"Full-time to  
        448.42500 (W0CRA) at Larkspur, Westcreek, CO .",CCARC,string,ARES of Douglas and Elbert Counties,"I-70, E. Arapahoe, Elbert, Lincoln Counties",undefined,undefined,107.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,http://www.w0cra.org/,Colorado Repeater Association,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,string,48.4,NNW,string,447.5,442.5,88.5,Jefferson,On-Air,E-power.,undefined,CCARC,string,Aurora Repeater Association,Wide area.,undefined,undefined,88.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,string,49.1,NNW,string,146.88,146.28,100,Jefferson,On-Air,E-power.,undefined,CCARC,string,Denver Radio League,Wide area: Denver.  Map,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,6,undefined,DRL Repeaters,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,49.1,NNW,string,449.6,444.6,100,Jefferson,On-Air,undefined,undefined,CCARC,string,Denver Radio League,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,DRL Repeaters,undefined,690473,3345,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,I,50.1,N,string,448.7,443.7,146.2,Douglas,On-Air,undefined,undefined,undefined,string,undefined,Local North Parker only,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,3415,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,string,50.6,NNE,string,927.8375,902.025,undefined,Douglas,On-Air,undefined,undefined,CCARC,string,undefined,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"Offset is -25.8125 
In Nac 294 Out Nac 293",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,294,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.225,-5,141.3,AB0BX,"Highlands Ranch, STEM School",CO,OPEN,EA,50.8,N,string,447.225,442.225,141.3,Douglas,Off-Air,"AllStar, EchoLink, 25ft",undefined,CCARC,string,undefined,8,undefined,Amateur Satellite net 7PM MST thursday,141.3,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,373051,undefined,undefined,undefined,undefined,undefined,undefined,41967,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,52.7,NW,string,146.895,146.295,100,Park,On-Air,25,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",CCARC,string,AB0RR,285,undefined,Wed at 19:30.,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Park County Radio Club (PCRC),undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,45835,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,string,53.6,N,string,145.4,144.6,100,Arapahoe,On-Air,"Autopatch, e-power.","Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",CCARC,string,Castle Rock Repeater Group,Greater Denver area.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,54.1,NNW,string,224.98,223.38,107.2,Jefferson,Off-Air,"Closed autopatch, e-power.","Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",CCARC,string,Colorado Repeater Association,Wide area. Denver.,undefined,undefined,107.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,347086,3990,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
