Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,County,Op Status,Sponsor,Last update,D-STAR Enabled,Node,Sources,Affiliate,Web links,Coordination,Grid,Coverage,Downlink Tone,Features,Links,Nets,Notes,EchoLink,IRLP,AllStar,Denver Regional,Location Photo,Feed,Commands,On-air,Northern Colorado,YSF Digital Enabled,DG-ID,Mixed-Mode,Worldwide,North America,Local/Cluster,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Europe,Southwest USA,Wyoming,WyLOCAL
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,string,77.7,SE,string,146.655,146.055,123,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Pueblo,On-Air,K0ST,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,undefined,CSQ,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,string,78,SE,string,446.9875,441.9875,string,string,6,string,string,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Pueblo,Off-Air,undefined,string,undefined,undefined,undefined,RMHAM,Rocky Mountain Ham Radio,CCARC,undefined,undefined,undefined,undefined,Full-time to the  Colorado TRBO System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,string,78.1,SE,string,447.275,442.275,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Pueblo,On-Air,undefined,string,undefined,undefined,undefined,The Fun Machine,The Fun Machine,CCARC,undefined,undefined,100,undefined,Full-time to the  The Fun Machine System .,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.","Moved to Pueblo.  Now called ""Pueblo Metro""",undefined,undefined,undefined,undefined,undefined,Listen Live,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,string,78.1,SE,string,147.24,147.84,103.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Pueblo,Off-Air,TARA,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,Pueblo and Fremont Counties,CSQ,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,string,78.7,ESE,string,146.79,146.19,88.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Pueblo,On-Air,Pueblo HC,string,undefined,undefined,undefined,undefined,Pueblo Ham Club,CCARC,undefined,Wide area.,CSQ,E-power.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,string,78.7,ESE,string,447.95,442.95,88.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Pueblo,On-Air,Pueblo Ham Club,string,undefined,undefined,undefined,undefined,Pueblo Ham Club,CCARC,undefined,Wide area.,undefined,E-power.,undefined,undefined,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,string,78.7,ESE,string,224.26,222.66,88.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Pueblo,Off-Air,Pueblo Ham Club,string,undefined,undefined,undefined,undefined,PHC repeaters,CCARC,undefined,Wide area.,CSQ,E-power.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224.8,-1.6,string,N0AFO,Vail,CO,OPEN,string,79,NNW,string,224.8,223.2,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Eagle,undefined,ECHO,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,string,79,NNW,string,449.9,444.9,107.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Eagle,Off-Air,ECHO,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,undefined,107.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,string,79.4,WSW,string,147.135,146.535,123,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Hinsdale,On-Air,undefined,string,undefined,undefined,undefined,undefined,http://www.sjcham.com,CCARC,undefined,undefined,undefined,E-power (solar),undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,string,79.7,NNW,string,445.075,440.075,string,string,7,string,undefined,undefined,undefined,undefined,Eagle,On-Air,K2AD,string,undefined,undefined,undefined,Rocky Mountain Ham Radio,http://www.rmham.org/,CCARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.2,-5,151.4,string,Falcon,CO,OPEN,string,79.8,E,string,447.2,442.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,El Paso,Testing,GGARC,string,undefined,undefined,undefined,Garden of the Gods Amateur Radio Club,undefined,undefined,undefined,"Falcon, Black Forest, Peyton Areas",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,Open ↑ / Open ↓,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,string,81.2,NNW,string,147.345,147.945,88.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Eagle,On-Air,Colorado Connection,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,123,9,Full-time to the  Colorado Connection System .,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,81.7,NE,string,449.6,444.6,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Jefferson,On-Air,Denver Radio League,string,undefined,undefined,undefined,undefined,DRL Repeaters,CCARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,690473,3345,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,string,81.7,NE,string,146.88,146.28,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Jefferson,On-Air,Denver Radio League,string,undefined,undefined,undefined,undefined,DRL Repeaters,CCARC,undefined,Wide area: Denver.  Map,undefined,E-power.,undefined,undefined,6,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,82.8,E,string,447.625,442.625,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,El Paso,On-Air,KD0MDP,string,undefined,undefined,undefined,The Fun Machine,undefined,undefined,undefined,undefined,100,Linked.,Full-time to the  The Fun Machine System .,undefined,undefined,363976,7301,28299,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,string,83.4,NNE,string,449,444,136.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Clear Creek,On-Air,CARN,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,undefined,136.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,string,83.6,NNE,string,145.145,144.545,107.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Clear Creek,On-Air,Colorado Repeater Assoc,string,undefined,undefined,undefined,undefined,http://www.w0cra.org/info/squaw.html#145145,CCARC,undefined,Wide area. Denver metro.,107.2,E-power.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,83.6,NNE,string,449.35,444.35,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Clear Creek,On-Air,Denver Radio Club,string,undefined,undefined,undefined,undefined,DRC Repeaters,CCARC,undefined,Wide area.,100,11,undefined,undefined,undefined,4140,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,string,83.6,NNE,string,146.67,146.07,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Clear Creek,On-Air,Castle Rock Repeater Group,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",100,11,undefined,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,string,83.6,NNE,string,446.9375,441.9375,string,string,7,string,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Clear Creek,On-Air,Rocky Mountain Ham Radio,string,undefined,undefined,undefined,undefined,Rocky Mountain Ham Radio,CCARC,undefined,undefined,undefined,undefined,Full-time to the  Colorado TRBO System .,undefined,See the website for programming information.,undefined,undefined,undefined,2,undefined,undefined,undefined,undefined,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,string,83.6,NNE,string,448.225,443.225,141.3,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Clear Creek,On-Air,Rocky Mountain Ham Radio,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,undefined,141.3,E-power(gen).,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,string,83.6,NNE,string,449.45,444.45,103.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Clear Creek,On-Air,Rocky Mountain Radio League,string,undefined,undefined,undefined,undefined,Repeater,CCARC,undefined,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",127.3,11,undefined,RMRL: Mon at 20:30.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,string,83.6,NNE,string,448.675,443.675,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Denver,On-Air,W0CFI,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,Wide area.,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,string,83.6,NNE,string,145.49,144.89,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Jefferson,On-Air,"KB0VIU,  Denver Radio Club",string,undefined,undefined,undefined,undefined,DRC Repeaters,CCARC,undefined,undefined,100,E-power.,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",DRC: Sun at 20:30.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,string,83.6,NNE,string,146.94,146.34,103.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Clear Creek,On-Air,Rocky Mtn Radio League,string,undefined,undefined,undefined,undefined,Repeater,CCARC,undefined,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",103.5,11,"Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .","Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",undefined,undefined,undefined,undefined,undefined,undefined,Listen Live,Autopatch: 911* / Off 0*.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,83.6,NNE,string,447.575,442.575,107.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Clear Creek,On-Air,Colorado Repeater Association (CRA),string,undefined,undefined,undefined,undefined,http://www.w0cra.org,CCARC,undefined,Wide area: Denver metro.,107.2,undefined,undefined,undefined,undefined,347088,3291,undefined,undefined,undefined,undefined,Member-only IRLP and Echolink node,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,string,83.6,NNE,string,147.3,147.9,103.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Clear Creek,On-Air,Denver PD EEB,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,Wide area.,103.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,84.3,NNE,string,145.34,144.74,103.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Jefferson,On-Air,Rocky Mtn Radio League,string,undefined,undefined,undefined,undefined,Repeater,CCARC,undefined,Wide area.,127.3,E-power.,undefined,undefined,undefined,undefined,3350,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,string,84.3,NNE,string,145.175,144.575,D073,string,1,string,undefined,undefined,undefined,undefined,Clear Creek,Off-Air,Rocky Mountain Ham Radio,string,undefined,undefined,undefined,undefined,Rocky Mountain Ham Radio,CCARC,undefined,undefined,D073,undefined,undefined,undefined,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Yes; analog capable.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,85.2,NW,string,447.15,442.15,136.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Garfield,On-Air,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",8150,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,87.1,NNE,string,447.85,442.85,141.3,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Clear Creek,On-Air,AC0KQ,string,undefined,undefined,undefined,Rocky Mountain Ham Radio,undefined,CCARC,undefined,Wide area at 9500',141.3,AllStar node repeater providing wide area coverage along the Front Range,undefined,undefined,undefined,undefined,undefined,29571,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,string,87.4,NNE,string,449.05,444.05,107.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Denver,On-Air,WG0N,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,Wide area.,107.2,E-power.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,string,87.8,NE,string,449.95,444.95,77,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Douglas,On-Air,W9SL Owner,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,Primarily to the North along I-25 corridor,77,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.225,-5,141.3,AB0BX,"Highlands Ranch, STEM School",CO,OPEN,EA,88.7,NE,string,447.225,442.225,141.3,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Douglas,Off-Air,undefined,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,8,141.3,"AllStar, EchoLink, 25ft",undefined,Amateur Satellite net 7PM MST thursday,undefined,373051,undefined,41967,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,string,88.9,WNW,string,147.33,147.93,107.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Delta,On-Air,North Fork Repeater Assoc.,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,Wide area.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,88.9,SE,string,449.975,444.975,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Pueblo,On-Air,K0JSC,string,undefined,undefined,undefined,undefined,K0JSC dot Com,CCARC,DM78SA18,"I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass 
   Repeater Coverage Map",100,2,"Linkable to  
        145.49000 (WD0EKR) at Canon City, Fremont Peak, CO .
 


Linkable to  
        145.46000 (WB0WDF) at Cripple Creek, CO .
 


Linkable to  
        146.79000 (ND0Q) at Pueblo, Baculite Mesa, CO .
 


Linkable to  
        145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO .
 


Linkable to  
        146.88000 (ND0Q) at Pueblo, Deer Peak, CO .
 


Linkable to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  The Fun Machine System . 146.43000 simplex. 146.44500 simplex.","APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00.  
RGARC Net: Wed at 19:00.",Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,363976,7301,28368,undefined,undefined,Listen Live,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,89.1,NNE,string,447.875,442.875,107.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Jefferson,On-Air,N6LXX,string,undefined,undefined,undefined,N6LXX,undefined,CCARC,undefined,"I-70,I-76,I-25,I-225",107.2,undefined,Full-time to the  N6LXX System .,undefined,undefined,undefined,undefined,29913,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
