Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Links,Last update,Coverage,Features,Nets,Web links,Coordination,Notes,On-air,Affiliate,YSF Digital Enabled,DG-ID,Mixed-Mode,EchoLink,DMR Enabled,Color Code,Wide Network,IRLP,Talkgroup Network,Talkgroups,Wyoming,WyLOCAL,Commands,Colorado,Northern Colorado,Worldwide English,North America,DCI Bridge,Local/Cluster,N. Colorado,AllStar,Worldwide,English,TAC 310,D-STAR Enabled,Node,Sources,Grid,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Southern Colorado,Denver Regional,Feed,Mountain Reg USA,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Location Photo
447.45,-5,123,KC0RBT,Fort Collins,CO,OPEN,E,93.9,ESE,,447.45,442.45,123,,Larimer,On-Air,,,,,,,,CCARC,,,,,,,447450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,KB7SWR,Cheyenne,WY,OPEN,,93.9,E,,448.15,443.15,100,,Laramie,Off-Air,KB7SWR,"Full-time to  
        145.23500 (KB7SWR) at Cheyenne, WY .",,,,,,WRCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,96.2,ESE,,446.8125,441.8125,,,Larimer,On-Air,W0QEY CSU,,,Fort Collins Local Area,D-Star Gateway,,,CCARC,Free Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,W0QEY (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,96.3,SSW,,146.76,146.16,107.2,,Garfield,Off-Air,"N0SWE,  Roaring Fork Amateur Repeater Cooperative",,,"New Castle, Silt, Rifle and Rulison and areas around Parachute.",E-power.,,,CCARC,,,,,,,243117,,,,,,,,,,,,,,,,,,,,,,,,DM69cl,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,96.5,SSE,,146.7,146.1,107.2,,Summit,On-Air,GRARC,,,,E-power.,,,CCARC,,,,,,,,,,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,96.6,ESE,,449.85,444.85,100,100,Larimer,On-Air,CO State Univ ARC,,,Map,Closed autopatch.,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,131.8,W7RF,Fort Collins,CO,OPEN,,96.6,ESE,,447.725,442.725,131.8,,Larimer,On-Air,W7RF,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.925,-25,D114,W7RF,Fort Collins,CO,OPEN,,96.6,ESE,,927.925,902.925,D114,D114,Larimer,Testing,W7RF,,,"Fort Collins, Loveland, Northern Colorado",,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,96.6,SE,,147.195,147.795,100,,Larimer,On-Air,Loveland Repeater Assoc,,,,"Closed autopatch, e-power.",,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,96.9,SE,,145.31,144.71,88.5,123,Gilpin,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",10,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,CCARC,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,96.9,SE,,449.225,444.225,141.3,141.3,Gilpin,On-Air,Rocky Mountain Ham Radio (RMHR),,,Wide area.,Emergency Power,,,CCARC,"Emcomm Affiliated, Open repeater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,97,ESE,,147.36,147.96,100,100,Larimer,On-Air,CO State Univ ARC,,,Map,Closed autopatch.,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,91.5,K0DK,Boulder,CO,OPEN,E,98.9,SE,,146.73,146.13,91.5,91.5,Boulder,Off-Air,BARC,,,Local,12,,http://www.ked-wireless.com/products1.htm,CCARC,,,,,,,115482,,,,,,,,,,,,,,,,,,,,,,,,DN70jb,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,99,SE,,446.8625,441.8625,,,Boulder,On-Air,Boulder County ARES,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,99,SE,,1299.5,1279.5,,,Boulder,On-Air,Boulder County ARES,,,,E-power.,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W0DK (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,99,SE,,446.8,441.8,,,Boulder,On-Air,Rocky Mountain Ham Radio,Full-time to the  Colorado TRBO System .,,Wide area.,,,Rocky Mountain Ham Radio,CCARC,See website for complete information regarding timeslot/colorcode/talkgroup programming.,,Rocky Mountain Ham Radio,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,99.1,SE,,449.55,444.55,100,,Boulder,On-Air,Rocky Mtn VHF Soc,"Full-time to  
        224.02000 (W0IA) at Boulder, Lee Hill, CO .",,Denver metro area.,8,,,CCARC,,,,,,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,99.1,SE,,449.4,444.4,91.5,,Boulder,Off-Air,BARC,,,,2,,http://www.ked-wireless.com/products1.htm,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,99.2,SE,,449.575,444.575,100,,Larimer,On-Air,Loveland Rptr Assoc,,,,"Closed autopatch, e-power.",,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,100,KN6VV,Loveland,CO,OPEN,,99.2,SE,,224.32,222.72,100,100,Larimer,Off-Air,KN6VV,,,,"Closed autopatch, e-power.",,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,99.4,SSE,,445.0875,440.0875,,,Fremont,On-Air,K2AD,,,,,,http://www.rmham.org/,,,,Rocky Mountain Ham Radio,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,99.6,SE,,449.05,444.05,107.2,107.2,Denver,On-Air,WG0N,,,Wide area.,E-power.,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,100,SE,,146.7,146.1,100,,Boulder,On-Air,Boulder Co ARC,,,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",6,,BARC Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,100.1,SE,,146.61,146.01,100,,Boulder,Off-Air,Boulder Amateur Radio Club,,,,,,,CCARC,,,,,,,,,,,7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,110.9,WB7UPS,Wellington,CO,OPEN,,100.1,ESE,,448.325,443.325,110.9,,Larimer,On-Air,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,100.1,SE,,448.9,443.9,100,,Boulder,On-Air,Boulder ARC,,,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",6,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.3875,-0.6,,KC0DS,Boulder,CO,OPEN,,100.2,SE,,145.3875,144.7875,,,Boulder,On-Air,Boulder County ARES,,,20,E-power.,,http://bouldercountyares.org/technical/d-star,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KC0DS (C),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,
1283.8625,-20,,KC0DS,Boulder,CO,OPEN,,100.2,SE,,1283.8625,1263.8625,,,Boulder,On-Air,Boulder County ARES,,,20,E-power.,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KC0DS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,100.6,SSE,,147.39,147.99,88.5,123,Summit,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,,Wide area.,12,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",Breckenridge Repeater,CCARC,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,100,W0ENO,Longmont,CO,OPEN,,102.6,SE,,147.27,147.87,100,100,Boulder,On-Air,Longmont ARC (LARC),"Linkable to  
        448.80000 (W0ENO) at Longmont, CO .",,Wide area: Northern Colorado.,"Closed autopatch, e-power, EchoLink.",,http://w0eno.org/?q=node/11,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.525,-5,151.4,N0EPA,Longmont,CO,OPEN,E,102.6,SE,,448.525,443.525,151.4,,Boulder,On-Air,N0EPA,,,,,,,CCARC,,,,,,,223853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,88.5,W0ENO,Longmont,CO,OPEN,,102.6,SE,,448.8,443.8,88.5,88.5,Boulder,On-Air,Longmont ARC,"Linkable to  
        147.27000 (W0ENO) at Longmont, CO .",,,30,LARC: Sun at 20:00.,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.025,-5,100,W0UPS,"Loveland, Budweiser Event Center",CO,OPEN,,102.9,ESE,,448.025,443.025,100,100,Larimer,On-Air,Northern Colorado ARC,,,,,,,CCARC,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,W0IA,"Boulder, Gunbarrel Hill",CO,OPEN,,103,SE,,146.76,146.16,100,,Boulder,On-Air,Rocky Mtn VHF Soc,,,Wide area.,5,,,CCARC,"ARES primary repeater. 
 Voting Receivers:  
 
   
    RX Location    Tone    Pitch    PL  
   
   Gunbarrel  single beep  low  100.0 
   
   Lousville  single beep  low  100.0 
   
   Lyons  double beep  high followed by medium  100.0 
   
   Louisville #2  double beep  high followed by low  100.0",,Boulder County ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tone,single beep,single beep,double beep,double beep,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,103.1,S,,146.67,146.07,107.2,,Pitkin,On-Air,Ski Country ARC,,,Wide area.,Linked.,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,103.4,SE,,145.145,144.545,107.2,107.2,Clear Creek,On-Air,Colorado Repeater Assoc,,,Wide area. Denver metro.,E-power.,,http://www.w0cra.org/info/squaw.html#145145,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,103.4,SE,,447.575,442.575,107.2,107.2,Clear Creek,On-Air,Colorado Repeater Association (CRA),,,Wide area: Denver metro.,,,http://www.w0cra.org,CCARC,,,,,,,347088,,,,3291,,,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,103.4,SE,,449.35,444.35,100,100,Clear Creek,On-Air,Denver Radio Club,,,Wide area.,11,,DRC Repeaters,CCARC,,,,,,,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,103.4,SE,,446.9375,441.9375,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,Full-time to the  Colorado TRBO System .,,,,,Rocky Mountain Ham Radio,CCARC,See the website for programming information.,,,,,,,,7,,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,1,2,,,,,,,,,,,,,,,,,,,2,2,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,103.4,SE,,449.45,444.45,103.5,127.3,Clear Creek,On-Air,Rocky Mountain Radio League,,,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",11,RMRL: Mon at 20:30.,Repeater,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,103.4,SE,,145.49,144.89,100,100,Jefferson,On-Air,"KB0VIU,  Denver Radio Club","Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",,,E-power.,DRC: Sun at 20:30.,DRC Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,103.4,SE,,448.225,443.225,141.3,141.3,Clear Creek,On-Air,Rocky Mountain Ham Radio,,,,E-power(gen).,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,103.4,SE,,146.94,146.34,103.5,103.5,Clear Creek,On-Air,Rocky Mtn Radio League,"Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",11,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",Repeater,CCARC,,,,,,,,,,,,,,,,Autopatch: 911* / Off 0*.,,,,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,103.4,SE,,146.67,146.07,100,100,Clear Creek,On-Air,Castle Rock Repeater Group,,,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",11,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,103.6,SE,,447.85,442.85,141.3,141.3,Clear Creek,On-Air,AC0KQ,,,Wide area at 9500',AllStar node repeater providing wide area coverage along the Front Range,,,CCARC,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,29571,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,103.7,SE,,147.3,147.9,103.5,103.5,Clear Creek,On-Air,Denver PD EEB,,,Wide area.,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,103.7,SE,,448.675,443.675,100,100,Denver,On-Air,W0CFI,,,Wide area.,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,104.2,SE,,449,444,136.5,136.5,Clear Creek,On-Air,CARN,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,104.2,ESE,,147.39,147.99,,,Larimer,On-Air,KT0L - NoCo C-Bridge Network,,,"Fort Collins east side, into Red Feather Lakes area.",,Tac 310 Net: Sun at 18:00.,Documentation,CCARC,,,,,,,,,2,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  TAC 310  1  310      DCI Bridge  1  3100      N. Colorado  1  3171      Mountain Reg USA  1  3177      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,1,2,1,,,,1,,,,,,,,,,,,,1,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,104.5,SE,,927.8375,902.025,,,Jefferson,On-Air,,,,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,,,,CCARC,The offset is -25.8125,,,,,,,,,,,,,,,,,,,,,,,45770,,,,,,,,,,,,,,,,,,293,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,104.5,SE,,446.7875,441.7875,,,Jefferson,On-Air,Denver Radio Club,,,,,,http://www.w0tx.org/,CCARC,,,Brandmeister Network,,,,,,1,,,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,104.8,ESE,,446.775,441.775,,,Larimer,On-Air,W0DMR - NoCo C-bridge Network,,,"Fort Collins east side, into Red Feather Lakes area.",,,W0DMR,CCARC,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,Brandmeister Network,,,,,,2,,,BrandMeister US,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,"Repeater ID: 310806, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",2,,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,105.3,SW,,449.8,444.8,107.2,,Garfield,On-Air,,,,,8,,GMRA Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,105.4,SE,,146.985,146.385,100,100,Denver,On-Air,El Jebel RADOPS,,,,E-power.,RADOPS: Sun at 19:00.,,CCARC,,,,,,,,,,,3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,105.4,SE,,145.28,144.68,100,,Jefferson,On-Air,,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",,Wide area.,"Closed autopatch, e-power, linked.",Sun at 19:30. Everyone welcome.,Intermountain Repeater Group,CCARC,"PL is usually off, allowing use by older transceivers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,105.4,SE,,449.525,444.525,CSQ,,Jefferson,On-Air,KE0SJ,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,E-power.,,Intermountain Repeater Group,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,105.4,SE,,448.625,443.625,100,100,Jefferson,On-Air,Denver Radio Club,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,Denver metro area.,E-power.,DRC: Sun at 20:30.,DRC Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,105.4,SE,,146.64,146.04,100,,Jefferson,On-Air,Denver Radio League,,,"Wide area. 
   Repeater Coverage Map",E-power.,,DRL Repeaters,CCARC,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,105.6,SE,,224,222.4,103.5,103.5,Jefferson,On-Air,Rocky Mountain Radio League,,,,8,,Repeater,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,105.6,SE,,224.74,223.14,88.5,88.5,Jefferson,On-Air,Aurora Repeater Assoc,,,,e-power,ARA: Wed at 2000.,ARA Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,105.6,SE,,448.85,443.85,88.5,88.5,Jefferson,On-Air,Aurora Repeater Assoc,,,"Denver metro, central front range",e-power.,ARA: Wed at 20:00.,ARA Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,105.6,SE,,147.15,147.75,100,100,Jefferson,On-Air,Aurora Repeater Assoc (ARA),"Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",,"Denver metro, central front range",e-power,ARA: Wed at 20:00.,ARA Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,105.6,SE,,449.75,444.75,103.5,103.5,Jefferson,On-Air,Rocky Mtn Radio League,,,,8,,Repeater,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,105.6,SE,,145.22,144.62,103.5,103.5,Jefferson,On-Air,Rocky Mtn Radio League,,,Wide area.,8,,Repeater,CCARC,Talk-Group of $FFFF.,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,105.8,SSE,,147.24,147.84,156.7,156.7,Lake,Off-Air,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,105.8,SSE,,145.445,144.845,88.5,,Lake,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,,,E-power (solar).,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,CCARC,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,105.8,S,,447.05,442.05,136.5,136.5,Pitkin,On-Air,Roaring Fork Amateur Repeater Cooperative,,,Aspen-Snowmass areas.,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,82.5,N6RFI,"Severance, Cactus Hill",CO,OPEN,,105.9,ESE,,447.2,442.2,82.5,,Weld,On-Air,N6RFI,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC7,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,106.9,SSE,,445.05,440.05,,,Adams,On-Air,K2AD,,,,,,http://www.rmham.org/,CCARC,,,Rocky Mountain Ham Radio,,,,,,7,,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,1,2,,,,,,,,,,,,,,,,,,,2,2,,,,,,,
