Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Links,Coordination,Last update,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Denver Regional,Sponsor,Affiliate,Features,Notes,IRLP,Web links,Commands,Nets,Southern Colorado,Northern Colorado,D-STAR Enabled,Node,Sources,Grid,On-air,EchoLink,AllStar,Location Photo,Feed,YSF Digital Enabled,DG-ID,Mixed-Mode,Worldwide,North America,Local/Cluster,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
927.725,-25,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,53.3,ESE,,927.725,902.725,D114,D114,Teller,On-Air,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, and spotty from Castle Rock north through Denver.  50 mi radius.","Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .",CCARC,,,,,,,,,WA6IFI,,12,,,Yahoo Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,53.3,ESE,,147.18,147.78,100,,El Paso,On-Air,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",,CCARC,,,,,,,,,AA0SP,,E-power (solar).,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,54.1,NNW,,449.9,444.9,107.2,107.2,Eagle,Off-Air,,,CCARC,,,,,,,,,ECHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,54.1,NNW,,224.8,223.2,,,Eagle,,,,CCARC,,,,,,,,,ECHO,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,54.4,NE,,447.15,442.15,107.2,107.2,Jefferson,Off-Air,Wide area: Denver.,,CCARC,,,,,,,,,Colorado Repeater Association (CRA),,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,54.4,NE,,1287.9,1267.9,CSQ,,Jefferson,Off-Air,Fort Collins to Colorado Springs.,,CCARC,,,,,,,,,Colorado Repeater Association (CRA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,54.4,NE,,224.98,223.38,107.2,107.2,Jefferson,Off-Air,Wide area. Denver.,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",CCARC,,,,,,,,,Colorado Repeater Association,,"Closed autopatch, e-power.",,3990,,,,,,,,,,,347086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,,55.5,NNW,,445.075,440.075,,,Eagle,On-Air,,,CCARC,,,7,,,,,,K2AD,Rocky Mountain Ham Radio,,,,http://www.rmham.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,55.8,NE,,447.5,442.5,88.5,88.5,Jefferson,On-Air,Wide area.,,CCARC,,,,,,,,,Aurora Repeater Association,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,55.8,WNW,,146.67,146.07,107.2,,Pitkin,On-Air,Wide area.,,CCARC,,,,,,,,,Ski Country ARC,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,57,NNW,,147.345,147.945,88.5,123,Eagle,On-Air,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,Full-time to the  Colorado Connection System .,CCARC,,,,,,,,,Colorado Connection,,9,,,,,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,57.6,E,,145.19,144.59,131.8,131.8,Douglas,On-Air,Wide area coverage at 8300' Pueblo to Ft. Collins+,,,,,,,,,,,N0OBA Owner,,,,,,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,,,,,,,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,57.9,NNE,,449,444,136.5,136.5,Clear Creek,On-Air,,,CCARC,,,,,,,,,CARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,57.9,WSW,,147.12,147.72,,,Gunnison,On-Air,,,CCARC,,,,,,,,,W0VTL,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,57.9,WSW,,449.95,444.95,,,Gunnison,,,,CCARC,,,,,,,,,K5GF,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,58,NNE,,145.145,144.545,107.2,107.2,Clear Creek,On-Air,Wide area. Denver metro.,,CCARC,,,,,,,,,Colorado Repeater Assoc,,E-power.,,,http://www.w0cra.org/info/squaw.html#145145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,58,NNE,,146.94,146.34,103.5,103.5,Clear Creek,On-Air,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.","Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",CCARC,,,,,,,,,Rocky Mtn Radio League,,11,,,Repeater,Autopatch: 911* / Off 0*.,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,58,NNE,,146.67,146.07,100,100,Clear Creek,On-Air,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",,CCARC,,,,,,,,,Castle Rock Repeater Group,,11,,,,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,58,NNE,,448.225,443.225,141.3,141.3,Clear Creek,On-Air,,,CCARC,,,,,,,,,Rocky Mountain Ham Radio,,E-power(gen).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,58,NNE,,447.575,442.575,107.2,107.2,Clear Creek,On-Air,Wide area: Denver metro.,,CCARC,,,,,,,,,Colorado Repeater Association (CRA),,,,3291,http://www.w0cra.org,Member-only IRLP and Echolink node,,,,,,,,,347088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,58,NNE,,449.45,444.45,103.5,127.3,Clear Creek,On-Air,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",,CCARC,,,,,,,,,Rocky Mountain Radio League,,11,,,Repeater,,RMRL: Mon at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,58,NNE,,449.35,444.35,100,100,Clear Creek,On-Air,Wide area.,,CCARC,,,,,,,,,Denver Radio Club,,11,,,DRC Repeaters,,,,,,,,,,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,58,NNE,,448.675,443.675,100,100,Denver,On-Air,Wide area.,,CCARC,,,,,,,,,W0CFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,58,NNE,,145.49,144.89,100,100,Jefferson,On-Air,,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",CCARC,,,,,,,,,"KB0VIU,  Denver Radio Club",,E-power.,,,DRC Repeaters,,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,58,NNE,,446.9375,441.9375,,,Clear Creek,On-Air,,Full-time to the  Colorado TRBO System .,CCARC,,,7,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Rocky Mountain Ham Radio,,,See the website for programming information.,,Rocky Mountain Ham Radio,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,58.1,NNE,,147.3,147.9,103.5,103.5,Clear Creek,On-Air,Wide area.,,CCARC,,,,,,,,,Denver PD EEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,Colorado Springs,CO,OPEN,,59.4,SE,,145.265,144.665,100,100,El Paso,Off-Air,Local. Good coverage of I25 in Colorado Springs.,,CCARC,,,,,,,,,Pikes Peak FM Association,,"Closed autopatch, e-power.",Repeater has been moved.,,PPFMA Repeaters,,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, UCCS",CO,OPEN,,59.4,SE,,448.8,443.8,100,100,El Paso,Off-Air,,,CCARC,,,,,,,,,Pikes Peak FM Assoc,,,,,PPFMA Repeaters,,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,59.8,SE,,448.1,443.1,107.2,107.2,El Paso,On-Air,Wide area.,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",CCARC,,,,,,,,,,,"Closed autopatch, e-power.",,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,59.8,SE,,145.16,144.56,107.2,107.2,El Paso,On-Air,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.","Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",CCARC,,,,,,,,,Colorado Repeater Association,CRA VHF Link System,"Closed autopatch, e-power.",Switch to this repeater at mile marker 170 on I-25.,3990,http://www.w0cra.org/info/cosprgs.html#145160,,,,,,,,,,347086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,59.8,SE,,146.76,146.16,107.2,107.2,El Paso,On-Air,,,CCARC,,,,,,,,,Cheyenne Mountain Repeater Group,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,59.8,SE,,147.345,147.945,107.2,107.2,El Paso,On-Air,Wide area.,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",CCARC,,,,,,,,,,,"Closed autopatch, e-power.",,3854,http://www.cmrg.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,59.8,SE,,448,443,107.2,,El Paso,On-Air,,,CCARC,,,,,,,,,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,59.8,E,,447.725,442.725,100,100,El Paso,On-Air,Local.,,CCARC,,,,,,,,,K0NR,,30,,,http://www.k0nr.com/wordpress/k0nr-repeater/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,60.1,NE,,145.175,144.575,D073,D073,Clear Creek,Off-Air,,,CCARC,,,1,,,,,,Rocky Mountain Ham Radio,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,60.1,NE,,145.34,144.74,103.5,127.3,Jefferson,On-Air,Wide area.,,CCARC,,,,,,,,,Rocky Mtn Radio League,,E-power.,,3350,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,60.2,NE,,449.6,444.6,100,,Jefferson,On-Air,,,CCARC,,,,,,,,,Denver Radio League,,,,3345,DRL Repeaters,,,,,,,,,,690473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,60.2,NE,,146.88,146.28,100,,Jefferson,On-Air,Wide area: Denver.  Map,,CCARC,,,,,,,,,Denver Radio League,,E-power.,6,,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,60.6,SE,,145.13,144.53,88.5,123,El Paso,On-Air,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Full-time to the  Colorado Connection System .,CCARC,,,,,,,,,Colorado Connection,,9,Linked into the Colorado Connection System,,,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,60.6,SE,,927.85,902.85,D114,,Teller,On-Air,,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",CCARC,,,,,,,,,CMRG,,9,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,60.6,SE,,445.0625,440.0625,,,El Paso,Off-Air,,,CCARC,,,1,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,Rocky Mountain Ham Radio,,The DMR-MARC Worldwide Network,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,60.6,SE,,53.13,51.43,107.2,107.2,El Paso,On-Air,,,CCARC,,,,,,,,,Cheyenne Mountain Repeater Group (CMRG),,,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,60.6,SE,,446.9125,441.9125,,,El Paso,On-Air,,,,,,,,,,,,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,,,,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,60.7,SE,,145.375,144.77,,,El Paso,On-Air,wide area,,CCARC,,,,,,,,,Cheyenne Mountain Repeater Group (CMRG),,,,,http://www.cmrg.org,,,,,,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,60.8,ESE,,448.725,443.725,123,,El Paso,On-Air,,,CCARC,,,,,,,,,KA0TTF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,60.8,SSE,,448.325,443.325,100,100,Custer,On-Air,,Full-time to the  The Fun Machine System .,,,,,,,,,,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,60.8,SSE,,919.1,894.1,88.5,CSQ,Pueblo,Off-Air,Wide area.,,CCARC,,,,,,,,,Pueblo HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,60.8,SSE,,927.775,902.775,D116,D116,Custer,On-Air,,,CCARC,,,,,,,,,Royal Gorge Amateur Radio Club,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,60.8,SSE,,147.06,147.66,77,77,Custer,On-Air,,,CCARC,,,,,,,,,http://www.qsl.net/rghc,,E-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,60.8,SSE,,448.15,443.15,103.5,103.5,Custer,On-Air,,,CCARC,,,,,,,,,Royal George ARC,,E-power.,,,http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,61.5,NNE,,449.05,444.05,107.2,107.2,Denver,On-Air,Wide area.,,CCARC,,,,,,,,,WG0N,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,61.7,NNE,,447.85,442.85,141.3,141.3,Clear Creek,On-Air,Wide area at 9500',,CCARC,,,,,,,,,AC0KQ,Rocky Mountain Ham Radio,AllStar node repeater providing wide area coverage along the Front Range,,,,,,,,,,,,,,29571,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,61.8,ESE,,146.91,146.31,151.4,151.4,El Paso,On-Air,,,CCARC,,,,,,,,,GGARC,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,103.5,W0RSH,Colorado Springs,CO,OPEN,,61.8,ESE,,146.85,146.25,103.5,,El Paso,On-Air,,,CCARC,,,,,,,,,W0RSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,61.8,ESE,,147.27,147.87,,,El Paso,On-Air,,,,,,,,,,,,TRA,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,61.8,ESE,,147.39,147.99,103.5,,El Paso,On-Air,,,CCARC,,,,,,,,,W0MOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,61.9,ESE,,448.6,443.6,114.8,,El Paso,,,"Full-time to  
        927.80000 (W0MOG) at Colorado Springs, CO .",CCARC,,,,,,,,,W0MOG,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,61.9,ESE,,448.3,443.3,100,,El Paso,On-Air,,,CCARC,,,,,,,,,AA0L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,61.9,ESE,,447.35,442.35,151.4,,El Paso,On-Air,,,CCARC,,,,,,,,,GGARC,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,61.9,ESE,,447.025,442.025,123,,El Paso,Off-Air,,,CCARC,,,,,,,,,Colorado Springs ARA,,"Closed autopatch, e-power, linked, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,61.9,ESE,,224.06,222.46,,,El Paso,,Wide area.,,CCARC,,,,,,,,,Pikes Peak FM Association (PPFMA),,"E-power, linked.",,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,61.9,ESE,,447.475,442.475,107.2,,El Paso,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",CCARC,,,,,,,,,Mountain ARC (MARC),,"Closed autopatch, e-power.",,,,,MARC/PCRC: Tue at 1930.,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,61.9,ESE,,449.575,444.575,,,El Paso,On-Air,,,CCARC,,,,,,,,,RMHARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,61.9,ESE,,448.25,443.25,123,,El Paso,On-Air,Colorado Springs,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,61.9,ESE,,447.55,442.55,123,,El Paso,On-Air,,,CCARC,,,,,,,,,WA6IFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,61.9,ESE,,927.8,902.8,D116,,Teller,On-Air,,"Full-time to  
        448.60000 (W0MOG) at Colorado Springs, CO .",CCARC,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,62.7,ESE,,224.72,223.12,103.5,103.5,El Paso,On-Air,Local,,,,,,,,,,,w0mog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,62.9,ESE,,147.135,147.735,100,,El Paso,On-Air,,,CCARC,,,,,,,,,AA0L,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,65.4,NE,,447.875,442.875,107.2,107.2,Jefferson,On-Air,"I-70,I-76,I-25,I-225",Full-time to the  N6LXX System .,CCARC,,,,,,,,,N6LXX,N6LXX,,,,,,,,,,,,,,,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,65.4,NE,,53.17,51.47,107.2,CSQ,Jefferson,On-Air,"I-70,I-76,I-25,I-225",Full-time to the  N6LXX System .,CCARC,,,,,,,,,N6LXX,N6LXX,,,,,,,,,,,,,,,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,65.8,NNE,,146.64,146.04,100,,Jefferson,On-Air,"Wide area. 
   Repeater Coverage Map",,CCARC,,,,,,,,,Denver Radio League,,E-power.,8,,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,65.8,NNE,,449.525,444.525,CSQ,,Jefferson,On-Air,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",CCARC,,,,,,,,,KE0SJ,,E-power.,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,65.8,NNE,,146.985,146.385,100,100,Denver,On-Air,,,CCARC,,,,,,,,,El Jebel RADOPS,,E-power.,,3346,,,RADOPS: Sun at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
