Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Features,Coordination,Last update,Affiliate,Links,Nets,On-air,Coverage,AllStar,Notes,Web links,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,EchoLink,IRLP,Commands,D-STAR Enabled,Node,Sources,Worldwide,North America,Local/Cluster,Feed,YSF Digital Enabled,DG-ID,Mixed-Mode,Location Photo,Grid,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,34.5,SSW,,223.96,222.36,103.5,103.5,Fremont,On-Air,RGARC,"E-power (Bat), Remote Base",CCARC,,,,,,"Wide area. 
   Repeater Coverage Map",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,34.5,SSW,,53.03,51.33,88.5,88.5,Fremont,On-Air,WB0WDF,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",CCARC,,RGARC,,,,,,Split site Fremont peak transmitter and 8 mile mountain reciever.,Http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,34.5,SSW,,145.49,144.89,103.5,103.5,Fremont,On-Air,Royal Gorge Amateur Radio Club,E-power (Bat),CCARC,,Colorado ARES Region 5 District 1,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",,,,,Royal Gorge Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,34.5,SSW,,447.75,442.75,103.5,103.5,Fremont,On-Air,RGARC,E-power (Bat),CCARC,,,,,,,,,Royal Gorge Amateur Radio Club,,,,,,,,,,,3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,34.5,SSW,,447.25,442.25,100,100,Fremont,On-Air,,,CCARC,,,Full-time to the  The Fun Machine System .,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",28368,,K0JSC dot Com,,,,,,,,,,363976,7301,,,,,,,,Listen Live,,,,,DM78ik,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,35.6,S,,447.975,442.975,100,100,Fremont,On-Air,K0JSC,Autopatch.,CCARC,,,Full-time to the  The Fun Machine System .,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,"Canon City area. 
   Repeater Coverage Map",28368,,http://www.k0jsc.com,,,,,,,,,,363976,7301,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,36.2,NNW,,146.895,146.295,100,100,Park,On-Air,AB0RR,25,CCARC,,,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",Wed at 19:30.,,285,45835,,Park County Radio Club (PCRC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,36.5,N,,447.5,442.5,88.5,88.5,Jefferson,On-Air,Aurora Repeater Association,E-power.,CCARC,,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,38.9,N,,146.88,146.28,100,,Jefferson,On-Air,Denver Radio League,E-power.,CCARC,,,,,,Wide area: Denver.  Map,,6,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,38.9,W,,446.7625,441.7625,,,Park,On-Air,K7PFJ,,,,RMHAM,,,,,,,,,0,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,38.9,N,,449.6,444.6,100,,Jefferson,On-Air,Denver Radio League,,CCARC,,,,,,,,,DRL Repeaters,,,,,,,,,,690473,3345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,39.2,NNE,,449.95,444.95,77,77,Douglas,On-Air,W9SL Owner,,CCARC,,,,,,Primarily to the North along I-25 corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,40.5,NE,,446.85,441.85,,,Douglas,On-Air,Parker Radio Association,D-Star B module,CCARC,,,,,,,,,http://parkerradio.org,,,,,,,,,,,,,,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,40.8,N,,447.15,442.15,107.2,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,,,,,,Wide area: Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,40.8,N,,224.98,223.38,107.2,107.2,Jefferson,Off-Air,Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,Wide area. Denver.,,,,,,,,,,,,,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,40.8,N,,1287.9,1267.9,CSQ,,Jefferson,Off-Air,Colorado Repeater Association (CRA),,CCARC,,,,,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,40.9,NNW,,147.12,147.72,88.5,88.5,Jefferson,On-Air,Aurora Repeater Association,E-power.,CCARC,,,,,,Denver metro and east.,,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,41.2,NNW,,53.05,51.35,107.2,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),10,CCARC,,,,,,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,41.8,NNE,,447.525,442.525,203.5,146.2,Douglas,On-Air,EmComm Colorado,,CCARC,,Colorado ARES,,,,"Denver metropolitan area, front range foothills",,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,41.9,W,,448.575,443.575,103.5,103.5,Park,Off-Air,,,CCARC,,,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,Western Park County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.225,-5,141.3,AB0BX,"Highlands Ranch, STEM School",CO,OPEN,EA,43.3,NNE,,447.225,442.225,141.3,141.3,Douglas,Off-Air,,"AllStar, EchoLink, 25ft",CCARC,,,,Amateur Satellite net 7PM MST thursday,,8,41967,,,,,,,,,,,,373051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,I,46.8,NNE,,448.7,443.7,146.2,,Douglas,On-Air,,,,,,,,,Local North Parker only,,,,,,,,,,,,,,3415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,48.5,N,,145.34,144.74,103.5,127.3,Jefferson,On-Air,Rocky Mtn Radio League,E-power.,CCARC,,,,,,Wide area.,,,Repeater,,,,,,,,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,48.5,N,,145.175,144.575,D073,D073,Clear Creek,Off-Air,Rocky Mountain Ham Radio,,CCARC,,,,,,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,Rocky Mountain Ham Radio,,1,,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,WZ0N,"Fairplay, Sacramento Mountain",CO,OPEN,,49.3,WNW,,447.125,442.125,103.5,103.5,Park,On-Air,WZ0N,,CCARC,,,,,,,,Identifies with an 'S' following WZ0N callsign which identifies the site as Sacramento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,49.7,SSE,,448.975,443.975,100,100,Pueblo,On-Air,,,CCARC,,,Full-time to the  The Fun Machine System .,,,,28368,Off air.  Will return to service,http://www.k0jsc.com,,,,,,,,,,363976,7301,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,50,SE,,146.79,146.19,88.5,CSQ,Pueblo,On-Air,Pueblo HC,E-power.,CCARC,,,,,,Wide area.,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,50,SE,,224.26,222.66,88.5,CSQ,Pueblo,Off-Air,Pueblo Ham Club,E-power.,CCARC,,,,,,Wide area.,,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,50,SE,,447.95,442.95,88.5,,Pueblo,On-Air,Pueblo Ham Club,E-power.,CCARC,,,,,,Wide area.,,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,50.6,N,,447.875,442.875,107.2,107.2,Jefferson,On-Air,N6LXX,,CCARC,,N6LXX,Full-time to the  N6LXX System .,,,"I-70,I-76,I-25,I-225",29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,50.6,N,,53.17,51.47,107.2,CSQ,Jefferson,On-Air,N6LXX,,CCARC,,N6LXX,Full-time to the  N6LXX System .,,,"I-70,I-76,I-25,I-225",29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,51.1,N,,449.775,444.775,100,100,Jefferson,On-Air,Denver Radio Club,,CCARC,,,,,,Metro Denver,,,Denver Radio Club,,,,,,,,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,51.1,N,,147.33,147.93,100,,Jefferson,On-Air,Denver Radio Club,E-power.,CCARC,,,,SATERN: Thu at 19:30.,,Metro Denver and the foothills.,,Not recommeded to use tone squelch on this repeater.,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,51.1,NNE,,145.4,144.6,100,,Arapahoe,On-Air,Castle Rock Repeater Group,"Autopatch, e-power.",CCARC,,,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,Greater Denver area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,51.1,N,,224.38,222.78,100,100,Jefferson,On-Air,Denver Radio Club,,CCARC,,,,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,51.9,NE,,927.8375,902.025,,,Douglas,On-Air,,,CCARC,,,,,,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,,,,,,,,,,,,,,,,,,,,,,,,,,294,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,52,NNE,,145.19,144.59,151.4,131.8,Arapahoe,On-Air,N0OBA,Autopatch (please contact trustee).,,,,,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",,,,,,,,,,,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,52.1,NNE,,449.425,444.425,D023,D023,Arapahoe,Off-Air,K0PWO,,,,,,,,,29791,Colorado SNP (Shared non-protected pair),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,52.4,N,,53.09,51.39,107.2,,Jefferson,On-Air,Denver Radio Club,E-power.,CCARC,,,,,,Metro Denver area.,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,52.6,SSE,,147,147.6,,,Pueblo,On-Air,Carl Higbee,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,52.7,N,,448.75,443.75,100,100,Jefferson,On-Air,,E-power.,CCARC,,N0ELY,,,,Local.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,53.4,WSW,,446.8125,441.8125,,,Chaffee,On-Air,RMHAM,,,,,,,,,,,,,0,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,53.4,NNW,,449,444,136.5,136.5,Clear Creek,On-Air,CARN,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,53.4,WSW,,446.975,441.975,,,Chaffee,On-Air,Crestone Amateur Radio Emergency Services,,CCARC,,Crestone Amateur Radio Emergency Services,,,,,,,KD0QPG,,,,,,,,,,,,,,KD0QPG (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,53.5,N,,447.825,442.825,D073,D073,Jefferson,On-Air,Denver Radio Club,,CCARC,,,,,,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,53.8,NNW,,448.675,443.675,100,100,Denver,On-Air,W0CFI,,CCARC,,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,53.8,NNW,,147.3,147.9,103.5,103.5,Clear Creek,On-Air,Denver PD EEB,,CCARC,,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,54,NNW,,449.35,444.35,100,100,Clear Creek,On-Air,Denver Radio Club,11,CCARC,,,,,,Wide area.,,,DRC Repeaters,,,,,,,,,,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,54,NNW,,146.94,146.34,103.5,103.5,Clear Creek,On-Air,Rocky Mtn Radio League,11,CCARC,,,"Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .","Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",,,Repeater,,,,,,,,,,,,Autopatch: 911* / Off 0*.,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,54,NNW,,447.575,442.575,107.2,107.2,Clear Creek,On-Air,Colorado Repeater Association (CRA),,CCARC,,,,,,Wide area: Denver metro.,,,http://www.w0cra.org,,,,,,,,,,347088,3291,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,54,NNW,,448.225,443.225,141.3,141.3,Clear Creek,On-Air,Rocky Mountain Ham Radio,E-power(gen).,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,54,NNW,,145.49,144.89,100,100,Jefferson,On-Air,"KB0VIU,  Denver Radio Club",E-power.,CCARC,,,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",DRC: Sun at 20:30.,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,54,NNW,,449.45,444.45,103.5,127.3,Clear Creek,On-Air,Rocky Mountain Radio League,11,CCARC,,,,RMRL: Mon at 20:30.,,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,54,NNW,,145.145,144.545,107.2,107.2,Clear Creek,On-Air,Colorado Repeater Assoc,E-power.,CCARC,,,,,,Wide area. Denver metro.,,,http://www.w0cra.org/info/squaw.html#145145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,54,NNW,,446.9375,441.9375,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,,CCARC,,,Full-time to the  Colorado TRBO System .,,,,,See the website for programming information.,Rocky Mountain Ham Radio,,7,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,54,NNW,,146.67,146.07,100,100,Clear Creek,On-Air,Castle Rock Repeater Group,11,CCARC,,,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,54.6,N,,145.25,144.65,,,Jefferson,On-Air,Colorado D-Star,,CCARC,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,54.6,N,,446.9625,441.9625,,,Jefferson,On-Air,Colorado D-Star,,CCARC,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,54.6,N,,1299.9,1299.9,,,Jefferson,On-Air,Colorado D-Star,,,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,54.6,N,,145.37,144.77,,,Jefferson,On-Air,Rocky Mountain Ham Radio,,CCARC,,,,,,,,See the website for programming information.,Rocky Mountain Ham Radio,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,54.6,N,,446.8375,441.8375,,,Jefferson,On-Air,WA2YZT,200,CCARC,,,Full-time to the  Colorado TRBO System .,,,,,See website for more info on CC/TS/TG programming.  www.rmham.org,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,54.6,N,,1283.9625,1263.9625,,,Jefferson,On-Air,Colorado D-Star,,CCARC,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,54.8,N,,449.625,444.625,141.3,141.3,Jefferson,On-Air,Rocky Mountain Ham Radio,E-power,CCARC,,,,,,,,,,,,,,,,,,,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,55.3,NNE,,449.15,444.15,,,Arapahoe,On-Air,Colorado Amateur Repeater Network (CARN),,CCARC,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,55.6,NW,,147.39,147.99,88.5,123,Summit,On-Air,Colorado Connection,12,CCARC,,,Full-time to the  Colorado Connection System .,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,Wide area.,,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx",Breckenridge Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,55.7,N,,449.675,444.675,,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),,CCARC,,,,,,,,,,,,,,,,,,,,7708,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,55.7,N,,449.65,444.65,,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),,CCARC,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,55.7,N,,447.925,442.925,100,100,Denver,On-Air,RADOPS El Jebel Shriners,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,55.7,N,,447.9,442.9,CSQ,,Denver,Off-Air,WB0TPT,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,55.7,NNW,,447.85,442.85,141.3,141.3,Clear Creek,On-Air,AC0KQ,AllStar node repeater providing wide area coverage along the Front Range,CCARC,,Rocky Mountain Ham Radio,,,,Wide area at 9500',29571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
