Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Coordination,Last update,Op Status,Features,Downlink Tone,Coverage,Links,EchoLink,Notes,IRLP,AllStar,Web links,Nets,Affiliate,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Commands,D-STAR Enabled,Node,Sources,Grid,Location Photo,Feed,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,YSF Digital Enabled,DG-ID,Worldwide,North America,Local/Cluster,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Europe,Southwest USA,Mountain Reg USA,Wyoming,WyLOCAL
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,85,W,,147.105,147.705,,Mesa,,K0SSI,CCARC,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,85,W,,449,444,,Mesa,,KB0SW,CCARC,,On-Air,,107.2,,,,,,,,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,85,W,,147.39,147.99,107.2,Mesa,Unknown,KE0TY,CCARC,,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,85,W,,449.775,444.775,173.8,Mesa,,,CCARC,,On-Air,,88.5,,,7572,,7573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,85.7,W,,147.355,146.755,88.5,Mesa,,Colorado Connection,CCARC,,On-Air,,123,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,88,ESE,,449.7,444.7,107.2,Park,Unknown,CMRG,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,88.2,NNE,,147.075,147.675,88.5,Grand,,Colorado Connection,CCARC,,On-Air,,123,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,Full-time to the  Colorado Connection System .,,Part of the Colorado Connection system of Repeaters,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,89.2,E,,146.895,146.295,100,Park,,AB0RR,CCARC,,On-Air,25,100,285,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",,,,45835,Park County Radio Club (PCRC),Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,77,N0KM,Center,CO,OPEN,,90.7,SSE,,447.1,442.1,77,Saguache,,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,90.7,SSE,,146.64,146.04,77,Rio Grande,,,,,On-Air,,77,Low level local coverage,,,,,28781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,91.3,SE,,449,444,67,Fremont,,WB0WDF,CCARC,,On-Air,"E-power (Solar, Wind)",67,,Full-time to the  Mega-Link System .,,North of the Royal Gorge Bridge.,,,Mega Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,91.7,WSW,,449.4,444.4,131.8,Mesa,,"WA4HND,  Grand Mesa Repeater Association",CCARC,,On-Air,E-power.,131.8,Wide area via links - Western Colorado - Eastern Utah,Full-time to the  GMRA Open System .,,Closed IRLP out - Ask for a control op,3710,,http://www.gmra.org,RACES Wed 1930 Hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,92.2,SSW,,147.27,147.87,127.3,San Juan,,KB5ITT,CCARC,,On-Air,E-power.,,Wide area.,,,,,,,,Durango ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,95.5,W,,449.575,444.575,131.8,Mesa,,,CCARC,,On-Air,e-power. Linked to GMRA Open System,131.8,Grand Junction,,,Closed IRLP out,3710,,GMRA Repeaters,Wed RACES Net 1930 Hrs,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,95.5,W,,146.94,146.34,107.2,Mesa,,Western Colorado Amateur Radio Club,CCARC,,On-Air,E-power and autopatch for WCARC members,107.2,Grand Junction 30-50 mi,,,,,,http://w0rrz.org,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,96,SE,,447.25,442.25,100,Fremont,,,CCARC,,On-Air,,100,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",Full-time to the  The Fun Machine System .,363976,,7301,28368,K0JSC dot Com,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,DM78ik,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,96,SE,,446.7375,441.7375,,Fremont,,,CCARC,,On-Air,IPSC Link to the Colorado network on Talk Slot 2.,,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",Full-time to the  Colorado TRBO System .,,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,,,http://www.k0jsc.com,,Rocky Mountain Ham Radio,,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,DM78ii,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,96,SE,,447.75,442.75,103.5,Fremont,,RGARC,CCARC,,On-Air,E-power (Bat),103.5,,,,,3081,,Royal Gorge Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,96,NE,,147.285,147.885,88.5,Grand,,Colorado Connection,CCARC,,On-Air,,123,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,96,SE,,145.49,144.89,103.5,Fremont,,Royal Gorge Amateur Radio Club,CCARC,,On-Air,E-power (Bat),103.5,,,,,,,Royal Gorge Amateur Radio Club,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",Colorado ARES Region 5 District 1,,,,,,,,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,96,SE,,223.96,222.36,103.5,Fremont,,RGARC,CCARC,,On-Air,"E-power (Bat), Remote Base",103.5,"Wide area. 
   Repeater Coverage Map",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,96,SE,,53.03,51.33,88.5,Fremont,,WB0WDF,CCARC,,On-Air,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",88.5,,,,Split site Fremont peak transmitter and 8 mile mountain reciever.,,,Http://www.qsl.net/rghc,,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,96.2,SE,,927.7,902.7,D114,Fremont,,Royal Gorge ARC,CCARC,,On-Air,,D114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,96.7,SE,,448.15,443.15,103.5,Custer,,Royal George ARC,CCARC,,On-Air,E-power.,103.5,,,,,,,http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,96.7,SE,,147.06,147.66,77,Custer,,http://www.qsl.net/rghc,CCARC,,On-Air,E-power,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,96.7,SE,,927.775,902.775,D116,Custer,,Royal Gorge Amateur Radio Club,CCARC,,On-Air,,D116,,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,96.7,SE,,919.1,894.1,88.5,Pueblo,,Pueblo HC,CCARC,,Off-Air,,CSQ,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,96.7,SE,,448.325,443.325,100,Custer,,,,,On-Air,,100,,Full-time to the  The Fun Machine System .,,,,,,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,97.6,NE,,448.225,443.225,141.3,Clear Creek,,Rocky Mountain Ham Radio,CCARC,,On-Air,E-power(gen).,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,97.6,NE,,146.94,146.34,103.5,Clear Creek,,Rocky Mtn Radio League,CCARC,,On-Air,11,103.5,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.","Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,,,,Repeater,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,,,,,,,,Autopatch: 911* / Off 0*.,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,97.6,NE,,449.35,444.35,100,Clear Creek,,Denver Radio Club,CCARC,,On-Air,11,100,Wide area.,,4140,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,97.6,NE,,447.575,442.575,107.2,Clear Creek,,Colorado Repeater Association (CRA),CCARC,,On-Air,,107.2,Wide area: Denver metro.,,347088,,3291,,http://www.w0cra.org,,,,,,,,,,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,97.6,NE,,446.9375,441.9375,,Clear Creek,,Rocky Mountain Ham Radio,CCARC,,On-Air,,,,Full-time to the  Colorado TRBO System .,,See the website for programming information.,,,Rocky Mountain Ham Radio,,,,7,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,97.6,NE,,145.49,144.89,100,Jefferson,,"KB0VIU,  Denver Radio Club",CCARC,,On-Air,E-power.,100,,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",,,,,DRC Repeaters,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,97.6,NE,,449.45,444.45,103.5,Clear Creek,,Rocky Mountain Radio League,CCARC,,On-Air,11,127.3,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",,,,,,Repeater,RMRL: Mon at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,97.6,NE,,145.145,144.545,107.2,Clear Creek,,Colorado Repeater Assoc,CCARC,,On-Air,E-power.,107.2,Wide area. Denver metro.,,,,,,http://www.w0cra.org/info/squaw.html#145145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,97.6,NE,,146.67,146.07,100,Clear Creek,,Castle Rock Repeater Group,CCARC,,On-Air,11,100,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",,,,,,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,97.7,NE,,448.675,443.675,100,Denver,,W0CFI,CCARC,,On-Air,,100,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,97.8,ESE,,447.4,442.4,67,Teller,,WB0WDF,CCARC,,On-Air,"E-power, Solar, Remote Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,97.8,ESE,,145.46,144.86,67,Teller,,WB0WDF,CCARC,,On-Air,"E-power, 100% Solar",,,,,,,,,,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,97.8,NE,,147.3,147.9,103.5,Clear Creek,,Denver PD EEB,CCARC,,On-Air,,103.5,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,97.8,ESE,,224.94,223.34,67,Teller,,,CCARC,,Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,97.8,ESE,,147.015,147.615,107.2,Teller,,Mountain ARC,CCARC,,On-Air,E-power.,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,97.8,ESE,,1287.7,1267.7,67,Teller,,WB0WDF,CCARC,,Testing,,,,,,Testing in Canon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,97.9,NE,,449,444,136.5,Clear Creek,,CARN,CCARC,,On-Air,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,98,NE,,447.45,442.45,103.5,Grand,,W0IG,CCARC,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,98.1,E,,53.05,51.35,107.2,Jefferson,,Colorado Repeater Association (CRA),CCARC,,Off-Air,10,107.2,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,98.2,E,,147.12,147.72,88.5,Jefferson,,Aurora Repeater Association,CCARC,,On-Air,E-power.,88.5,Denver metro and east.,,,,,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,99.2,NE,,449.05,444.05,107.2,Denver,,WG0N,CCARC,,On-Air,E-power.,107.2,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,99.5,SE,,447.975,442.975,100,Fremont,,K0JSC,CCARC,,On-Air,Autopatch.,100,"Canon City area. 
   Repeater Coverage Map",Full-time to the  The Fun Machine System .,363976,,7301,28368,http://www.k0jsc.com,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,99.8,E,,446.875,441.875,,Douglas,,W0VG,CCARC,,On-Air,,,,Full-time to the  Colorado TRBO System .,,,,,http://www.rmham.org,,RMHAM,,6,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,100.7,E,,447.15,442.15,107.2,Jefferson,,Colorado Repeater Association (CRA),CCARC,,Off-Air,"Closed autopatch, e-power.",107.2,Wide area: Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,100.7,E,,224.98,223.38,107.2,Jefferson,,Colorado Repeater Association,CCARC,,Off-Air,"Closed autopatch, e-power.",107.2,Wide area. Denver.,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",347086,,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,100.7,E,,1287.9,1267.9,CSQ,Jefferson,,Colorado Repeater Association (CRA),CCARC,,Off-Air,,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,101,NNE,,446.875,441.875,,Clear Creek,,,,,On-Air,,,,,,,,,http://www.rmham.org,,RMHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,101,SE,,449.975,444.975,100,Fremont,,K0JSC,CCARC,,On-Air,Simulcast TX / Voted RX with Cedarwood and Salida,100,,Full-time to the  The Fun Machine System .,,,,,http://www.k0jsc.com,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,101,NNE,,146.82,146.22,123,Grand,Unknown,GCARA,CCARC,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,101.4,NE,,447.85,442.85,141.3,Clear Creek,,AC0KQ,CCARC,,On-Air,AllStar node repeater providing wide area coverage along the Front Range,141.3,Wide area at 9500',,,,,29571,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,103.8,E,,145.175,144.575,D073,Clear Creek,,Rocky Mountain Ham Radio,CCARC,,Off-Air,,D073,,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,Rocky Mountain Ham Radio,,,,1,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,103.8,E,,145.34,144.74,103.5,Jefferson,,Rocky Mtn Radio League,CCARC,,On-Air,E-power.,127.3,Wide area.,,,,3350,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,104.1,ESE,,927.9,902.9,D205,Teller,,MARC,CCARC,,On-Air,,D205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,104.1,ESE,,447.675,442.675,179.9,Teller,,Mountain Amateur Radio Club (MARC),CCARC,,On-Air,E-power.,179.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,104.1,ESE,,449.325,444.325,103.5,Teller,,KA4EPS,CCARC,,On-Air,E-power. Allstar Node 27976,103.5,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Port. St John Florida can be expected.",,,Node # 27976,,27976,,"Sunday 1500 MST
Tuesday 1730 MST",Amateur Radio Motorcycle Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,104.2,E,,446.925,441.925,,Douglas,,,CCARC,,On-Air,,,,Full-time to the  Colorado TRBO System .,,See the website for programming info.,,,Rocky Mountain Ham Radio,,,,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,104.2,ESE,,448.65,443.65,107.2,Teller,,Mountain ARC (MARC),CCARC,,On-Air,E-power.,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,,,,MARC/PCRC: Tue at 19:30.,MARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,104.2,ESE,,145.415,144.815,179.9,Teller,Unknown,MARC,CCARC,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,104.2,ESE,,146.82,146.22,107.2,Teller,,Mountain ARC,CCARC,,On-Air,E-power.,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,104.2,ESE,,449.025,444.025,141.3,Teller,Unknown,Mountain Amateur Radio Club (MARC),CCARC,,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,104.2,E,,447.525,442.525,146.2,Douglas,,EmComm Colorado,CCARC,,On-Air,,146.2,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,,,,Colorado ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
