Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,Links,Coordination,Last update,Affiliate,Web links,Notes,EchoLink,Downlink Tone,Mixed-Mode,D-STAR Enabled,Node,Sources,Nets,AllStar,IRLP,Grid,Feed,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,Location Photo,Commands,YSF Digital Enabled,DG-ID,P25 Digital Enabled,NAC,Default Reflector,On-air,Worldwide,North America,Local/Cluster,Denver Regional,Talkgroup Network,Northern Colorado,English,Europe,TAC 310,DCI Bridge,Southwest USA,WIRES-X
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,80.1,NE,yes,224.32,222.72,88.5,Custer,Off-Air,,Pueblo Ham Club,11,,CCARC,yes,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,80.1,NE,yes,447.175,442.175,88.5,Pueblo,Off-Air,Wide area: Southeast Colorado.,Pueblo HC,11,,CCARC,yes,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,88.5,ND0Q,"Walsenburg, N Rattlesnake Butte",CO,OPEN,,97.9,E,yes,146.73,146.13,88.5,Huerfano,On-Air,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties.",Pueblo Ham Club,6,,CCARC,yes,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,111.5,NE,yes,145.115,144.515,88.5,Pueblo,Off-Air,,Pueblo Ham Club,E-power.,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,111.5,NE,yes,146.88,146.28,88.5,Pueblo,On-Air,Wide area.,Pueblo HC,E-power.,,CCARC,yes,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,120.5,NE,yes,146.79,146.19,88.5,Pueblo,On-Air,Wide area.,Pueblo HC,E-power.,,CCARC,yes,,Pueblo Ham Club,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,120.5,NE,yes,224.26,222.66,88.5,Pueblo,Off-Air,Wide area.,Pueblo Ham Club,E-power.,,CCARC,yes,,PHC repeaters,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,120.5,NE,yes,447.95,442.95,88.5,Pueblo,On-Air,Wide area.,Pueblo Ham Club,E-power.,,CCARC,yes,,Pueblo Ham Club,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,78.4,NNE,yes,147.06,147.66,77,Custer,On-Air,,http://www.qsl.net/rghc,E-power,,CCARC,yes,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,78.4,NNE,yes,448.15,443.15,103.5,Custer,On-Air,,Royal George ARC,E-power.,,CCARC,yes,,http://www.qsl.net/rghc,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,78.4,NNE,yes,927.775,902.775,D116,Custer,On-Air,,Royal Gorge Amateur Radio Club,,,CCARC,yes,,,System uses digital PL,,D116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,102.5,NNE,yes,927.7,902.7,D114,Fremont,On-Air,,Royal Gorge ARC,,,CCARC,yes,,,,,D114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Trinidad, Raton Pass",CO,OPEN,,79.9,ESE,yes,446.775,441.775,,Las Animas,On-Air,,Cheyenne Mountain Repeater Group (CMRG),,,CCARC,yes,,,,,,,yes,KD0RDI (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Raton, Raton Pass",NM,OPEN,,85.5,ESE,yes,446.775,441.775,,Colfax,On-Air,,Cheyenne Mountain Repeater Group,,,NMFCC,yes,,http://www.cmrg.org/,,,,,yes,KD0RDI (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,80.1,NE,yes,449.625,444.625,107.2,Custer,On-Air,,,E-power.,,CCARC,yes,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,KC0CVU,"Trinidad, Raton Pass",CO,OPEN,,83.9,ESE,yes,449.6,444.6,107.2,Las Animas,Off-Air,Wide area.,Cheyenne Mtn Rptr Grp,E-power.,,CCARC,yes,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,94.3,N,yes,449.65,444.65,107.2,Chaffee,On-Air,Wide area.,,E-power.,,CCARC,yes,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,94.7,N,yes,145.295,144.695,107.2,Chaffee,On-Air,Wide area.,Cheyenne Mtn Repeater Group,,,CCARC,yes,,CMRG Repeaters,,,,,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,129.7,NNE,yes,146.76,146.16,107.2,El Paso,On-Air,,Cheyenne Mountain Repeater Group,"Closed autopatch, e-power.",,CCARC,yes,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,129.7,NNE,yes,448,443,107.2,El Paso,On-Air,,,,,CCARC,yes,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,129.7,NNE,yes,448.1,443.1,107.2,El Paso,On-Air,Wide area.,,"Closed autopatch, e-power.","Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",CCARC,yes,,CMRG Repeaters,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,129.8,NNE,yes,147.345,147.945,107.2,El Paso,On-Air,Wide area.,,"Closed autopatch, e-power.","Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",CCARC,yes,,http://www.cmrg.org/,,,107.2,,,,,,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,130.7,NNE,yes,145.375,144.77,,El Paso,Off-Air,wide area,Cheyenne Mountain Repeater Group (CMRG),,,CCARC,yes,,http://www.cmrg.org,Repeater off air for now.,,,,yes,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,130.7,NNE,yes,446.9125,441.9125,,El Paso,On-Air,,Cheyenne Mountain Repeater Group (CMRG),,,,yes,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,yes,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,130.7,NNE,yes,927.85,902.85,D114,Teller,On-Air,,CMRG,9,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",CCARC,yes,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,138.2,NNE,yes,147.36,147.96,107.2,Park,On-Air,Wide area.,,E-power.,,CCARC,yes,,CMRG Repeaters,,,107.2,,,,,,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,CSQ,W5PDO,"Los Alamos, Barranca Mesa",NM,OPEN,,83.2,S,yes,146.88,146.28,CSQ,Los Alamos,On-Air,,Los Alamos ARC,Autopatch,,NMFCC,yes,,,Located on the Barranca Mesa water tower.,,CSQ,,,,,LAARC: Sun at 2000.,,,,,,,,,,,,"Autopatch: Up- *88, wait for dialtone, and dial phone nbr. Down- #.",,,,,,,,,,,,,,,,,,
147.375,0.6,100,K0BV,"Trinidad, Raton Pass",CO,OPEN,,83.8,ESE,yes,147.375,147.975,100,Las Animas,Off-Air,Good coverage along I-25 between CO/NM state line and 40 miles north.,K0BV,,,CCARC,yes,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.375,-5,100,KG5JL,"Trinidad, Raton Pass",CO,OPEN,,83.8,ESE,yes,447.375,442.375,100,Las Animas,On-Air,"Covers I-25 from CO/NM border to north of Trinidad, CO.",KG5JL,E-power (batt).,,CCARC,yes,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,
224.04,-1.6,100,KA5BIW,Los Alamos,NM,OPEN,,84,S,yes,224.04,222.44,100,Los Alamos,On-Air,,KA5BIW,,,,yes,,,linked with 442.0 KA5BIW,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,5,100,KA5BIW,Los Alamos,NM,OPEN,E,84,S,yes,442,447,100,Los Alamos,On-Air,,KA5BIW,Linked with 224.04 KA5BIW,,,yes,,http://ka5biw.com/ham_radio/repeater.php,,87566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.775,5,131.8,WD9CMS,Los Alamos,NM,OPEN,,84.4,S,yes,444.775,449.775,,Los Alamos,On-Air,Los Alamos and surrounding areas,WD9CMS,E-power.,,NMFCC,yes,,,"Mixed mode analog and digital P25 system, linked with 927.9 WD9CMS",,,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,
927.9,-25,131.8,WD9CMS,Los Alamos,NM,OPEN,,85,S,yes,927.9,902.9,,Los Alamos,On-Air,Los Alamos and surrounding areas,,,,NMFCC,yes,,,"Mixed mode analog and digital P25 system, linked with 444.775 WD9CMS",,,,,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,
442.425,5,,NM5WR,Los Alamos,NM,OPEN,,84.4,S,yes,442.425,447.425,,Los Alamos,On-Air,30,,,,,yes,,,,,,,yes,NM5WR (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.265,0,203.5,KC2HSO,Los Alamos,NM,OPEN,I,85,S,yes,144.265,144.265,203.5,Los Alamos,On-Air,,,,,,yes,,,,,,,,,,,,8039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.925,5,CC1,KE8AVN,Los Alamos,NM,OPEN,,85,S,yes,442.925,447.925,,Los Alamos,On-Air,,,,,,yes,,,,,,,,,,,,,,,yes,1,yes,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC,NM5BB,Los Alamos,NM,OPEN,,85,S,yes,442.25,447.225,,Los Alamos,Off-Air,,,,,NMFCC,yes,,,TS1 only. Rocky Mountain Ham Radio,,,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,
223.94,-1.6,CSQ,KB5RX,"Los Alamos, Pajarito Mountain",NM,OPEN,,85.6,SSW,yes,223.94,222.34,CSQ,Los Alamos,On-Air,,,E-power.,,NMFCC,yes,,,,,CSQ,,,,,,,,,,,,,,,,,Wide area.,,,,,,,,,,,,,,,,,,
145.43,-0.6,107.2,WA6IFI,"Trinidad, Raton Pass",CO,OPEN,,85.9,ESE,yes,145.43,144.83,107.2,Las Animas,On-Air,,Cheyenne Mountain Repeater Group,,,CCARC,yes,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.725,-25,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,129.1,NNE,yes,927.725,902.725,D114,Teller,On-Air,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, and spotty from Castle Rock north through Denver.  50 mi radius.",WA6IFI,12,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .",CCARC,yes,,Yahoo Group,,,D114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,130.7,NNE,yes,53.13,51.43,107.2,El Paso,On-Air,,Cheyenne Mountain Repeater Group (CMRG),,,CCARC,yes,,http://www.cmrg.org,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,137.1,NNE,yes,447.55,442.55,123,El Paso,On-Air,,WA6IFI,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,,88.9,W,yes,147.15,147.75,100,La Plata,On-Air,Bayfield,,E-power.,,CCARC,yes,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,KB5ITS,"Navajo Dam, Navajo Lake",NM,OPEN,,90.6,WSW,yes,147.36,147.96,100,San Juan,On-Air,,,,Full-time to the  San Juan Connection System .,NMFCC,yes,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,96.3,NW,yes,147.135,146.535,123,Hinsdale,On-Air,,,E-power (solar),,CCARC,yes,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,100.8,WNW,yes,147.375,147.975,156.7,San Juan,On-Air,Wide area.,,13,"Part-time to  
        146.67000 (K0EP) at Durango, Eagle Pass, CO .",CCARC,yes,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,103.1,WNW,yes,447.525,442.525,127.3,San Juan,On-Air,Wide area.,KB5ITS,E-power.,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,103.2,WNW,yes,145.325,144.725,127.3,San Juan,On-Air,,,Solar powered,,CCARC,yes,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,103.2,WNW,yes,444,449,67,San Juan,On-Air,,,,,,yes,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,100,KB5ITS,"Bloomfield, Harris mesa",NM,OPEN,,104.4,WSW,yes,147.1,147.7,100,San Juan,On-Air,,San Juan connection,,Full-time to the  San Juan Connection System .,NMFCC,yes,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,104.5,W,yes,147.135,147.735,100,La Plata,On-Air,,,,,CCARC,yes,,http://www.sjcham.com,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,107.2,KB5ITS,Aztec,NM,OPEN,,110.4,W,yes,447.45,442.45,107.2,San Juan,On-Air,,KB5ITS,"E-power, remote base.",,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,,110.5,W,yes,146.88,146.28,100,San Juan,On-Air,,,,Full-time to the  San Juan Connection System .,NMFCC,yes,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,111.1,NW,yes,147.27,147.87,127.3,Ouray,On-Air,,,,,CCARC,yes,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,127.3,KB5ITS,Bloomfield,NM,OPEN,,111.7,WSW,yes,448.65,443.65,127.3,San Juan,On-Air,,,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,,118.7,W,yes,442.375,447.375,100,Montezuma,On-Air,,San Juan Connection,,Full-time to the  San Juan Connection System .,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KB5ITS,"Mancos, Menefee Mountain",CO,OPEN,,123.7,W,yes,145.325,144.725,100,Montezuma,On-Air,Wide area.,,E-power.,,CCARC,yes,,http://www.sjcham.com,Full time to the San Juan Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.01,-1,131.8,KB5ITS,Farmington,NM,OPEN,,124,W,yes,53.01,52.01,131.8,San Juan,On-Air,,KB5ITS,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KB5ITS,Farmington,NM,OPEN,,124,W,yes,146.76,146.16,100,San Juan,On-Air,,,"Closed autopatch, e-power.",Full-time to the  San Juan Connection System .,NMFCC,yes,,http://www.sjcham.com,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KB5ITS,Farmington,NM,OPEN,,124,W,yes,147,147.6,100,San Juan,On-Air,,,"Autopatch, e-power.",,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,139.2,WNW,yes,145.19,144.59,100,Montezuma,On-Air,,,,,CCARC,yes,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,139.2,WNW,yes,447.275,442.275,100,Montezuma,On-Air,,,,,,yes,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,100,KB5ITS,"Lukachukai, Roof Butte",AZ,OPEN,,175.7,WSW,yes,145.25,144.65,100,Apache,On-Air,,San Juan Connection,"E-power, linked.",Full-time to the  San Juan Connection System .,ARCA,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.825,5,131.8,KB5ZQE,"Santa Fe, Tesuque Peak",NM,OPEN,,91,S,yes,442.825,447.825,131.8,Santa Fe,On-Air,,Santa Fe ARC,Autopatch.,"Full-time to  
        146.82000 (W5SF) at Santa Fe,  Tesuque Peak, NM .",NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.41,-0.6,100,W5HO,La Cueva,NM,OPEN,,91.1,SSW,yes,145.41,144.81,100,Santa Fe,Off-Air,,W5HO,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,94.3,N,yes,449.925,444.925,103.5,Chaffee,On-Air,"Upper Arkansas and Platte Rivers, and the SLV",,E-power (Bat),,CCARC,yes,Colorado ARES,,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,124.1,N,yes,448.575,443.575,103.5,Park,Off-Air,Western Park County,,,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",CCARC,yes,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,94.7,N,yes,147.285,147.885,88.5,Chaffee,On-Air,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",Colorado Connection,11,Full-time to the  Colorado Connection System .,CCARC,yes,,,,,123,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,97.8,W,yes,147.345,147.945,88.5,La Plata,On-Air,Durango and north towards Molas Divide.,Colorado Connection,,Full-time to the  Colorado Connection System .,CCARC,yes,,,,,123,,,,,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,130.7,NNE,yes,145.13,144.53,88.5,El Paso,On-Air,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Colorado Connection,9,Full-time to the  Colorado Connection System .,CCARC,yes,,,Linked into the Colorado Connection System,,123,,,,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,151.8,N,yes,145.445,144.845,88.5,Lake,On-Air,,Colorado Connection,E-power (solar).,Full-time to the  Colorado Connection System .,CCARC,yes,,,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",,,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,162.8,N,yes,147.39,147.99,88.5,Summit,On-Air,Wide area.,Colorado Connection,12,Full-time to the  Colorado Connection System .,CCARC,yes,,Breckenridge Repeater,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx",,123,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,171.9,NW,yes,145.355,144.755,88.5,Mesa,On-Air,"Rifle to the east, several miles east of Green River, Utah to the west.",Colorado Connection,E-power.,Full-time to the  Colorado Connection System .,CCARC,yes,,,Colorado Connection system of repeaters,,123,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,177.6,NNW,yes,146.85,146.25,88.5,Garfield,On-Air,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",Colorado Connection,70,,CCARC,yes,,,Part of the Colorado Connection System of Repeaters,,123,,,,,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,178.9,N,yes,147.345,147.945,88.5,Eagle,On-Air,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,Colorado Connection,9,Full-time to the  Colorado Connection System .,CCARC,yes,,,,,123,,,,,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,193.8,N,yes,147.285,147.885,88.5,Grand,On-Air,,Colorado Connection,,Full-time to the  Colorado Connection System .,CCARC,yes,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,193.8,NW,yes,147.355,146.755,88.5,Mesa,On-Air,,Colorado Connection,,Full-time to the  Colorado Connection System .,CCARC,yes,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,196,N,yes,145.31,144.71,88.5,Gilpin,On-Air,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",Colorado Connection,10,Full-time to the  Colorado Connection System .,CCARC,yes,,,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,123,,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,162.2,,Santa Fe,NM,OPEN,,96.9,S,yes,145.19,144.59,162.2,Bernalillo,On-Air,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,135.6,NNE,yes,449.7,444.7,107.2,Park,,,CMRG,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,
