Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,County,Op Status,Sponsor,Last update,Denver Regional,Affiliate,Talkgroup Network,Northern Colorado,Web links,Coordination,Links,Worldwide,North America,Local/Cluster,Features,Notes,Downlink Tone,Mixed-Mode,Coverage,Local Network,IRLP,D-STAR Enabled,Node,Sources,Nets,Feed,Grid,EchoLink,AllStar,Location Photo,Commands,On-air,YSF Digital Enabled,DG-ID,P25 Digital Enabled,NAC,Default Reflector,Worldwide English,DCI Bridge,N. Colorado,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,Europe,Southwest USA,Mountain Reg USA,Wyoming,WyLOCAL
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,42.1,ESE,yes,447.975,442.975,100,,,,,,,Fremont,On-Air,K0JSC,yes,,,,,http://www.k0jsc.com,CCARC,Full-time to the  The Fun Machine System .,,,,Autopatch.,,100,,"Canon City area. 
   Repeater Coverage Map",,7301,,,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",Listen Live,,363976,28368,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,43.9,ESE,yes,449.975,444.975,100,,,,,,,Fremont,On-Air,K0JSC,yes,,The Fun Machine,,,http://www.k0jsc.com,CCARC,Full-time to the  The Fun Machine System .,,,,Simulcast TX / Voted RX with Cedarwood and Salida,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,68.2,NE,yes,449.975,444.975,100,,,,,,,Douglas,On-Air,K0JSC,yes,,The Fun Machine,,,The Fun Machine,CCARC,Full-time to the  The Fun Machine System .,,,,Simulcast and Voted with Cedarwood and Methodist.,"Can be linked to Allstar, Echolink and others by a Sysop",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,70.3,SE,yes,448.975,443.975,100,,,,,,,Pueblo,On-Air,,yes,,,,,http://www.k0jsc.com,CCARC,Full-time to the  The Fun Machine System .,,,,,Off air.  Will return to service,100,,,,7301,,,,,Listen Live,,363976,28368,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,,78,SE,yes,446.9875,441.9875,,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Pueblo,Off-Air,,yes,,RMHAM,,,Rocky Mountain Ham Radio,CCARC,Full-time to the  Colorado TRBO System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,78.1,SE,yes,447.275,442.275,100,,,,,,,Pueblo,On-Air,,yes,,The Fun Machine,,,The Fun Machine,CCARC,Full-time to the  The Fun Machine System .,,,,,"Moved to Pueblo.  Now called ""Pueblo Metro""",100,,,,,,,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,88.9,SE,yes,449.975,444.975,100,,,,,,,Pueblo,On-Air,K0JSC,yes,,,,,K0JSC dot Com,CCARC,"Linkable to  
        145.49000 (WD0EKR) at Canon City, Fremont Peak, CO .
 


Linkable to  
        145.46000 (WB0WDF) at Cripple Creek, CO .
 


Linkable to  
        146.79000 (ND0Q) at Pueblo, Baculite Mesa, CO .
 


Linkable to  
        145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO .
 


Linkable to  
        146.88000 (ND0Q) at Pueblo, Deer Peak, CO .
 


Linkable to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",,,,2,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,100,,"I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass 
   Repeater Coverage Map",,7301,,,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00.  
RGARC Net: Wed at 19:00.",Listen Live,DM78SA18,363976,28368,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,16.4,NW,yes,146.745,146.145,100,,,,,,,Chaffee,Off-Air,CLARA,yes,,,,,,CCARC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,"Maysville, CO",CO,OPEN,,18.8,W,yes,145.325,144.725,100,,,,,,,Chaffee,On-Air,Chaffee Lake Amateur Repeater Association,yes,,,,,,,,,,,,,,,wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,29.9,W,yes,447.65,442.65,151.4,,,,,,,Gunnison,On-Air,KB0YNA,yes,,,,,,CCARC,"Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,,,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",,151.4,,Gunnison valley and along East and west on Highway 50.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,91.2,W,yes,448.65,443.65,,,,,,,,Montrose,On-Air,KB0YNA,yes,,,,,,,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,151.4,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,110.6,WNW,yes,449.65,444.65,151.4,,,,,,,Mesa,On-Air,Keri Washburn,yes,,,,,,CCARC,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,NWS weather alert system.,,151.4,,Wide area coverage,,8162,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,113.4,WSW,yes,449.7,444.7,107.2,,,,,,,San Miguel,On-Air,Grand Mesa Repeater Association ( GMRA ),yes,,,,,,CCARC,Full-time to the  GMRA Open System .,,,,E-power.,Closed IRLP out - Ask for a control Op,107.2,,Wide Area via links - Western Colorado - Eastern Utah,,3710,,,,RACES: Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,143.1,W,yes,449.4,444.4,131.8,,,,,,,Mesa,On-Air,"WA4HND,  Grand Mesa Repeater Association",yes,,,,,http://www.gmra.org,CCARC,Full-time to the  GMRA Open System .,,,,E-power.,Closed IRLP out - Ask for a control op,131.8,,Wide area via links - Western Colorado - Eastern Utah,,3710,,,,RACES Wed 1930 Hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,35.1,ESE,yes,449,444,67,,,,,,,Fremont,On-Air,WB0WDF,yes,,,,,Mega Link,CCARC,Full-time to the  Mega-Link System .,,,,"E-power (Solar, Wind)",North of the Royal Gorge Bridge.,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,38.7,ESE,yes,53.03,51.33,88.5,,,,,,,Fremont,On-Air,WB0WDF,yes,,RGARC,,,Http://www.qsl.net/rghc,CCARC,,,,,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",Split site Fremont peak transmitter and 8 mile mountain reciever.,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,46.7,E,yes,1287.7,1267.7,67,,,,,,,Teller,Testing,WB0WDF,yes,,,,,,CCARC,,,,,,Testing in Canon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,46.7,E,yes,145.46,144.86,67,,,,,,,Teller,On-Air,WB0WDF,yes,,RGARC,,,,CCARC,,,,,"E-power, 100% Solar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,46.7,E,yes,224.94,223.34,67,,,,,,,Teller,Testing,,yes,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,46.7,E,yes,447.4,442.4,67,,,,,,,Teller,On-Air,WB0WDF,yes,,,,,,CCARC,,,,,"E-power, Solar, Remote Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,38.7,ESE,yes,145.49,144.89,103.5,,,,,,,Fremont,On-Air,Royal Gorge Amateur Radio Club,yes,,Colorado ARES Region 5 District 1,,,Royal Gorge Amateur Radio Club,CCARC,,,,,E-power (Bat),,103.5,,,,,,,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",,DM78ik,,,yes,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,38.7,ESE,yes,223.96,222.36,103.5,,,,,,,Fremont,On-Air,RGARC,yes,,,,,,CCARC,,,,,"E-power (Bat), Remote Base",,103.5,,"Wide area. 
   Repeater Coverage Map",,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,38.7,ESE,yes,447.75,442.75,103.5,,,,,,,Fremont,On-Air,RGARC,yes,,,,,Royal Gorge Amateur Radio Club,CCARC,,,,,E-power (Bat),,103.5,,,,3081,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,39,ESE,yes,927.7,902.7,D114,,,,,,,Fremont,On-Air,Royal Gorge ARC,yes,,,,,,CCARC,,,,,,,D114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,40,SE,yes,147.06,147.66,77,,,,,,,Custer,On-Air,http://www.qsl.net/rghc,yes,,,,,,CCARC,,,,,E-power,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,40,SE,yes,448.15,443.15,103.5,,,,,,,Custer,On-Air,Royal George ARC,yes,,,,,http://www.qsl.net/rghc,CCARC,,,,,E-power.,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,40,SE,yes,927.775,902.775,D116,,,,,,,Custer,On-Air,Royal Gorge Amateur Radio Club,yes,,,,,,CCARC,,,,,,System uses digital PL,D116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,40,SE,yes,919.1,894.1,88.5,,,,,,,Pueblo,Off-Air,Pueblo HC,yes,,,,,,CCARC,,,,,,,CSQ,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,55.8,SE,yes,224.32,222.72,88.5,,,,,,,Custer,Off-Air,Pueblo Ham Club,yes,,,,,PHC repeaters,CCARC,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,55.8,SE,yes,447.175,442.175,88.5,,,,,,,Pueblo,Off-Air,Pueblo HC,yes,,,,,Pueblo Ham Club,CCARC,,,,,11,,,,Wide area: Southeast Colorado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,77.7,SE,yes,145.115,144.515,88.5,,,,,,,Pueblo,Off-Air,Pueblo Ham Club,yes,,,,,,CCARC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,77.7,SE,yes,146.88,146.28,88.5,,,,,,,Pueblo,On-Air,Pueblo HC,yes,,,,,,CCARC,,,,,E-power.,,CSQ,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,78.7,ESE,yes,146.79,146.19,88.5,,,,,,,Pueblo,On-Air,Pueblo HC,yes,,,,,Pueblo Ham Club,CCARC,,,,,E-power.,,CSQ,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,78.7,ESE,yes,224.26,222.66,88.5,,,,,,,Pueblo,Off-Air,Pueblo Ham Club,yes,,,,,PHC repeaters,CCARC,,,,,E-power.,,CSQ,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,78.7,ESE,yes,447.95,442.95,88.5,,,,,,,Pueblo,On-Air,Pueblo Ham Club,yes,,,,,Pueblo Ham Club,CCARC,,,,,E-power.,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,88.5,ND0Q,"Walsenburg, N Rattlesnake Butte",CO,OPEN,,99,SE,yes,146.73,146.13,88.5,,,,,,,Huerfano,On-Air,Pueblo Ham Club,yes,,,,,Pueblo Ham Club,CCARC,,,,,6,,,,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,44.2,NE,yes,146.685,146.085,107.2,,,,,,,Park,On-Air,Mountain ARC (MARC),yes,,,,,,CCARC,"Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,"Closed autopatch, e-power.",,107.2,,,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,46.7,E,yes,147.015,147.615,107.2,,,,,,,Teller,On-Air,Mountain ARC,yes,,,,,,CCARC,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,,E-power.,,,,,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,59.9,E,yes,146.82,146.22,107.2,,,,,,,Teller,On-Air,Mountain ARC,yes,,,,,,CCARC,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,E-power.,,,,,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,59.9,E,yes,448.65,443.65,107.2,,,,,,,Teller,On-Air,Mountain ARC (MARC),yes,,MARC,,,,CCARC,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,,E-power.,,,,,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,66.8,E,yes,447.475,442.475,107.2,,,,,,,El Paso,,Mountain ARC (MARC),yes,,,,,,CCARC,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,"Closed autopatch, e-power.",,,,,,,,,,MARC/PCRC: Tue at 1930.,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,46.3,NE,yes,449.7,444.7,107.2,,,,,,,Park,,CMRG,yes,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,66.8,E,yes,449.575,444.575,,,,,,,,El Paso,On-Air,RMHARC,yes,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,66.9,E,yes,147.27,147.87,,,,,,,,El Paso,On-Air,TRA,yes,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,79.8,E,yes,447.2,442.2,,,,,,,,El Paso,Testing,GGARC,yes,,Garden of the Gods Amateur Radio Club,,,,,,,,,,,,,"Falcon, Black Forest, Peyton Areas",,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,111,WNW,yes,447.35,442.35,107.2,,,,,,,Delta,,Grand Mesa Repeater Assoc (GMRA),yes,,,,,GMRA Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,162.2,,Santa Fe,NM,OPEN,,196.8,S,yes,145.19,144.59,162.2,,,,,,,Bernalillo,On-Air,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.35,0.6,88.5,,Boise City,OK,OPEN,,227.9,SE,yes,147.35,147.95,88.5,,,,,,,Cimarron,On-Air,CAPROCK / DUST BOWL INTERTIE,yes,,,,,,,,,,,,,88.5,,"Provides linked coverage to SW KS, OK Panhandle, and the TEXAS panhandle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,KC0UFO,"Fairplay, Sacramento Mountain",CO,OPEN,,46.9,N,yes,447.125,442.125,103.5,,,,,,,Park,On-Air,KC0UFO,yes,,"Park County Radio Club, AB0PC",,,,CCARC,,,,,Emergency automatic generator.,"Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.",103.5,,"Covers Fairplay, Alma, and western South Park.",,,,,,"When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.",,DM69wf,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,50.1,W,yes,449.95,444.95,,,,,,,,Gunnison,,K5GF,yes,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,50.1,W,yes,147.12,147.72,,,,,,,,Gunnison,On-Air,W0VTL,yes,,,,,,CCARC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,51.9,NNW,yes,147.24,147.84,156.7,,,,,,,Lake,Off-Air,,yes,,,,,,CCARC,,,,,,,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,98.1,SSE,yes,449.75,444.75,100,,,,,,,Las Animas,On-Air,N0ZSN,yes,,The Fun Machine,,,The Fun Machine,CCARC,Full-time to the  The Fun Machine System .,,,,,,100,,,,7301,,,,,,,363976,28368,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,54.3,S,yes,146.64,146.04,77,,,,,,,Rio Grande,On-Air,,yes,,,,,,,,,,,,,77,,Low level local coverage,,,,,,,,,,28781,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,77,N0KM,Center,CO,OPEN,,54.6,S,yes,447.1,442.1,77,,,,,,,Saguache,On-Air,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,55.7,E,yes,146.97,146.37,100,,,,,,,El Paso,On-Air,Pikes Peak FM Assoc,yes,,,,,PPFMA Repeaters,CCARC,"Linkable to  
        448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,,"Closed autopatch, e-power.",,123,,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",,,,,,"Southern Colorado Traffic: Daily at 2000. 
Midday Severe Weather: Daily 1230 - 1240. 
PPFMA Weekly Info: Sun at 2030. 
ARES: Tue at 1900. 
SKYWARN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,55.7,E,yes,448.45,443.45,100,,,,,,,El Paso,On-Air,Pikes Pk FM Assoc,yes,,,,,PPFMA Repeaters,CCARC,"Linkable to  
        146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,,E-power.,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,Colorado Springs,CO,OPEN,,60.4,ESE,yes,145.265,144.665,100,,,,,,,El Paso,Off-Air,Pikes Peak FM Association,yes,,,,,PPFMA Repeaters,CCARC,,,,,"Closed autopatch, e-power.",Repeater has been moved.,100,Yes; analog capable.,Local. Good coverage of I25 in Colorado Springs.,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, UCCS",CO,OPEN,,60.4,ESE,yes,448.8,443.8,100,,,,,,,El Paso,Off-Air,Pikes Peak FM Assoc,yes,,,,,PPFMA Repeaters,CCARC,,,,,,,100,Yes; analog capable.,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,66.8,E,yes,224.06,222.46,,,,,,,,El Paso,,Pikes Peak FM Association (PPFMA),yes,,,,,,CCARC,,,,,"E-power, linked.",,,,Wide area.,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,56.7,E,yes,446.95,441.95,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Teller,On-Air,Rocky Mountain Ham Radio,yes,,RMHAM,,,,,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,,,,,Monument Hill through Pueblo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,107.2,N,yes,446.875,441.875,,yes,,,,,,Clear Creek,On-Air,,yes,,RMHAM,,,http://www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC7,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,145.2,NNE,yes,446.75,441.75,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,Larimer,On-Air,Rocky Mountain Ham Radio,yes,,,,2,http://www.rmham.org,CCARC,Full-time to the  Colorado TRBO System .,,,,,See website for complete info on color codes/time slot assignment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9375,-5,CC7,K7PFJ,"Cheyenne, South",WY,OPEN,,184.3,NNE,yes,449.9375,444.9375,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,Laramie,On-Air,,yes,,,,2,https://www.rmham.org/wordpress/,WRCG,Full-time to the  Rocky Mountain Ham System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
