Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Northern Colorado,County,Op Status,Affiliate,Features,Links,Notes,Web links,Coordination,Last update,Sponsor,Downlink Tone,Coverage,Nets,Feed,Grid,EchoLink,YSF Digital Enabled,DG-ID,Mixed-Mode,D-STAR Enabled,Node,Sources,IRLP,AllStar,Commands,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Talkgroup Network,Worldwide English,North America,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Denver Regional,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,English,Southern Colorado,Local Network,On-air,Location Photo,Wyoming,WyLOCAL
449.575,-5,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,67.9,W,yes,449.575,444.575,100,,,,,,,Larimer,On-Air,,"Closed autopatch, e-power.",,,,CCARC,yes,Loveland Rptr Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,70.5,W,yes,147.195,147.795,100,,,,,,,Larimer,On-Air,,"Closed autopatch, e-power.",,,,CCARC,yes,Loveland Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,100,KN6VV,Loveland,CO,OPEN,,67.9,W,yes,224.32,222.72,100,,,,,,,Larimer,Off-Air,,"Closed autopatch, e-power.",,,,CCARC,yes,KN6VV,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,100,W0ENO,Longmont,CO,OPEN,,68.9,W,yes,147.27,147.87,100,,,,,,,Boulder,On-Air,,"Closed autopatch, e-power, EchoLink.","Linkable to  
        448.80000 (W0ENO) at Longmont, CO .",,http://w0eno.org/?q=node/11,CCARC,yes,Longmont ARC (LARC),100,Wide area: Northern Colorado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,88.5,W0ENO,Longmont,CO,OPEN,,68.9,W,yes,448.8,443.8,88.5,,,,,,,Boulder,On-Air,,30,"Linkable to  
        147.27000 (W0ENO) at Longmont, CO .",,,CCARC,yes,Longmont ARC,88.5,,LARC: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.525,-5,151.4,N0EPA,Longmont,CO,OPEN,E,68.9,W,yes,448.525,443.525,151.4,,,,,,,Boulder,On-Air,,,,,,CCARC,yes,N0EPA,,,,,,223853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC8,K0RTS,"Genoa, Limon",CO,OPEN,,69,SSE,yes,446.7375,441.7375,,yes,8,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,Lincoln,On-Air,RMHam,,,"Colorado on TG700 Slot 1
Denver on TG720 Slot 2",,CCARC,yes,K0RTS KC0VJD,,"I-70  H-40  H-287  Arriba, Genoa, Hugo, Limon        50 mile radius",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
447.725,-5,131.8,W7RF,Fort Collins,CO,OPEN,,69.4,WNW,yes,447.725,442.725,131.8,,,,,,,Larimer,On-Air,,,,,,CCARC,yes,W7RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,103.5,KE0AE,Genoa,CO,OPEN,EIA,69.8,SSE,yes,147.06,147.66,103.5,,,,,,,Lincoln,On-Air,,"APRS repeater / weather station, remote base, e-power (solar - completely off the electrical grid).",,,http://www.bigsandyradio.com/,CCARC,yes,BSARC,,"I-70, US-71, US-287, US-40, US-24",Big Sandy Net: Wed 19:00,,,791116,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,3794,42740,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,103.5,KE0AE,Stratton,CO,OPEN,E,91.1,SE,yes,146.895,146.295,103.5,,,,,,,Kit Carson,On-Air,,,,,,CCARC,yes,Big Sandy ARC,,,,,,830619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,70.7,WNW,yes,147.36,147.96,100,,,,,,,Larimer,On-Air,,Closed autopatch.,,,,CCARC,yes,CO State Univ ARC,100,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,71.4,WNW,yes,449.85,444.85,100,,,,,,,Larimer,On-Air,,Closed autopatch.,,,,CCARC,yes,CO State Univ ARC,100,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,71.7,WNW,yes,446.8125,441.8125,,,,,,,,Larimer,On-Air,,D-Star Gateway,,Free Star,,CCARC,yes,W0QEY CSU,,Fort Collins Local Area,,,,,,,,yes,W0QEY (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,110.9,WB7UPS,Wellington,CO,OPEN,,70.9,WNW,yes,448.325,443.325,110.9,,,,,,,Larimer,On-Air,,,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,71.2,SW,yes,448.7,443.7,146.2,,,,,,,Douglas,On-Air,,,,,,,yes,,,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,71.4,WSW,yes,449.3,444.3,100,,,,,,,Adams,On-Air,,,,,,CCARC,yes,N1UPS,,,,,,43699,,,,,,,3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,71.5,WSW,yes,447.175,442.175,100,,,,,,,Denver,On-Air,,,,,,CCARC,yes,W0JRL,100,,,,,201712,,,,,,,,29997,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,71.7,WSW,yes,449.825,444.825,103.5,,,,,,,Boulder,On-Air,,6,,,Repeater,CCARC,yes,Rocky Mountain Radio League,,Along the foothills and into Boulder where the 94 repeater is shadowed.,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,97.9,WSW,yes,146.94,146.34,103.5,,,,,,,Clear Creek,On-Air,,11,"Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,Repeater,CCARC,yes,Rocky Mtn Radio League,103.5,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.","Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",Listen Live,,,,,,,,,,,Autopatch: 911* / Off 0*.,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,71.7,WSW,yes,448.925,443.925,131.8,,,,,,,Boulder,On-Air,,,,,,CCARC,yes,W0LMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,71.9,WSW,yes,146.715,146.115,123,,,,,,,Denver,On-Air,,E-power.,,,,CCARC,yes,EARS,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,71.9,WSW,yes,448.075,443.075,123,,,,,,,Denver,On-Air,,,,,,CCARC,yes,W0IG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,71.9,WSW,yes,448.55,443.55,82.5,,,,,,,Denver,Off-Air,,E-power.,,,,CCARC,yes,HPRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,72,WSW,yes,447.925,442.925,100,,,,,,,Denver,On-Air,,,,,,CCARC,yes,RADOPS El Jebel Shriners,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,89.4,WSW,yes,146.985,146.385,100,,,,,,,Denver,On-Air,,E-power.,,,,CCARC,yes,El Jebel RADOPS,100,,RADOPS: Sun at 19:00.,,,,,,,,,,3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,72,WSW,yes,447.9,442.9,CSQ,,,,,,,Denver,Off-Air,,,,,,CCARC,yes,WB0TPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,72.4,SSW,yes,147.105,147.705,107.2,,,,,,,Elbert,On-Air,Colorado Repeater Association,Linked to CRA 447.150 - Conifer,"Full-time to  
        448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,http://www.w0cra.org/,CCARC,yes,ARES of Douglas and Elbert Counties,107.2,"I-70, E. Arapahoe, Elbert, Lincoln Counties",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,W0IA,"Boulder, Gunbarrel Hill",CO,OPEN,,72.9,W,yes,146.76,146.16,100,,,,,,,Boulder,On-Air,Boulder County ARES,5,,"ARES primary repeater. 
 Voting Receivers:  
 
   
    RX Location    Tone    Pitch    PL  
   
   Gunbarrel  single beep  low  100.0 
   
   Lousville  single beep  low  100.0 
   
   Lyons  double beep  high followed by medium  100.0 
   
   Louisville #2  double beep  high followed by low  100.0",,CCARC,yes,Rocky Mtn VHF Soc,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,Tone,single beep,single beep,double beep,double beep,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,79.3,WSW,yes,449.55,444.55,100,,,,,,,Boulder,On-Air,,8,"Full-time to  
        224.02000 (W0IA) at Boulder, Lee Hill, CO .",,,CCARC,yes,Rocky Mtn VHF Soc,,Denver metro area.,,,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,83,W,yes,224.02,222.42,,,,,,,,Boulder,On-Air,,8,"Full-time to  
        449.55000 (W0IA) at Boulder, CO .",,RMVHS repeaters,CCARC,yes,Rocky Mtn VHF Soc,,Denver metro area.,,,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC1,K0PRA,Parker,CO,OPEN,,73.2,SW,yes,445.075,440.075,,yes,1,,,,,Douglas,On-Air,,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,,Mixed Mode,http://www.parkerradio.org,CCARC,yes,Parker Radio Association,,,Mondays 20:30 MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,75.2,SW,yes,446.85,441.85,,,,,,,,Douglas,On-Air,,D-Star B module,,,http://parkerradio.org,CCARC,yes,Parker Radio Association,,,,,,,,,,yes,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.55,-20,100,K1TJ,Fort Collins,CO,OPEN,,73.2,WNW,yes,1283.55,1263.55,100,,,,,,,Larimer,On-Air,,,,,http://www.k1tj.com/,CCARC,yes,K1TJ Repeater System,,Northern Colorado Front Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.95,-25,100,K1TJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,76.2,WNW,yes,927.95,902.95,100,,,,,,,Larimer,On-Air,,25,,,,CCARC,yes,K1TJ Repeater System,100,Northern Front Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,123,KC0RBT,Fort Collins,CO,OPEN,E,73.2,WNW,yes,447.45,442.45,123,,,,,,,Larimer,On-Air,,,,,,CCARC,yes,,,,,,,447450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC2,N0AOL,Fort Collins,CO,OPEN,,73.2,WNW,yes,446.7375,441.7375,,yes,2,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      English  1  13      TAC 310  1  310      Local/Cluster  2  2      N. Colorado  2  3171    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,Larimer,On-Air,,DMR-MARC World Wide Network,,Repeater ID: 310803,http://nocodmr.kt0l.net:8080/nocodmr/documentation.htm,CCARC,yes,N0AOL - NoCo C-Bridge Network,,Wide area: North Front Range.,"DMR World Wide Net: Sat at 10:00. 
TS 1 Group Call 1 http://www.dmr-marc.net/ 
Tac 310 Net: Sun at 18:00, TS 1 Group Call 310 .",,,,,,,,,,,,,1,,2,,2,,,1,,,,,,,,,,,1,1,,,,,,
446.75,-5,CC7,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,75.3,WNW,yes,446.75,441.75,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Larimer,On-Air,,,Full-time to the  Colorado TRBO System .,See website for complete info on color codes/time slot assignment.,http://www.rmham.org,CCARC,yes,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9375,-5,CC7,K7PFJ,"Cheyenne, South",WY,OPEN,,79.6,NW,yes,449.9375,444.9375,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Laramie,On-Air,,,Full-time to the  Rocky Mountain Ham System .,,https://www.rmham.org/wordpress/,WRCG,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,113.5,W,yes,446.875,441.875,,yes,,,,,,Clear Creek,On-Air,RMHAM,,,,http://www.rmham.org,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,120.3,SSW,yes,446.95,441.95,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,Teller,On-Air,RMHAM,,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,yes,Rocky Mountain Ham Radio,,Monument Hill through Pueblo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
145.265,-0.6,CC2,KB0VGD,"Fort Collins , Horsetooth Mountain",CO,OPEN,,75.3,WNW,yes,145.265,144.665,,yes,2,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",2,,Larimer,On-Air,Brandmeister Network,,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",http://www.w0dmr.org/,CCARC,yes,W0DMR - NoCo C-bridge Network,,Northern Colorado Front Range Wide Area coverage.,,,,,,,,,,,,,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,1,2,,2,BrandMeister US,1,1,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,81.5,WSW,yes,446.975,441.975,,yes,0,,,,,Jefferson,On-Air,,,,,http://www.w0dmr.org/,,yes,W0DMR,,Denver Metro Area,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",,,,,,,,,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,75.8,SW,yes,447.525,442.525,203.5,,,,,,,Douglas,On-Air,Colorado ARES,,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,CCARC,yes,EmComm Colorado,146.2,"Denver metropolitan area, front range foothills",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,97.5,SW,yes,446.925,441.925,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,Douglas,On-Air,,,Full-time to the  Colorado TRBO System .,See the website for programming info.,Rocky Mountain Ham Radio,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,97.5,SW,yes,447.525,442.525,146.2,,,,,,,Douglas,On-Air,Colorado ARES,,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,CCARC,yes,EmComm Colorado,146.2,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.825,-25,100,AB0SF,"Fort Collins, Horsetooth Mountain",CO,OPEN,,76.1,WNW,yes,927.825,902.825,100,,,,,,,Larimer,On-Air,,,,Converted 800 MHz beam antenna pointed directly down Horsetooth Road in Fort Collins.,,CCARC,yes,AB0SF,100,"Decent coverage throughout northern Fort Collins, out east to beyond Windsor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.8625,-20,,KC0DS,Boulder,CO,OPEN,,77,W,yes,1283.8625,1263.8625,,,,,,,,Boulder,On-Air,,E-power.,,,,CCARC,yes,Boulder County ARES,,20,,,,,,,,yes,KC0DS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.3875,-0.6,,KC0DS,Boulder,CO,OPEN,,77,W,yes,145.3875,144.7875,,,,,,,,Boulder,On-Air,,E-power.,,,http://bouldercountyares.org/technical/d-star,CCARC,yes,Boulder County ARES,,20,,,,,,,,yes,KC0DS (C),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,79.4,WSW,yes,446.8625,441.8625,,,,,,,,Boulder,On-Air,,,,,,CCARC,yes,Boulder County ARES,,,,,,,,,,yes,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,91.5,K0DK,Boulder,CO,OPEN,E,77.4,W,yes,146.73,146.13,91.5,,,,,,,Boulder,Off-Air,,12,,,http://www.ked-wireless.com/products1.htm,CCARC,yes,BARC,91.5,Local,,,DN70jb,115482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,79.3,WSW,yes,449.4,444.4,91.5,,,,,,,Boulder,Off-Air,,2,,,http://www.ked-wireless.com/products1.htm,CCARC,yes,BARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,78.1,WSW,yes,147.21,147.81,100,,,,,,,Jefferson,On-Air,,,,,http://www.dwarc.com,,yes,Denver Water Amateur Radio Club,100,,,,,,,,Yes; analog capable.,,,,3241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,78.1,WSW,yes,448.35,443.35,,,,,,,,Jefferson,On-Air,,,,,http://www.DWARC.com,CCARC,yes,Denver Water Amateur Radio Club (DWARC),,Denver Metro and surrounding,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,79.2,SW,yes,449.95,444.95,77,,,,,,,Douglas,On-Air,,,,,,CCARC,yes,W9SL Owner,77,Primarily to the North along I-25 corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,79.4,WSW,yes,446.8,441.8,,yes,7,,,,,Boulder,On-Air,Rocky Mountain Ham Radio,,Full-time to the  Colorado TRBO System .,See website for complete information regarding timeslot/colorcode/talkgroup programming.,Rocky Mountain Ham Radio,CCARC,yes,Rocky Mountain Ham Radio,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC1,N0SZ,"Boulder, Lee Hill",CO,OPEN,,83,W,yes,445.05,440.05,,yes,1,BrandMeister,,,,Boulder,On-Air,,BrandMeister Network,,,,CCARC,yes,Rocky Mountain Ham Radio,,Wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrandMeister US,,,,
446.9875,-5,CC7,N0SZ,"Boulder, Lee Hill",CO,OPEN,,83,W,yes,446.9875,441.9875,,yes,7,,,,,Boulder,On-Air,,Linked on Time Slot 2 to  Almagre Mtn  (446.950).,"Full-time to  
        446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO .
 


Full-time to the  Colorado TRBO System .",,,,yes,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,83,W,yes,447.75,442.75,141.3,,,,,,,Boulder,On-Air,,,,,,CCARC,yes,Rocky Mountain Ham Radio,141.3,,,,,,,,,,,,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,83.9,WSW,yes,145.37,144.77,,yes,7,,,,,Jefferson,On-Air,,,,See the website for programming information.,Rocky Mountain Ham Radio,CCARC,yes,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,89.6,WSW,yes,449.225,444.225,141.3,,,,,,,Gilpin,On-Air,,Emergency Power,,"Emcomm Affiliated, Open repeater",,CCARC,yes,Rocky Mountain Ham Radio (RMHR),141.3,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,91,WSW,yes,145.175,144.575,D073,yes,1,,,,,Clear Creek,Off-Air,,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,Rocky Mountain Ham Radio,CCARC,yes,Rocky Mountain Ham Radio,D073,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,97.9,WSW,yes,446.9375,441.9375,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Clear Creek,On-Air,,,Full-time to the  Colorado TRBO System .,See the website for programming information.,Rocky Mountain Ham Radio,CCARC,yes,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,RMHAM,,,,,,,2,,,,,,,,2,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,97.9,WSW,yes,448.225,443.225,141.3,,,,,,,Clear Creek,On-Air,,E-power(gen).,,,,CCARC,yes,Rocky Mountain Ham Radio,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,104.9,SW,yes,446.875,441.875,,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Douglas,On-Air,RMHAM,,Full-time to the  Colorado TRBO System .,,http://www.rmham.org,CCARC,yes,W0VG,,,,,,,,,,,,,,,,,,,,,RMHAM,,,,,,,2,,,,,,,,2,,,,,
