Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Coordination,Last update,Features,YSF Digital Enabled,DG-ID,Coverage,Affiliate,On-air,Web links,Downlink Tone,Links,Nets,Commands,Mixed-Mode,Notes,DMR Enabled,Color Code,Wide Network,Talkgroups,Worldwide,North America,Local/Cluster,Talkgroup Network,Colorado,Southern Colorado,Denver Regional,Northern Colorado,IRLP,Local Network,Feed,D-STAR Enabled,Node,Sources,Grid,EchoLink,AllStar,Location Photo,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Worldwide English,DCI Bridge,N. Colorado,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,143.1,WNW,yes,146.85,146.25,88.5,Garfield,On-Air,Colorado Connection,CCARC,yes,70,,,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",,,,123,,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,Part of the Colorado Connection System of Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,88.5,KB0VJJ,"Walden, Peterson Ridge",CO,OPEN,,150.4,NNW,yes,145.16,144.56,88.5,Jackson,On-Air,Colorado Connection,CCARC,yes,8,,,"North Park, along with portions of I-80 from Laramie, Wyoming, to Rock Springs, Wyoming.",,,,123,Full-time to the  Colorado Connection System .,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,Part of the Colorado Connection system of repeaters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,156.4,NW,yes,449.625,444.625,123,Routt,On-Air,"Colorado Connection Repeaters, Inc.",,yes,Statewide Linked System,,,Local Steamboat Area,,,http://colcon.org,123,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,156.4,NW,yes,147.165,147.765,88.5,Routt,On-Air,Colorado Connection,,yes,,,,,,,,123,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,168.1,W,yes,145.355,144.755,88.5,Mesa,On-Air,Colorado Connection,CCARC,yes,E-power.,,,"Rifle to the east, several miles east of Green River, Utah to the west.",,,,123,Full-time to the  Colorado Connection System .,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,Colorado Connection system of repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,185.7,NW,yes,146.97,146.37,88.5,Moffat,On-Air,Northwest Colorado Amateur Radio Association,CCARC,yes,,,,,Colorado Connection,,,123,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,190.2,WSW,yes,147.345,147.945,88.5,La Plata,On-Air,Colorado Connection,CCARC,yes,,,,Durango and north towards Molas Divide.,,,,123,Full-time to the  Colorado Connection System .,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,201.7,W,yes,147.355,146.755,88.5,Mesa,On-Air,Colorado Connection,CCARC,yes,,,,,,,,123,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.5,SSW,yes,927.85,902.85,D114,Teller,On-Air,CMRG,CCARC,yes,9,,,,,,http://www.cmrg.org,,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.5,SSW,yes,446.9125,441.9125,,El Paso,On-Air,Cheyenne Mountain Repeater Group (CMRG),,yes,,,,,,,,,,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,,,,,,,,,,,yes,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.6,SSW,yes,145.375,144.77,,El Paso,Off-Air,Cheyenne Mountain Repeater Group (CMRG),CCARC,yes,,,,wide area,,,http://www.cmrg.org,,,,,,Repeater off air for now.,,,,,,,,,,,,,,,,yes,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,7.4,SSW,yes,147.345,147.945,107.2,El Paso,On-Air,,CCARC,yes,"Closed autopatch, e-power.",,,Wide area.,,,http://www.cmrg.org/,107.2,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",,,,,,,,,,,,,,,,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,7.4,SSW,yes,146.76,146.16,107.2,El Paso,On-Air,Cheyenne Mountain Repeater Group,CCARC,yes,"Closed autopatch, e-power.",,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,7.4,SSW,yes,448.1,443.1,107.2,El Paso,On-Air,,CCARC,yes,"Closed autopatch, e-power.",,,Wide area.,,,CMRG Repeaters,107.2,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,7.4,SSW,yes,448,443,107.2,El Paso,On-Air,,CCARC,yes,,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,40,WNW,yes,147.36,147.96,107.2,Park,On-Air,,CCARC,yes,E-power.,,,Wide area.,,,CMRG Repeaters,107.2,,,,,,,,,,,,,,,,,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,58.2,SSW,yes,449.625,444.625,107.2,Custer,On-Air,,CCARC,yes,E-power.,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,69.2,WSW,yes,145.295,144.695,107.2,Chaffee,On-Air,Cheyenne Mtn Repeater Group,CCARC,yes,,,,Wide area.,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,69.7,WSW,yes,449.65,444.65,107.2,Chaffee,On-Air,,CCARC,yes,E-power.,,,Wide area.,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,KC0CVU,"Trinidad, Raton Pass",CO,OPEN,,116.3,S,yes,449.6,444.6,107.2,Las Animas,Off-Air,Cheyenne Mtn Rptr Grp,CCARC,yes,E-power.,,,Wide area.,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,7.4,SSW,yes,145.16,144.56,107.2,El Paso,On-Air,Colorado Repeater Association,CCARC,yes,"Closed autopatch, e-power.",,,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",CRA VHF Link System,,http://www.w0cra.org/info/cosprgs.html#145160,107.2,"Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,Switch to this repeater at mile marker 170 on I-25.,,,,,,,,,,,,,3990,,,,,,,347086,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,26.2,NNW,yes,448.425,443.425,107.2,Douglas,On-Air,Colorado Repeater Association (CRA),,yes,,,,Wide area,ARESDEC,,http://www.w0cra.org,107.2,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,26.2,NNW,yes,147.225,147.825,107.2,Douglas,On-Air,Colorado Repeater Association (CRA),CCARC,yes,Closed autopatch,,,Wide area,CRA VHF Link System,,Colorado Repeater Association,107.2,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .","CRA Net, Sunday 9AM",,,,,,,,,,,,,,,,3990,,,,,,,347086,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,54.1,NNW,yes,447.15,442.15,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),CCARC,yes,"Closed autopatch, e-power.",,,Wide area: Denver.,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,54.1,NNW,yes,224.98,223.38,107.2,Jefferson,Off-Air,Colorado Repeater Association,CCARC,yes,"Closed autopatch, e-power.",,,Wide area. Denver.,,,,107.2,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,3990,,,,,,,347086,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,54.1,NNW,yes,1287.9,1267.9,CSQ,Jefferson,Off-Air,Colorado Repeater Association (CRA),CCARC,yes,,,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,55.4,NNW,yes,53.05,51.35,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),CCARC,yes,10,,,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,68.6,NNW,yes,145.145,144.545,107.2,Clear Creek,On-Air,Colorado Repeater Assoc,CCARC,yes,E-power.,,,Wide area. Denver metro.,,,http://www.w0cra.org/info/squaw.html#145145,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,68.6,NNW,yes,447.575,442.575,107.2,Clear Creek,On-Air,Colorado Repeater Association (CRA),CCARC,yes,,,,Wide area: Denver metro.,,,http://www.w0cra.org,107.2,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,3291,,,,,,,347088,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,90.2,NNW,yes,447.975,442.975,107.2,Boulder,On-Air,Colorado Repeater Association (CRA),CCARC,yes,Closed autopatch.,,,Wide area: Boulder/Longmont area.,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,90.2,NNW,yes,145.46,144.86,107.2,Boulder,On-Air,Colorado Repeater Association (CRA),CCARC,yes,"Closed autopatch, e-power.",,,Boulder/Denver Metro,CRA VHF Link System,,,107.2,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,3990,,,,,,,347086,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,10.2,WSW,yes,446.95,441.95,,Teller,On-Air,Rocky Mountain Ham Radio,,yes,,,,Monument Hill through Pueblo.,RMHAM,,,,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,105.1,NW,yes,446.875,441.875,,Clear Creek,On-Air,,,yes,,,,,RMHAM,,http://www.rmham.org,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC7,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,119.3,N,yes,446.75,441.75,,Larimer,On-Air,Rocky Mountain Ham Radio,CCARC,yes,,,,,,,http://www.rmham.org,,Full-time to the  Colorado TRBO System .,,,,See website for complete info on color codes/time slot assignment.,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9375,-5,CC7,K7PFJ,"Cheyenne, South",WY,OPEN,,153.8,N,yes,449.9375,444.9375,,Laramie,On-Air,,WRCG,yes,,,,,,,https://www.rmham.org/wordpress/,,Full-time to the  Rocky Mountain Ham System .,,,,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,10.2,WSW,yes,147.18,147.78,100,El Paso,On-Air,AA0SP,CCARC,yes,E-power (solar).,,,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",,,,,,,,,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,16.8,NW,yes,449.025,444.025,141.3,Teller,,Mountain Amateur Radio Club (MARC),CCARC,yes,Linked.,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,16.8,NW,yes,927.9,902.9,D205,Teller,On-Air,MARC,CCARC,yes,,,,,,,,D205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,16.8,NW,yes,145.415,144.815,179.9,Teller,,MARC,CCARC,yes,"Closed autopatch, e-power.",,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,16.8,NW,yes,447.675,442.675,179.9,Teller,On-Air,Mountain Amateur Radio Club (MARC),CCARC,yes,E-power.,,,,,,,179.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,16.8,NW,yes,449.325,444.325,103.5,Teller,On-Air,KA4EPS,CCARC,yes,E-power. Allstar Node 27976,,,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Port. St John Florida can be expected.",Amateur Radio Motorcycle Club,,,103.5,,"Sunday 1500 MST
Tuesday 1730 MST",,,Node # 27976,,,,,,,,,,,,,,,,,,,,,27976,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,18,N,yes,447.725,442.725,100,El Paso,On-Air,K0NR,CCARC,yes,30,,,Local.,,,http://www.k0nr.com/wordpress/k0nr-repeater/,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,18.5,NE,yes,447.625,442.625,100,El Paso,On-Air,KD0MDP,,yes,Linked.,,,,The Fun Machine,,,100,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,7301,,,,,,,363976,28299,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,20.1,WSW,yes,224.94,223.34,67,Teller,Testing,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,20.1,WSW,yes,1287.7,1267.7,67,Teller,Testing,WB0WDF,CCARC,yes,,,,,,,,,,,,,Testing in Canon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,20.1,WSW,yes,145.46,144.86,67,Teller,On-Air,WB0WDF,CCARC,yes,"E-power, 100% Solar",,,,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,20.1,WSW,yes,447.4,442.4,67,Teller,On-Air,WB0WDF,CCARC,yes,"E-power, Solar, Remote Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,35,SW,yes,449,444,67,Fremont,On-Air,WB0WDF,CCARC,yes,"E-power (Solar, Wind)",,,,,,Mega Link,67,Full-time to the  Mega-Link System .,,,,North of the Royal Gorge Bridge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,36.4,SW,yes,53.03,51.33,88.5,Fremont,On-Air,WB0WDF,CCARC,yes,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",,,,RGARC,,Http://www.qsl.net/rghc,88.5,,,,,Split site Fremont peak transmitter and 8 mile mountain reciever.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,21.6,NNW,yes,145.19,144.59,131.8,Douglas,On-Air,N0OBA Owner,,yes,,,,Wide area coverage at 8300,,,,131.8,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,,,,,,,,,,,,,,,,,,,,,,10079,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,26.2,NNW,yes,449.975,444.975,100,Douglas,On-Air,K0JSC,CCARC,yes,Simulcast and Voted with Cedarwood and Methodist.,,,,The Fun Machine,,The Fun Machine,100,Full-time to the  The Fun Machine System .,,,,"Can be linked to Allstar, Echolink and others by a Sysop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,33.4,SW,yes,449.975,444.975,100,Fremont,On-Air,K0JSC,CCARC,yes,Simulcast TX / Voted RX with Cedarwood and Salida,,,,The Fun Machine,,http://www.k0jsc.com,100,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,35.6,SW,yes,447.975,442.975,100,Fremont,On-Air,K0JSC,CCARC,yes,Autopatch.,,,"Canon City area. 
   Repeater Coverage Map",,,http://www.k0jsc.com,100,Full-time to the  The Fun Machine System .,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,7301,,Listen Live,,,,,363976,28368,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,36.4,SW,yes,446.7375,441.7375,,Fremont,On-Air,,CCARC,yes,IPSC Link to the Colorado network on Talk Slot 2.,,,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",Rocky Mountain Ham Radio,,http://www.k0jsc.com,,Full-time to the  Colorado TRBO System .,,,,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,1,2,,,,,,,,,DM78ii,,,yes,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,36.4,SW,yes,447.25,442.25,100,Fremont,On-Air,,CCARC,yes,,,,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",,,K0JSC dot Com,100,Full-time to the  The Fun Machine System .,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,7301,,Listen Live,,,,DM78ik,363976,28368,yes,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,37,S,yes,448.975,443.975,100,Pueblo,On-Air,,CCARC,yes,,,,,,,http://www.k0jsc.com,100,Full-time to the  The Fun Machine System .,,,,Off air.  Will return to service,,,,,,,,,,,,,7301,,Listen Live,,,,,363976,28368,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,43.2,SSE,yes,447.275,442.275,100,Pueblo,On-Air,,CCARC,yes,,,,,The Fun Machine,,The Fun Machine,100,Full-time to the  The Fun Machine System .,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.",,,"Moved to Pueblo.  Now called ""Pueblo Metro""",,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,,43.2,SSE,yes,446.9875,441.9875,,Pueblo,Off-Air,,CCARC,yes,,,,,RMHAM,,Rocky Mountain Ham Radio,,Full-time to the  Colorado TRBO System .,,,,,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
