Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Web links,Coordination,Last update,Features,Coverage,Sponsor,Links,Notes,Downlink Tone,Nets,Affiliate,Feed,Grid,IRLP,EchoLink,Location Photo,AllStar,Commands,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Mixed-Mode
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,168.8,E,yes,447.575,442.575,107.2,Clear Creek,On-Air,http://www.w0cra.org,CCARC,yes,,Wide area: Denver metro.,Colorado Repeater Association (CRA),,,107.2,,,,,3291,347088,,,Member-only IRLP and Echolink node,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,183.9,E,yes,145.46,144.86,107.2,Boulder,On-Air,,CCARC,yes,"Closed autopatch, e-power.",Boulder/Denver Metro,Colorado Repeater Association (CRA),"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,107.2,,CRA VHF Link System,,,3990,347086,,,Member-only IRLP and Echolink node,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,183.9,E,yes,447.975,442.975,107.2,Boulder,On-Air,,CCARC,yes,Closed autopatch.,Wide area: Boulder/Longmont area.,Colorado Repeater Association (CRA),,,107.2,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,188.7,ESE,yes,147.225,147.825,107.2,Douglas,On-Air,Colorado Repeater Association,CCARC,yes,Closed autopatch,Wide area,Colorado Repeater Association (CRA),"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",,107.2,"CRA Net, Sunday 9AM",CRA VHF Link System,,,3990,347086,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,188.7,ESE,yes,448.425,443.425,107.2,Douglas,On-Air,http://www.w0cra.org,,yes,,Wide area,Colorado Repeater Association (CRA),"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,107.2,,ARESDEC,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,198.6,ESE,yes,145.16,144.56,107.2,El Paso,On-Air,http://www.w0cra.org/info/cosprgs.html#145160,CCARC,yes,"Closed autopatch, e-power.","Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",Colorado Repeater Association,"Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",Switch to this repeater at mile marker 170 on I-25.,107.2,,CRA VHF Link System,,,3990,347086,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,168.8,E,yes,449.35,444.35,100,Clear Creek,On-Air,DRC Repeaters,CCARC,yes,11,Wide area.,Denver Radio Club,,,100,,,,,,4140,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,168.8,E,yes,145.49,144.89,100,Jefferson,On-Air,DRC Repeaters,CCARC,yes,E-power.,,"KB0VIU,  Denver Radio Club","Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",,100,DRC: Sun at 20:30.,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,176.9,E,yes,448.625,443.625,100,Jefferson,On-Air,DRC Repeaters,CCARC,yes,E-power.,Denver metro area.,Denver Radio Club,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,100,DRC: Sun at 20:30.,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,185.4,E,yes,53.09,51.39,107.2,Jefferson,On-Air,DRC Repeaters,CCARC,yes,E-power.,Metro Denver area.,Denver Radio Club,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,186.9,E,yes,147.33,147.93,100,Jefferson,On-Air,DRC Repeaters,CCARC,yes,E-power.,Metro Denver and the foothills.,Denver Radio Club,,Not recommeded to use tone squelch on this repeater.,,SATERN: Thu at 19:30.,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,186.9,E,yes,224.38,222.78,100,Jefferson,On-Air,DRC Repeaters,CCARC,yes,,,Denver Radio Club,,,100,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,188.1,E,yes,447.825,442.825,D073,Jefferson,On-Air,,CCARC,yes,,,Denver Radio Club,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",D073,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras,  San Antonio Mountain",NM,OPEN,,205.5,SE,yes,146.76,146.16,67,Rio Arriba,On-Air,,,yes,11,"Most of Taos County, eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",Taos ARC,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras, San Antonio Mountain",NM,OPEN,,218.5,SE,yes,146.76,146.16,67,Taos,On-Air,,,yes,11,"Wide area: Most of Taos County, Eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",Taos ARC,,,,,,,,,,,,,,,,,,
145.39,-0.6,100,KF5PFO,"Red River, Molycorp",NM,OPEN,,232.9,SE,yes,145.39,144.79,100,Taos,On-Air,Taos Amateur Radio Club,NMFCC,yes,"E-power, linked.",Wide area.,Taos ARC,,,,,,,,,,,,,,,,,,
145.25,-0.6,123,KF5PFO,"Red River, Valle Vidal",NM,OPEN,,237.8,SE,yes,145.25,144.65,123,Taos,On-Air,Taos Amateur Radio Club,NMFCC,yes,,,Taos ARC,,,,,,,,,,,,,,,,,,
224.4,-1.6,225.7,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,250.9,SE,yes,224.4,222.8,225.7,Taos,On-Air,http://taosarc.org,NMFCC,yes,,,Taos ARC,,,,,,,,,,,,,,,,,,
147.12,0.6,67,KF5PFO,"Taos, Picuris Peak",NM,OPEN,E,250.9,SE,yes,147.12,147.72,67,Taos,On-Air,http://taosarc.org/,NMFCC,yes,E-power.,Wide area.,Taos Amateur Radio Club,,,,,ARRL,,,,828279,,,,,,,,,
51.5,0,100,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,250.9,SE,yes,51.5,51.5,100,Taos,On-Air,Taos Amateur Radio Club,,yes,,,Taos ARC,,,,,,,,,,,,,,,,,,
447.7,-5,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,201.8,E,yes,447.7,442.7,100,Larimer,On-Air,http://ncarc.net/,,yes,,Wide Area Coverage,Northern Colorado Amateur Radio Club,"Linkable to  
        146.62500 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .
 


Linkable to  
        146.85000 (W0UPS) at Greeley, UNC, CO .
 


Full-time to  
        224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,100,,,,,,,,,,,,,,,
224.84,-1.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,201.9,E,yes,224.84,223.24,100,Larimer,On-Air,,,yes,"E-power, 25 watts.","Wide Area: Northern CO Front Range and into Cheyenne - Laramie, WY",Northern Colorado ARC,"Full-time to  
        447.70000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,100,,,,,,,,,,,,,,,
146.625,-0.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,201.9,E,yes,146.625,146.025,100,Larimer,On-Air,,CCARC,yes,E-power.,Wide area: Northern front range.,Northern Colorado ARC,"Linkable to  
        146.85000 (W0UPS) at Greeley, UNC, CO .
 


Linkable to  
        224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,100,,,,,,,,,,,,,,,
447.275,-5,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,205.2,E,yes,447.275,442.275,100,Larimer,On-Air,,CCARC,yes,"Closed autopatch, e-power.",Wide area.,Northern Colorado ARC,,,100,,,,,,,,,,,,,,,
145.115,-0.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,E,205.2,E,yes,145.115,144.515,100,Larimer,On-Air,,CCARC,yes,7,Wide area.,Northern Colorado ARC,,,100,,,,,,4236,,,,,,,,,
146.85,-0.6,100,W0UPS,"Greeley, UNC",CO,OPEN,,224.5,E,yes,146.85,146.25,100,Weld,On-Air,,CCARC,yes,"E-power, WX.",,Northern Colorado ARC,,,100,,,,,,,,,,,,,,,
146.72,-0.6,100,WB7REL,"Indianola, Indianola Peak",UT,OPEN,I,156.4,W,yes,146.72,146.12,100,Sanpete,On-Air,,UVHFS,yes,,Northern San Pete County,W7REL and Sanpete County,Full-time to the  Skyline Repeater System .,,,,Skyline Radio Club,,,3576,,,,,,,,,,
145.29,-0.6,131.8,WB7REL,"Starling, Sterling",UT,OPEN,,168.6,W,yes,145.29,144.69,131.8,Sanpete,On-Air,,UVHFS,yes,Autopatch,Sanpete and Sevier Valleys.,,,,,,,,,,,,,,,,,,,
447.85,-5,131.8,WB7REL,Sterling,UT,OPEN,,168.6,W,yes,447.85,442.85,131.8,Sanpete,On-Air,,UVHFS,yes,,Fairview North to Richfield to the South.,wb7rel,,,,,,,,,,,,,,,,,,
146.72,-0.6,100,WB7REL,"East Salina, Salina Canyon",UT,OPEN,I,175.5,W,yes,146.72,146.12,100,Sanpete,On-Air,,UVHFS,yes,7,,Skyline,,,,,Skyline Repeater System,,,3576,,,,,,,,,,
146.86,-0.6,100,WB7REL,"Monroe, Monroe Peak",UT,OPEN,,193.1,W,yes,146.86,146.26,100,Sevier,On-Air,Skyline Repeater System,UVHFS,yes,11,"The general area of Salina, including Scipio, Manti, and south of Richfield, and coverage east into Emery, Ferron, and the San Rafael Desert.","WB7REL, Sanpete Co SO",Full-time to the  Skyline Repeater System .,,,,,,,,,,,,,,,,,
146.72,-0.6,100,WB7REL,"Glendale, Spencer Bench",UT,OPEN,I,245.8,WSW,yes,146.72,146.12,100,Kane,On-Air,,UVHFS,yes,"Autopatch, linked to (146.940).","Covers Highway 89 from Hatch to Kanab, west along Highway 14 over Cedar Mountain, and east along Highway 12 to Bryce Canyon.",Skyline,Full-time to the  Skyline Repeater System .,Provides a South-Central Utah link into the Skyline/Sinbad systems.,,Skyline RC VHF Net: Sunday at 2000 hrs,,,,3576,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,32.9,ESE,yes,449.65,444.65,151.4,Mesa,On-Air,,CCARC,yes,NWS weather alert system.,Wide area coverage,Keri Washburn,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,151.4,,,,,8162,,,,11,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,34.1,S,yes,449.4,444.4,131.8,Mesa,On-Air,http://www.gmra.org,CCARC,yes,E-power.,Wide area via links - Western Colorado - Eastern Utah,"WA4HND,  Grand Mesa Repeater Association",Full-time to the  GMRA Open System .,Closed IRLP out - Ask for a control op,131.8,RACES Wed 1930 Hrs,,,,3710,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,66.5,SE,yes,448.65,443.65,,Montrose,On-Air,,,yes,,Wide area.,KB0YNA,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,151.4,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,80.5,SSE,yes,449.7,444.7,107.2,San Miguel,On-Air,,CCARC,yes,E-power.,Wide Area via links - Western Colorado - Eastern Utah,Grand Mesa Repeater Association ( GMRA ),Full-time to the  GMRA Open System .,Closed IRLP out - Ask for a control Op,107.2,RACES: Wed at 19:30.,,,,3710,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,112.5,SE,yes,447.65,442.65,151.4,Gunnison,On-Air,,CCARC,yes,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",Gunnison valley and along East and west on Highway 50.,KB0YNA,"Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,151.4,,,,,,,,,,,,,,,
145.25,-0.6,100,K7UVA,"Provo, Sundance",UT,OPEN,,185.2,WNW,yes,145.25,144.65,100,Utah,On-Air,https://uvarc.club/,UVHFS,yes,,Utah County from Alpine to Payson and Heber,Utah Valley Amateur Radio Club,"Full-time to  
        147.22000 (WA7YZR) at Provo, Edgemont SC, UT .",,,,Utah Valley Amateur Radio Club,,,,,,,,,,,,,
448.225,-5,100,K7UVA,"Alpine, Silver Lake Flat",UT,OPEN,,192.9,WNW,yes,448.225,443.225,100,Utah,On-Air,https://uvarc.club/repeaters/,,yes,e-power,,UTAH VALLEY AMATEUR RADIO CLUB,,10,,,,,,,,,,,,,,,,
146.78,-0.6,100,K7UVA,"Orem, Lake Mountain",UT,OPEN,E,198.8,WNW,yes,146.78,146.18,100,Utah,On-Air,http://uvarc.club/,UVHFS,yes,,"Utah County, Salt Lake County",UVARC (Utah Valley Amateur Radio Club),"Full-time to  
        448.20000 (K7UVA) at Orem, Lake Mountain, UT .
 


Full-time to  
        224.56000 (K7UVA) at Orem, Lake Mountain, UT .",,,Ladies Net: Tue 19:00 Youth Net: Thu 18:30 New Ham Net: Thu 19:00 Family History Net: Sat 20:00,UVARC (Utah Valley Amateur Radio Club),,,,762028,,,,,,,,,
224.56,-1.6,100,K7UVA,"Orem, Lake Mountain",UT,OPEN,E,198.8,WNW,yes,224.56,222.96,100,Utah,On-Air,http://uvarc.club,UVHFS,yes,10,"Utah County, Salt Lake County, Juab County",UVARC (Utah Valley Amateur Radio Club),"Full-time to  
        448.20000 (K7UVA) at Orem, Lake Mountain, UT .
 


Full-time to  
        146.78000 (K7UVA) at Orem, Lake Mountain, UT .",,,Ladies Net: Tue 19:00 Youth Net: Thu 18:30 New Ham Net: Thu 19:00 Family History Net: Sat 20:0,UVARC (Utah Valley Amateur Radio Club),,,,762028,,,,,,,,,
448.2,-5,100,K7UVA,"Orem, Lake Mountain",UT,OPEN,E,198.8,WNW,yes,448.2,443.2,100,Utah,On-Air,http://uvarc.club,UVHFS,yes,10,"Utah County, Salt Lake County, Juab County",UVARC (Utah Valley Amateur Radio Club),"Full-time to  
        146.78000 (K7UVA) at Orem, Lake Mountain, UT .
 


Full-time to  
        224.56000 (K7UVA) at Orem, Lake Mountain, UT .",,,"Ladies' Net Tue 1900, Youth Net Thu 1830, New Ham Net Thu 1900, Family History Net Sat 20:00",UVARC (Utah Valley Amateur Radio Club),,,,762028,,,,,,,,,
147.38,0.6,100,WA7GIE,"Roosevelt, Mirror Lake",UT,OPEN,,167.8,NW,yes,147.38,147.98,100,Duchesne,On-Air,,UVHFS,yes,,Wide area.,,,,,,,,,,,,,,,,,,,
449.475,-5,100,WA7GIE,"Provo, Lake Mountain",UT,OPEN,I,197.8,WNW,yes,449.475,444.475,100,Utah,On-Air,,UVHFS,yes,7,Wide area: Utah County from Alpine to Payson.,,"Full-time to  
        449.42500 (WA7GIE) at Salt Lake City, Nelson Peak, UT .",,,,,,,5620,,,,,,,,,,
147.36,0.6,100,WA7GIE,"Coalville, Lewis Peak",UT,OPEN,,198.4,NW,yes,147.36,147.96,100,Summit,On-Air,,UVHFS,yes,9,"Wide area: Western side of the Salt Lake valley. Park City, Heber, Coalville and other nearby communities.",,,,,SCARC: Thu at 2100.,Wasatch Back Tri-County ARC,,,,,,,,,,,,,
449.55,-5,100,WA7GIE,"Coalville,  Lewis Peak",UT,OPEN,,198.4,NW,yes,449.55,444.55,100,Summit,On-Air,,UVHFS,yes,IRLP,"Wide area: Park City, Heber, Coalville and other nearby communities. Western side of the Salt Lake valley.",,,PL 131.8? Node usually connected to  5620 .,,,,,,,,,,,,,,,,
449.425,-5,100,WA7GIE,"Salt Lake City, Nelson Peak",UT,OPEN,I,220.6,WNW,yes,449.425,444.425,100,Salt Lake,On-Air,,UVHFS,yes,9,Wide area: Salt Lake Valley communities from Salt Lake City to Draper.,,"Full-time to  
        449.55000 (WA7GIE) at Wendover, Wendover Peak, UT .
 


Full-time to  
        449.47500 (WA7GIE) at Provo, Lake Mountain, UT .",,,,,,,5620,,,,,,,,,,
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,,151,SSE,yes,147.06,147.66,100,San Juan,On-Air,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,,157.8,SSE,yes,146.74,146.14,100,San Juan,On-Air,,NMFCC,yes,"Closed autopatch, e-power.",,Totah ARC,,,,,,,,,,,,,,,,,,
145.43,-0.6,136.5,NM5SJ,Dulce,NM,OPEN,,169.7,SSE,yes,145.43,144.83,136.5,Rio Arriba,On-Air,,NMFCC,yes,,,SJC EMCOMM,,,,,,,,,,,,,,,,,,
146.82,-0.6,100,NM5SJ,"Lukachukai, Roof Butte",AZ,OPEN,,182.3,S,yes,146.82,146.22,100,Apache,On-Air,,ARCA,yes,,,Totah ARC,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,NM5SJ,Lybrook,NM,OPEN,,202.9,SSE,yes,145.49,144.89,100,Rio Arriba,On-Air,,NMFCC,yes,Closed autopatch.,,Totah ARC,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,10.6,W,yes,449.575,444.575,131.8,Mesa,On-Air,GMRA Repeaters,CCARC,yes,e-power. Linked to GMRA Open System,Grand Junction,,,Closed IRLP out,131.8,Wed RACES Net 1930 Hrs,Grand Mesa Repeater Assoc,,,3710,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,15.9,ESE,yes,449.3,444.3,107.2,Mesa,On-Air,http://www.gmra.org/,CCARC,yes,e-power Linked to GMRA Open System,Wide Area I-70 West Rifle to Western Utah,,,Closed IRLP out,107.2,RACES Wed 1930 hrs,,,,3710,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,37.8,NE,yes,449.8,444.8,107.2,Garfield,On-Air,GMRA Repeaters,CCARC,yes,8,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,66.5,SE,yes,447.2,442.2,107.2,Montrose,On-Air,GMRA Repeaters,CCARC,yes,9,Delta/Montrose,,Full-time to the  GMRA Open System .,Closed IRLP out - Ask for a control op,107.2,RACES Net Wed at 1930 Hrs.,Grand Mesa Repeater Assoc,,,3710,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,73.6,E,yes,449.85,444.85,131.8,Garfield,On-Air,http://GMRA.org,CCARC,yes,e-power  Linked to GMRA Open System,Glenwood Springs,,Full-time to the  GMRA Open System .,RACES net Wed 1930 Hrs Local,131.8,Colorado State RACES  Wed 1930 local,Grand Mesa Repeater Assoc,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,178.5,SE,yes,448.15,443.15,103.5,Custer,On-Air,http://www.qsl.net/rghc,CCARC,yes,E-power.,,Royal George ARC,,,103.5,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,178.5,SE,yes,927.775,902.775,D116,Custer,On-Air,,CCARC,yes,,,Royal Gorge Amateur Radio Club,,System uses digital PL,D116,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,178.5,SE,yes,147.06,147.66,77,Custer,On-Air,,CCARC,yes,E-power,,http://www.qsl.net/rghc,,,77,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,180.9,SE,yes,927.7,902.7,D114,Fremont,On-Air,,CCARC,yes,,,Royal Gorge ARC,,,D114,,,,,,,,,,,,,,,
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,55.6,SW,yes,146.76,146.16,88.5,Grand,On-Air,http://www.sdarc.us/repeaters/bald.html,UVHFS,yes,,Moab and immediate surroundings.,Sinbad Desert ARC,,8,,,,,,,,,,,,,,,,
449.1,-5,107.2,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,55.7,SW,yes,449.1,444.1,107.2,Grand,On-Air,GMRA Repeaters,UVHFS,yes,8,"Wide area: Moab and surrounding areas, including large portions of Arches and Canyonlands National Parks.",Grand Mesa Repeater Association (GMRA),,,107.2,RACES Wed. 1930 hours,,,,,,,,,,,,,,
146.9,-0.6,88.5,K7QEQ,Moab,UT,OPEN,,63.5,WSW,yes,146.9,146.3,88.5,Grand,On-Air,http://sdarc.us/repeaters/moab.html,UVHFS,yes,"Closed autopatch, remote base, linked to Bald Mesa (146.760).",Moab and immediate surroundings.,Sinbad Desert ARC,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,K7QEQ,"Monticello, Abajo Peak",UT,OPEN,,97.9,SSW,yes,447.1,442.1,107.2,San Juan,On-Air,http://gmra.org,UVHFS,yes,E-power.,Wide area.,Grand Mesa Repeater Association (GMRA),Full-time to the  GMRA Open System .,11,107.2,,,,,,,,,,,,,,,
147.34,0.6,100,K7UCS,"Goshen, West Mountain",UT,OPEN,,188.1,WNW,yes,147.34,147.94,100,Utah,On-Air,http://www.ucares.org,UVHFS,yes,E-power.,Wide area: Utah County from Alpine to Payson. Salt Lake Valley communities from Salt Lake City to Draper. Cedar Valley and its surrounding communities.,Utah Co ARES,,,,UCARES: Tues at 21:00.,,,DN40cc,,,,,,,,,,,
145.23,-0.6,131.8,K7UCS,"Provo, Lake Mountain",UT,OPEN,,198.8,WNW,yes,145.23,144.63,131.8,Utah,On-Air,,UVHFS,yes,E-power.,Utah County from Alpine to Payson.,Utah Co ARES,,,,,,,,,,,,,,,,,,
147.28,0.6,141.3,K7UCS,"Provo, Lake Mountain",UT,OPEN,,198.8,WNW,yes,147.28,147.88,141.3,Utah,On-Air,,UVHFS,yes,E-power.,Wide area: Utah County from Alpine to Payson. Salt Lake Valley communities from Salt Lake City to Draper. Cedar valley and its surrounding communities.,Utah Co ARES,"Full-time to  
        449.67500 (K7UCS) at Provo, Lake Mountain, UT .",,,,,,,,,,,,,,,,,
449.975,-5,131.8,K7UCS,"Provo, Lake Mountain",UT,OPEN,,198.8,WNW,yes,449.975,444.975,131.8,Utah,On-Air,,UVHFS,yes,7,Wide area: Utah County from Alpine to Payson. Utah Valley and Spanish Fork Canyon.,Utah Co ARES,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,163,ESE,yes,146.685,146.085,107.2,Park,On-Air,,CCARC,yes,"Closed autopatch, e-power.",,Mountain ARC (MARC),"Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,107.2,MARC/PCRC: Tue at 19:30.,,,,,,,,Autopatch: 911,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,182.6,ESE,yes,147.015,147.615,107.2,Teller,On-Air,,CCARC,yes,E-power.,,Mountain ARC,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,187.6,ESE,yes,146.82,146.22,107.2,Teller,On-Air,,CCARC,yes,E-power.,,Mountain ARC,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,187.6,ESE,yes,448.65,443.65,107.2,Teller,On-Air,,CCARC,yes,E-power.,,Mountain ARC (MARC),"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,MARC/PCRC: Tue at 19:30.,MARC,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,176.9,E,yes,145.28,144.68,100,Jefferson,On-Air,Intermountain Repeater Group,CCARC,yes,"Closed autopatch, e-power, linked.",Wide area.,,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .","PL is usually off, allowing use by older transceivers.",,Sun at 19:30. Everyone welcome.,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,176.9,E,yes,449.525,444.525,CSQ,Jefferson,On-Air,Intermountain Repeater Group,CCARC,yes,E-power.,,KE0SJ,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,196,E,yes,145.475,144.875,100,Jefferson,On-Air,Intermountain Repeater Group,CCARC,yes,E-power.,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,214.5,E,yes,447.625,442.625,100,Adams,On-Air,Intermountain Repeater Group,,yes,,Local/North Metro,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,176.2,ESE,yes,449,444,67,Fremont,On-Air,Mega Link,CCARC,yes,"E-power (Solar, Wind)",,WB0WDF,Full-time to the  Mega-Link System .,North of the Royal Gorge Bridge.,67,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,180.6,SE,yes,53.03,51.33,88.5,Fremont,On-Air,Http://www.qsl.net/rghc,CCARC,yes,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",,WB0WDF,,Split site Fremont peak transmitter and 8 mile mountain reciever.,88.5,,RGARC,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,182.6,ESE,yes,447.4,442.4,67,Teller,On-Air,,CCARC,yes,"E-power, Solar, Remote Base",,WB0WDF,,,,,,,,,,,,,,,,,,
